ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-02-20,202208,101 - MS_ILLINOIS,MS_STAGEIV,,,0.0
2022-02-27,202209,101 - MS_ILLINOIS,MS_STAGEIV,,,3.0
2022-03-06,202210,101 - MS_ILLINOIS,MS_STAGEIV,,,15.0
2022-03-13,202211,101 - MS_ILLINOIS,MS_STAGEIV,,,9.0
2022-03-20,202212,101 - MS_ILLINOIS,MS_STAGEIV,,,13.0
2022-03-27,202213,101 - MS_ILLINOIS,MS_STAGEIV,,,52.0
2022-04-03,202214,101 - MS_ILLINOIS,MS_STAGEIV,,,94.0
2022-04-10,202215,101 - MS_ILLINOIS,MS_STAGEIV,,,104.0
2022-04-17,202216,101 - MS_ILLINOIS,MS_STAGEIV,,,103.0
2022-04-24,202217,101 - MS_ILLINOIS,MS_STAGEIV,,,134.0
2022-05-01,202218,101 - MS_ILLINOIS,MS_STAGEIV,,,88.0
2022-05-08,202219,101 - MS_ILLINOIS,MS_STAGEIV,,,67.0
2022-05-15,202220,101 - MS_ILLINOIS,MS_STAGEIV,,,96.0
2023-01-08,202302,101 - MS_ILLINOIS,MS_STAGEIV,,,49.0
2023-01-15,202303,101 - MS_ILLINOIS,MS_STAGEIV,,,53.0
2023-01-22,202304,101 - MS_ILLINOIS,MS_STAGEIV,,,53.0
2023-01-29,202305,101 - MS_ILLINOIS,MS_STAGEIV,,,38.0
2023-02-05,202306,101 - MS_ILLINOIS,MS_STAGEIV,,,60.0
2023-02-12,202307,101 - MS_ILLINOIS,MS_STAGEIV,87.05,78.82000000000001,56.0
2023-02-19,202308,101 - MS_ILLINOIS,MS_STAGEIV,90.68,97.9,54.0
2023-02-26,202309,101 - MS_ILLINOIS,MS_STAGEIV,91.03,90.94,55.0
2023-03-05,202310,101 - MS_ILLINOIS,MS_STAGEIV,90.95,73.41,137.0
2023-03-12,202311,101 - MS_ILLINOIS,MS_STAGEIV,131.25,141.56,162.0
2023-03-19,202312,101 - MS_ILLINOIS,MS_STAGEIV,154.47,193.25,240.0
2023-03-26,202313,101 - MS_ILLINOIS,MS_STAGEIV,175.54,70.43,244.0
2023-04-02,202314,101 - MS_ILLINOIS,MS_STAGEIV,181.32,80.94999999999999,284.0
2023-04-09,202315,101 - MS_ILLINOIS,MS_STAGEIV,121.55,170.33,286.0
2023-04-16,202316,101 - MS_ILLINOIS,MS_STAGEIV,120.37,210.6,299.0
2023-04-23,202317,101 - MS_ILLINOIS,MS_STAGEIV,121.0,165.85,267.0
2023-04-30,202318,101 - MS_ILLINOIS,MS_STAGEIV,234.11,175.31,299.0
2023-05-07,202319,101 - MS_ILLINOIS,MS_STAGEIV,170.33,136.34,253.0
2023-05-14,202320,101 - MS_ILLINOIS,MS_STAGEIV,139.83,185.4,255.0
2023-05-21,202321,101 - MS_ILLINOIS,MS_STAGEIV,139.2,145.94,281.0
2023-05-28,202322,101 - MS_ILLINOIS,MS_STAGEIV,139.65,118.96000000000001,229.0
2023-06-04,202323,101 - MS_ILLINOIS,MS_STAGEIV,126.55,155.84,258.0
2023-06-11,202324,101 - MS_ILLINOIS,MS_STAGEIV,119.53,123.07,232.0
2023-06-18,202325,101 - MS_ILLINOIS,MS_STAGEIV,119.12,110.26,172.0
2023-06-25,202326,101 - MS_ILLINOIS,MS_STAGEIV,118.89,106.28999999999999,196.0
2023-07-02,202327,101 - MS_ILLINOIS,MS_STAGEIV,118.94,144.06,176.0
2023-07-09,202328,101 - MS_ILLINOIS,MS_STAGEIV,103.81,97.75,207.0
2023-07-16,202329,101 - MS_ILLINOIS,MS_STAGEIV,98.25,108.25,200.0
2023-07-23,202330,101 - MS_ILLINOIS,MS_STAGEIV,98.03,104.7,199.0
2023-07-30,202331,101 - MS_ILLINOIS,MS_STAGEIV,97.39,87.86,197.0
2023-08-06,202332,101 - MS_ILLINOIS,MS_STAGEIV,153.11,168.04,186.0
2023-08-13,202333,101 - MS_ILLINOIS,MS_STAGEIV,167.87,186.09,175.0
2023-08-20,202334,101 - MS_ILLINOIS,MS_STAGEIV,167.92,195.15,193.0
2023-08-27,202335,101 - MS_ILLINOIS,MS_STAGEIV,167.82,159.16,198.0
2023-09-03,202336,101 - MS_ILLINOIS,MS_STAGEIV,168.33,188.8,224.0
2023-09-10,202337,101 - MS_ILLINOIS,MS_STAGEIV,168.11,184.98000000000002,190.0
2023-09-17,202338,101 - MS_ILLINOIS,MS_STAGEIV,104.17,,195.0
