ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-02-20,202208,102 - MS_TEXAS,MS_STAGEIV,,,2.0
2022-02-27,202209,102 - MS_TEXAS,MS_STAGEIV,,,29.0
2022-03-06,202210,102 - MS_TEXAS,MS_STAGEIV,,,32.0
2022-03-13,202211,102 - MS_TEXAS,MS_STAGEIV,,,78.0
2022-03-20,202212,102 - MS_TEXAS,MS_STAGEIV,,,210.0
2022-03-27,202213,102 - MS_TEXAS,MS_STAGEIV,,,323.0
2022-04-03,202214,102 - MS_TEXAS,MS_STAGEIV,,,494.0
2022-04-10,202215,102 - MS_TEXAS,MS_STAGEIV,,,515.0
2022-04-17,202216,102 - MS_TEXAS,MS_STAGEIV,,,661.0
2022-04-24,202217,102 - MS_TEXAS,MS_STAGEIV,,,927.0
2022-05-01,202218,102 - MS_TEXAS,MS_STAGEIV,,,905.0
2022-05-08,202219,102 - MS_TEXAS,MS_STAGEIV,,,855.0
2022-05-15,202220,102 - MS_TEXAS,MS_STAGEIV,,,1166.0
2023-01-08,202302,102 - MS_TEXAS,MS_STAGEIV,,,405.0
2023-01-15,202303,102 - MS_TEXAS,MS_STAGEIV,,,365.0
2023-01-22,202304,102 - MS_TEXAS,MS_STAGEIV,,,320.0
2023-01-29,202305,102 - MS_TEXAS,MS_STAGEIV,,,258.0
2023-02-05,202306,102 - MS_TEXAS,MS_STAGEIV,,,301.0
2023-02-12,202307,102 - MS_TEXAS,MS_STAGEIV,506.82,478.47,292.0
2023-02-19,202308,102 - MS_TEXAS,MS_STAGEIV,524.34,554.36,334.0
2023-02-26,202309,102 - MS_TEXAS,MS_STAGEIV,525.45,474.35,328.0
2023-03-05,202310,102 - MS_TEXAS,MS_STAGEIV,525.06,515.61,444.0
2023-03-12,202311,102 - MS_TEXAS,MS_STAGEIV,766.19,763.14,602.0
2023-03-19,202312,102 - MS_TEXAS,MS_STAGEIV,894.19,1283.85,845.0
2023-03-26,202313,102 - MS_TEXAS,MS_STAGEIV,1028.73,385.27,960.0
2023-04-02,202314,102 - MS_TEXAS,MS_STAGEIV,1055.89,407.07,1082.0
2023-04-09,202315,102 - MS_TEXAS,MS_STAGEIV,712.5,994.65,1056.0
2023-04-16,202316,102 - MS_TEXAS,MS_STAGEIV,703.07,1132.93,1228.0
2023-04-23,202317,102 - MS_TEXAS,MS_STAGEIV,703.24,1088.79,1214.0
2023-04-30,202318,102 - MS_TEXAS,MS_STAGEIV,1358.99,615.0699999999999,1340.0
2023-05-07,202319,102 - MS_TEXAS,MS_STAGEIV,946.05,704.27,1154.0
2023-05-14,202320,102 - MS_TEXAS,MS_STAGEIV,831.72,996.8699999999999,997.0
2023-05-21,202321,102 - MS_TEXAS,MS_STAGEIV,829.51,934.61,935.0
2023-05-28,202322,102 - MS_TEXAS,MS_STAGEIV,829.59,879.47,1052.0
2023-06-04,202323,102 - MS_TEXAS,MS_STAGEIV,750.07,711.16,1026.0
2023-06-11,202324,102 - MS_TEXAS,MS_STAGEIV,696.44,681.5699999999999,1245.0
2023-06-18,202325,102 - MS_TEXAS,MS_STAGEIV,693.49,651.55,1191.0
2023-06-25,202326,102 - MS_TEXAS,MS_STAGEIV,692.58,747.4399999999999,1239.0
2023-07-02,202327,102 - MS_TEXAS,MS_STAGEIV,693.32,707.76,1127.0
2023-07-09,202328,102 - MS_TEXAS,MS_STAGEIV,597.16,461.47,1066.0
2023-07-16,202329,102 - MS_TEXAS,MS_STAGEIV,561.14,573.15,1175.0
2023-07-23,202330,102 - MS_TEXAS,MS_STAGEIV,559.62,636.37,1098.0
2023-07-30,202331,102 - MS_TEXAS,MS_STAGEIV,556.54,539.01,1120.0
2023-08-06,202332,102 - MS_TEXAS,MS_STAGEIV,872.18,918.65,1194.0
2023-08-13,202333,102 - MS_TEXAS,MS_STAGEIV,952.59,1053.6399999999999,1130.0
2023-08-20,202334,102 - MS_TEXAS,MS_STAGEIV,953.22,963.6,1070.0
2023-08-27,202335,102 - MS_TEXAS,MS_STAGEIV,949.33,902.42,1096.0
2023-09-03,202336,102 - MS_TEXAS,MS_STAGEIV,953.07,1009.3799999999999,1087.0
2023-09-10,202337,102 - MS_TEXAS,MS_STAGEIV,952.07,983.4000000000001,946.0
2023-09-17,202338,102 - MS_TEXAS,MS_STAGEIV,590.86,,926.0
