ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-02-20,202208,103 - MS_80REST,MS_STAGEIV,,,0.0
2022-02-27,202209,103 - MS_80REST,MS_STAGEIV,,,12.0
2022-03-06,202210,103 - MS_80REST,MS_STAGEIV,,,18.0
2022-03-13,202211,103 - MS_80REST,MS_STAGEIV,,,43.0
2022-03-20,202212,103 - MS_80REST,MS_STAGEIV,,,34.0
2022-03-27,202213,103 - MS_80REST,MS_STAGEIV,,,66.0
2022-04-03,202214,103 - MS_80REST,MS_STAGEIV,,,161.0
2022-04-10,202215,103 - MS_80REST,MS_STAGEIV,,,165.0
2022-04-17,202216,103 - MS_80REST,MS_STAGEIV,,,162.0
2022-04-24,202217,103 - MS_80REST,MS_STAGEIV,,,342.0
2022-05-01,202218,103 - MS_80REST,MS_STAGEIV,,,315.0
2022-05-08,202219,103 - MS_80REST,MS_STAGEIV,,,264.0
2022-05-15,202220,103 - MS_80REST,MS_STAGEIV,,,345.0
2023-01-08,202302,103 - MS_80REST,MS_STAGEIV,,,161.0
2023-01-15,202303,103 - MS_80REST,MS_STAGEIV,,,131.0
2023-01-22,202304,103 - MS_80REST,MS_STAGEIV,,,140.0
2023-01-29,202305,103 - MS_80REST,MS_STAGEIV,,,166.0
2023-02-05,202306,103 - MS_80REST,MS_STAGEIV,,,180.0
2023-02-12,202307,103 - MS_80REST,MS_STAGEIV,181.51,187.3,155.0
2023-02-19,202308,103 - MS_80REST,MS_STAGEIV,230.33,237.5,161.0
2023-02-26,202309,103 - MS_80REST,MS_STAGEIV,230.76,185.54000000000002,216.0
2023-03-05,202310,103 - MS_80REST,MS_STAGEIV,231.44,252.07000000000002,277.0
2023-03-12,202311,103 - MS_80REST,MS_STAGEIV,321.67,222.38,284.0
2023-03-19,202312,103 - MS_80REST,MS_STAGEIV,370.78,616.9599999999999,346.0
2023-03-26,202313,103 - MS_80REST,MS_STAGEIV,430.66,173.4,431.0
2023-04-02,202314,103 - MS_80REST,MS_STAGEIV,443.33,158.64,370.0
2023-04-09,202315,103 - MS_80REST,MS_STAGEIV,300.51,323.63,351.0
2023-04-16,202316,103 - MS_80REST,MS_STAGEIV,295.7,537.48,406.0
2023-04-23,202317,103 - MS_80REST,MS_STAGEIV,295.64,492.4,404.0
2023-04-30,202318,103 - MS_80REST,MS_STAGEIV,569.49,223.21,460.0
2023-05-07,202319,103 - MS_80REST,MS_STAGEIV,364.36,212.06,393.0
2023-05-14,202320,103 - MS_80REST,MS_STAGEIV,349.05,437.28,415.0
2023-05-21,202321,103 - MS_80REST,MS_STAGEIV,348.57,369.65000000000003,445.0
2023-05-28,202322,103 - MS_80REST,MS_STAGEIV,348.43,349.62,498.0
2023-06-04,202323,103 - MS_80REST,MS_STAGEIV,299.46,239.71,482.0
2023-06-11,202324,103 - MS_80REST,MS_STAGEIV,259.97,274.28000000000003,465.0
2023-06-18,202325,103 - MS_80REST,MS_STAGEIV,259.28,271.12,410.0
2023-06-25,202326,103 - MS_80REST,MS_STAGEIV,259.47,231.79000000000002,393.0
2023-07-02,202327,103 - MS_80REST,MS_STAGEIV,258.36,297.01,355.0
2023-07-09,202328,103 - MS_80REST,MS_STAGEIV,223.89,181.07999999999998,362.0
2023-07-16,202329,103 - MS_80REST,MS_STAGEIV,210.35,215.82,386.0
2023-07-23,202330,103 - MS_80REST,MS_STAGEIV,209.74,226.78,424.0
2023-07-30,202331,103 - MS_80REST,MS_STAGEIV,208.91,195.76,450.0
2023-08-06,202332,103 - MS_80REST,MS_STAGEIV,344.1,356.61,510.0
2023-08-13,202333,103 - MS_80REST,MS_STAGEIV,378.35,385.1,423.0
2023-08-20,202334,103 - MS_80REST,MS_STAGEIV,377.92,414.01,429.0
2023-08-27,202335,103 - MS_80REST,MS_STAGEIV,377.19,362.99,425.0
2023-09-03,202336,103 - MS_80REST,MS_STAGEIV,378.62,400.67999999999995,384.0
2023-09-10,202337,103 - MS_80REST,MS_STAGEIV,378.18,326.15,348.0
2023-09-17,202338,103 - MS_80REST,MS_STAGEIV,236.9,,307.0
