ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-10-23,202243,104 - JAR_CALIFORNIA,JAR_STAGEI,,,1.0
2022-10-30,202244,104 - JAR_CALIFORNIA,JAR_STAGEI,,,6.0
2022-11-06,202245,104 - JAR_CALIFORNIA,JAR_STAGEI,,,6.0
2022-11-13,202246,104 - JAR_CALIFORNIA,JAR_STAGEI,,,7.0
2022-11-20,202247,104 - JAR_CALIFORNIA,JAR_STAGEI,,,27.0
2022-11-27,202248,104 - JAR_CALIFORNIA,JAR_STAGEI,,,40.0
2022-12-04,202249,104 - JAR_CALIFORNIA,JAR_STAGEI,,,47.0
2022-12-11,202250,104 - JAR_CALIFORNIA,JAR_STAGEI,,,31.0
2022-12-18,202251,104 - JAR_CALIFORNIA,JAR_STAGEI,,,40.0
2022-12-25,202252,104 - JAR_CALIFORNIA,JAR_STAGEI,,,38.0
2023-01-01,202301,104 - JAR_CALIFORNIA,JAR_STAGEI,,,49.0
2023-01-08,202302,104 - JAR_CALIFORNIA,JAR_STAGEI,,,43.0
2023-01-15,202303,104 - JAR_CALIFORNIA,JAR_STAGEI,,,37.0
2023-01-22,202304,104 - JAR_CALIFORNIA,JAR_STAGEI,,,68.0
2023-01-29,202305,104 - JAR_CALIFORNIA,JAR_STAGEI,,,37.0
2023-02-05,202306,104 - JAR_CALIFORNIA,JAR_STAGEI,,,96.0
2023-02-12,202307,104 - JAR_CALIFORNIA,JAR_STAGEI,,,37.0
2023-02-19,202308,104 - JAR_CALIFORNIA,JAR_STAGEI,,,45.0
2023-02-26,202309,104 - JAR_CALIFORNIA,JAR_STAGEI,,84.12,49.0
2023-03-05,202310,104 - JAR_CALIFORNIA,JAR_STAGEI,206.57,145.7,43.0
2023-03-12,202311,104 - JAR_CALIFORNIA,JAR_STAGEI,212.11,158.79,106.0
2023-03-19,202312,104 - JAR_CALIFORNIA,JAR_STAGEI,212.01,136.76,41.0
2023-03-26,202313,104 - JAR_CALIFORNIA,JAR_STAGEI,212.11,130.34,61.0
2023-04-02,202314,104 - JAR_CALIFORNIA,JAR_STAGEI,167.44,110.24,53.0
2023-04-09,202315,104 - JAR_CALIFORNIA,JAR_STAGEI,150.83,88.0,51.0
2023-04-16,202316,104 - JAR_CALIFORNIA,JAR_STAGEI,153.83,84.92,45.0
2023-04-23,202317,104 - JAR_CALIFORNIA,JAR_STAGEI,153.54,84.68,42.0
2023-04-30,202318,104 - JAR_CALIFORNIA,JAR_STAGEI,66.28,138.11,48.0
2023-05-07,202319,104 - JAR_CALIFORNIA,JAR_STAGEI,85.9,104.18,33.0
2023-05-14,202320,104 - JAR_CALIFORNIA,JAR_STAGEI,104.42,110.53,51.0
2023-05-21,202321,104 - JAR_CALIFORNIA,JAR_STAGEI,104.92,100.66,37.0
2023-05-28,202322,104 - JAR_CALIFORNIA,JAR_STAGEI,104.38,107.57,41.0
2023-06-04,202323,104 - JAR_CALIFORNIA,JAR_STAGEI,114.7,114.77,54.0
2023-06-11,202324,104 - JAR_CALIFORNIA,JAR_STAGEI,126.75,127.88,56.0
2023-06-18,202325,104 - JAR_CALIFORNIA,JAR_STAGEI,84.31,134.04,41.0
2023-06-25,202326,104 - JAR_CALIFORNIA,JAR_STAGEI,106.81,127.07,31.0
2023-07-02,202327,104 - JAR_CALIFORNIA,JAR_STAGEI,231.08,120.6,49.0
2023-07-09,202328,104 - JAR_CALIFORNIA,JAR_STAGEI,169.94,132.11,30.0
2023-07-16,202329,104 - JAR_CALIFORNIA,JAR_STAGEI,105.07,139.33,42.0
2023-07-23,202330,104 - JAR_CALIFORNIA,JAR_STAGEI,105.1,117.27,38.0
2023-07-30,202331,104 - JAR_CALIFORNIA,JAR_STAGEI,104.47,115.54,44.0
2023-08-06,202332,104 - JAR_CALIFORNIA,JAR_STAGEI,105.5,135.25,57.0
2023-08-13,202333,104 - JAR_CALIFORNIA,JAR_STAGEI,104.73,125.0,34.0
2023-08-20,202334,104 - JAR_CALIFORNIA,JAR_STAGEI,105.36,126.69,38.0
2023-08-27,202335,104 - JAR_CALIFORNIA,JAR_STAGEI,104.43,121.4,52.0
