ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-10-30,202244,105 - JAR_TEXAS,JAR_STAGEI,,,1.0
2022-11-06,202245,105 - JAR_TEXAS,JAR_STAGEI,,,1.0
2022-11-13,202246,105 - JAR_TEXAS,JAR_STAGEI,,,3.0
2022-11-20,202247,105 - JAR_TEXAS,JAR_STAGEI,,,12.0
2022-11-27,202248,105 - JAR_TEXAS,JAR_STAGEI,,,17.0
2022-12-04,202249,105 - JAR_TEXAS,JAR_STAGEI,,,37.0
2022-12-11,202250,105 - JAR_TEXAS,JAR_STAGEI,,,39.0
2022-12-18,202251,105 - JAR_TEXAS,JAR_STAGEI,,,23.0
2022-12-25,202252,105 - JAR_TEXAS,JAR_STAGEI,,,27.0
2023-01-01,202301,105 - JAR_TEXAS,JAR_STAGEI,,,14.0
2023-01-08,202302,105 - JAR_TEXAS,JAR_STAGEI,,,24.0
2023-01-15,202303,105 - JAR_TEXAS,JAR_STAGEI,,,19.0
2023-01-22,202304,105 - JAR_TEXAS,JAR_STAGEI,,,30.0
2023-01-29,202305,105 - JAR_TEXAS,JAR_STAGEI,,,20.0
2023-02-05,202306,105 - JAR_TEXAS,JAR_STAGEI,,,30.0
2023-02-12,202307,105 - JAR_TEXAS,JAR_STAGEI,,,16.0
2023-02-19,202308,105 - JAR_TEXAS,JAR_STAGEI,,,29.0
2023-02-26,202309,105 - JAR_TEXAS,JAR_STAGEI,,88.53,28.0
2023-03-05,202310,105 - JAR_TEXAS,JAR_STAGEI,147.79,141.59,29.0
2023-03-12,202311,105 - JAR_TEXAS,JAR_STAGEI,149.02,140.05,68.0
2023-03-19,202312,105 - JAR_TEXAS,JAR_STAGEI,148.41,144.34,22.0
2023-03-26,202313,105 - JAR_TEXAS,JAR_STAGEI,149.39,137.43,26.0
2023-04-02,202314,105 - JAR_TEXAS,JAR_STAGEI,118.03,113.53,31.0
2023-04-09,202315,105 - JAR_TEXAS,JAR_STAGEI,108.74,86.43,32.0
2023-04-16,202316,105 - JAR_TEXAS,JAR_STAGEI,111.65,87.32,18.0
2023-04-23,202317,105 - JAR_TEXAS,JAR_STAGEI,111.27,83.28,29.0
2023-04-30,202318,105 - JAR_TEXAS,JAR_STAGEI,46.5,94.52,32.0
2023-05-07,202319,105 - JAR_TEXAS,JAR_STAGEI,62.11,79.13,13.0
2023-05-14,202320,105 - JAR_TEXAS,JAR_STAGEI,69.5,71.9,22.0
2023-05-21,202321,105 - JAR_TEXAS,JAR_STAGEI,70.15,71.91,24.0
2023-05-28,202322,105 - JAR_TEXAS,JAR_STAGEI,69.71,68.42,24.0
2023-06-04,202323,105 - JAR_TEXAS,JAR_STAGEI,79.97,81.21,22.0
2023-06-11,202324,105 - JAR_TEXAS,JAR_STAGEI,91.16,95.44,27.0
2023-06-18,202325,105 - JAR_TEXAS,JAR_STAGEI,61.04,95.11,16.0
2023-06-25,202326,105 - JAR_TEXAS,JAR_STAGEI,77.09,90.69,27.0
2023-07-02,202327,105 - JAR_TEXAS,JAR_STAGEI,150.99,85.71,20.0
2023-07-09,202328,105 - JAR_TEXAS,JAR_STAGEI,104.72,91.96,29.0
2023-07-16,202329,105 - JAR_TEXAS,JAR_STAGEI,55.85,78.95,31.0
2023-07-23,202330,105 - JAR_TEXAS,JAR_STAGEI,56.2,76.6,19.0
2023-07-30,202331,105 - JAR_TEXAS,JAR_STAGEI,55.68,73.63,38.0
2023-08-06,202332,105 - JAR_TEXAS,JAR_STAGEI,56.33,79.82,29.0
2023-08-13,202333,105 - JAR_TEXAS,JAR_STAGEI,55.73,78.86,25.0
2023-08-20,202334,105 - JAR_TEXAS,JAR_STAGEI,56.33,76.17,32.0
2023-08-27,202335,105 - JAR_TEXAS,JAR_STAGEI,55.78,73.46,27.0
