ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-11-13,202246,106 - JAR_PRICO,JAR_STAGEI,,,10.0
2022-11-20,202247,106 - JAR_PRICO,JAR_STAGEI,,,23.0
2022-11-27,202248,106 - JAR_PRICO,JAR_STAGEI,,,37.0
2022-12-04,202249,106 - JAR_PRICO,JAR_STAGEI,,,42.0
2022-12-11,202250,106 - JAR_PRICO,JAR_STAGEI,,,44.0
2022-12-18,202251,106 - JAR_PRICO,JAR_STAGEI,,,54.0
2022-12-25,202252,106 - JAR_PRICO,JAR_STAGEI,,,58.0
2023-01-01,202301,106 - JAR_PRICO,JAR_STAGEI,,,56.0
2023-01-08,202302,106 - JAR_PRICO,JAR_STAGEI,,,75.0
2023-01-15,202303,106 - JAR_PRICO,JAR_STAGEI,,,59.0
2023-01-22,202304,106 - JAR_PRICO,JAR_STAGEI,,,88.0
2023-01-29,202305,106 - JAR_PRICO,JAR_STAGEI,,,55.0
2023-02-05,202306,106 - JAR_PRICO,JAR_STAGEI,,,120.0
2023-02-12,202307,106 - JAR_PRICO,JAR_STAGEI,,,64.0
2023-02-19,202308,106 - JAR_PRICO,JAR_STAGEI,,,60.0
2023-02-26,202309,106 - JAR_PRICO,JAR_STAGEI,,68.17,118.0
2023-03-05,202310,106 - JAR_PRICO,JAR_STAGEI,83.03,131.1,126.0
2023-03-12,202311,106 - JAR_PRICO,JAR_STAGEI,80.01,140.73,204.0
2023-03-19,202312,106 - JAR_PRICO,JAR_STAGEI,80.18,142.73,116.0
2023-03-26,202313,106 - JAR_PRICO,JAR_STAGEI,80.51,131.14,118.0
2023-04-02,202314,106 - JAR_PRICO,JAR_STAGEI,63.06,108.46,116.0
2023-04-09,202315,106 - JAR_PRICO,JAR_STAGEI,54.22,85.58,100.0
2023-04-16,202316,106 - JAR_PRICO,JAR_STAGEI,56.0,85.89,91.0
2023-04-23,202317,106 - JAR_PRICO,JAR_STAGEI,54.8,90.0,81.0
2023-04-30,202318,106 - JAR_PRICO,JAR_STAGEI,38.47,53.0,95.0
2023-05-07,202319,106 - JAR_PRICO,JAR_STAGEI,53.29,94.0,105.0
2023-05-14,202320,106 - JAR_PRICO,JAR_STAGEI,55.78,115.0,103.0
2023-05-21,202321,106 - JAR_PRICO,JAR_STAGEI,56.08,110.0,121.0
2023-05-28,202322,106 - JAR_PRICO,JAR_STAGEI,55.77,114.0,109.0
2023-06-04,202323,106 - JAR_PRICO,JAR_STAGEI,56.15,86.0,100.0
2023-06-11,202324,106 - JAR_PRICO,JAR_STAGEI,56.06,67.0,110.0
2023-06-18,202325,106 - JAR_PRICO,JAR_STAGEI,37.46,69.0,92.0
2023-06-25,202326,106 - JAR_PRICO,JAR_STAGEI,47.46,72.0,97.0
2023-07-02,202327,106 - JAR_PRICO,JAR_STAGEI,82.19,64.0,103.0
2023-07-09,202328,106 - JAR_PRICO,JAR_STAGEI,62.47,73.0,106.0
2023-07-16,202329,106 - JAR_PRICO,JAR_STAGEI,41.99,63.0,88.0
2023-07-23,202330,106 - JAR_PRICO,JAR_STAGEI,42.09,57.0,98.0
2023-07-30,202331,106 - JAR_PRICO,JAR_STAGEI,41.77,48.0,99.0
2023-08-06,202332,106 - JAR_PRICO,JAR_STAGEI,42.13,57.0,105.0
2023-08-13,202333,106 - JAR_PRICO,JAR_STAGEI,41.97,54.0,87.0
2023-08-20,202334,106 - JAR_PRICO,JAR_STAGEI,42.1,57.0,90.0
2023-08-27,202335,106 - JAR_PRICO,JAR_STAGEI,41.77,55.0,129.0
