ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-11-06,202245,107 - JAR_ILLI,JAR_STAGEI,,,3.0
2022-11-13,202246,107 - JAR_ILLI,JAR_STAGEI,,,8.0
2022-11-20,202247,107 - JAR_ILLI,JAR_STAGEI,,,14.0
2022-11-27,202248,107 - JAR_ILLI,JAR_STAGEI,,,17.0
2022-12-04,202249,107 - JAR_ILLI,JAR_STAGEI,,,30.0
2022-12-11,202250,107 - JAR_ILLI,JAR_STAGEI,,,16.0
2022-12-18,202251,107 - JAR_ILLI,JAR_STAGEI,,,11.0
2022-12-25,202252,107 - JAR_ILLI,JAR_STAGEI,,,16.0
2023-01-01,202301,107 - JAR_ILLI,JAR_STAGEI,,,18.0
2023-01-08,202302,107 - JAR_ILLI,JAR_STAGEI,,,20.0
2023-01-15,202303,107 - JAR_ILLI,JAR_STAGEI,,,20.0
2023-01-22,202304,107 - JAR_ILLI,JAR_STAGEI,,,26.0
2023-01-29,202305,107 - JAR_ILLI,JAR_STAGEI,,,26.0
2023-02-05,202306,107 - JAR_ILLI,JAR_STAGEI,,,44.0
2023-02-12,202307,107 - JAR_ILLI,JAR_STAGEI,,,22.0
2023-02-19,202308,107 - JAR_ILLI,JAR_STAGEI,,,21.0
2023-02-26,202309,107 - JAR_ILLI,JAR_STAGEI,,83.17,30.0
2023-03-05,202310,107 - JAR_ILLI,JAR_STAGEI,129.88,137.91,31.0
2023-03-12,202311,107 - JAR_ILLI,JAR_STAGEI,132.72,144.11,34.0
2023-03-19,202312,107 - JAR_ILLI,JAR_STAGEI,131.33,138.76,31.0
2023-03-26,202313,107 - JAR_ILLI,JAR_STAGEI,131.46,137.34,25.0
2023-04-02,202314,107 - JAR_ILLI,JAR_STAGEI,103.63,108.24,26.0
2023-04-09,202315,107 - JAR_ILLI,JAR_STAGEI,95.12,86.86,26.0
2023-04-16,202316,107 - JAR_ILLI,JAR_STAGEI,98.17,85.0,19.0
2023-04-23,202317,107 - JAR_ILLI,JAR_STAGEI,97.57,89.15,27.0
2023-04-30,202318,107 - JAR_ILLI,JAR_STAGEI,26.21,85.49,24.0
2023-05-07,202319,107 - JAR_ILLI,JAR_STAGEI,75.15,66.82,15.0
2023-05-14,202320,107 - JAR_ILLI,JAR_STAGEI,111.35,60.11,22.0
2023-05-21,202321,107 - JAR_ILLI,JAR_STAGEI,112.55,61.29,20.0
2023-05-28,202322,107 - JAR_ILLI,JAR_STAGEI,111.1,53.76,31.0
2023-06-04,202323,107 - JAR_ILLI,JAR_STAGEI,90.78,55.72,24.0
2023-06-11,202324,107 - JAR_ILLI,JAR_STAGEI,70.05,56.46,27.0
2023-06-18,202325,107 - JAR_ILLI,JAR_STAGEI,47.11,61.0,25.0
2023-06-25,202326,107 - JAR_ILLI,JAR_STAGEI,58.82,56.46,24.0
2023-07-02,202327,107 - JAR_ILLI,JAR_STAGEI,115.69,54.27,19.0
2023-07-09,202328,107 - JAR_ILLI,JAR_STAGEI,93.78,57.38,23.0
2023-07-16,202329,107 - JAR_ILLI,JAR_STAGEI,70.03,58.96,24.0
2023-07-23,202330,107 - JAR_ILLI,JAR_STAGEI,70.11,55.04,22.0
2023-07-30,202331,107 - JAR_ILLI,JAR_STAGEI,69.58,53.56,22.0
2023-08-06,202332,107 - JAR_ILLI,JAR_STAGEI,70.33,58.15,20.0
2023-08-13,202333,107 - JAR_ILLI,JAR_STAGEI,69.64,57.29,27.0
2023-08-20,202334,107 - JAR_ILLI,JAR_STAGEI,70.33,56.67,14.0
2023-08-27,202335,107 - JAR_ILLI,JAR_STAGEI,69.74,53.74,26.0
