ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-01-31,202105,108 - JAL_TEXAS2,JAL_STAGEIII,,,75.0
2021-02-07,202106,108 - JAL_TEXAS2,JAL_STAGEIII,,,67.0
2021-02-14,202107,108 - JAL_TEXAS2,JAL_STAGEIII,,,43.0
2021-02-21,202108,108 - JAL_TEXAS2,JAL_STAGEIII,,,89.0
2021-02-28,202109,108 - JAL_TEXAS2,JAL_STAGEIII,,,85.0
2021-03-07,202110,108 - JAL_TEXAS2,JAL_STAGEIII,,,85.0
2021-03-14,202111,108 - JAL_TEXAS2,JAL_STAGEIII,,,74.0
2021-03-21,202112,108 - JAL_TEXAS2,JAL_STAGEIII,,,84.0
2021-03-28,202113,108 - JAL_TEXAS2,JAL_STAGEIII,,,68.0
2021-04-04,202114,108 - JAL_TEXAS2,JAL_STAGEIII,,,81.0
2021-04-11,202115,108 - JAL_TEXAS2,JAL_STAGEIII,,,94.0
2021-04-18,202116,108 - JAL_TEXAS2,JAL_STAGEIII,,,83.0
2021-04-25,202117,108 - JAL_TEXAS2,JAL_STAGEIII,,,70.0
2021-05-02,202118,108 - JAL_TEXAS2,JAL_STAGEIII,,,61.0
2021-05-09,202119,108 - JAL_TEXAS2,JAL_STAGEIII,,,76.0
2021-05-16,202120,108 - JAL_TEXAS2,JAL_STAGEIII,,,74.0
2021-05-23,202121,108 - JAL_TEXAS2,JAL_STAGEIII,,,55.0
2021-05-30,202122,108 - JAL_TEXAS2,JAL_STAGEIII,,,55.0
2021-06-06,202123,108 - JAL_TEXAS2,JAL_STAGEIII,,,66.0
2021-06-13,202124,108 - JAL_TEXAS2,JAL_STAGEIII,,,67.0
2021-06-20,202125,108 - JAL_TEXAS2,JAL_STAGEIII,,,66.0
2021-06-27,202126,108 - JAL_TEXAS2,JAL_STAGEIII,,,66.0
2021-07-04,202127,108 - JAL_TEXAS2,JAL_STAGEIII,,,59.0
2021-07-11,202128,108 - JAL_TEXAS2,JAL_STAGEIII,,,66.0
2021-07-18,202129,108 - JAL_TEXAS2,JAL_STAGEIII,,,56.0
2021-07-25,202130,108 - JAL_TEXAS2,JAL_STAGEIII,,,65.0
2021-08-01,202131,108 - JAL_TEXAS2,JAL_STAGEIII,,,63.0
2021-08-08,202132,108 - JAL_TEXAS2,JAL_STAGEIII,,,60.0
2021-08-15,202133,108 - JAL_TEXAS2,JAL_STAGEIII,,,83.0
2021-08-22,202134,108 - JAL_TEXAS2,JAL_STAGEIII,,,64.0
2021-08-29,202135,108 - JAL_TEXAS2,JAL_STAGEIII,,,78.0
2021-09-05,202136,108 - JAL_TEXAS2,JAL_STAGEIII,,,58.0
2021-09-12,202137,108 - JAL_TEXAS2,JAL_STAGEIII,,,73.0
2021-09-19,202138,108 - JAL_TEXAS2,JAL_STAGEIII,,,56.0
2021-09-26,202139,108 - JAL_TEXAS2,JAL_STAGEIII,,,52.0
2021-10-03,202140,108 - JAL_TEXAS2,JAL_STAGEIII,,,55.0
2021-10-10,202141,108 - JAL_TEXAS2,JAL_STAGEIII,,,50.0
2021-10-17,202142,108 - JAL_TEXAS2,JAL_STAGEIII,,,70.0
2021-10-24,202143,108 - JAL_TEXAS2,JAL_STAGEIII,,,58.0
2021-10-31,202144,108 - JAL_TEXAS2,JAL_STAGEIII,,,55.0
2021-11-07,202145,108 - JAL_TEXAS2,JAL_STAGEIII,,,63.0
2021-11-14,202146,108 - JAL_TEXAS2,JAL_STAGEIII,,,55.0
2021-11-21,202147,108 - JAL_TEXAS2,JAL_STAGEIII,,,57.0
2021-11-28,202148,108 - JAL_TEXAS2,JAL_STAGEIII,,,45.0
2021-12-05,202149,108 - JAL_TEXAS2,JAL_STAGEIII,,,62.0
2021-12-12,202150,108 - JAL_TEXAS2,JAL_STAGEIII,,,45.0
2021-12-19,202151,108 - JAL_TEXAS2,JAL_STAGEIII,,,57.0
2021-12-26,202152,108 - JAL_TEXAS2,JAL_STAGEIII,,,52.0
2022-01-02,202201,108 - JAL_TEXAS2,JAL_STAGEIII,,,48.0
2022-01-09,202202,108 - JAL_TEXAS2,JAL_STAGEIII,,,82.0
2022-01-16,202203,108 - JAL_TEXAS2,JAL_STAGEIII,,,69.0
2022-01-23,202204,108 - JAL_TEXAS2,JAL_STAGEIII,,,45.0
2022-01-30,202205,108 - JAL_TEXAS2,JAL_STAGEIII,,,51.0
2022-02-06,202206,108 - JAL_TEXAS2,JAL_STAGEIII,,,49.0
2022-02-13,202207,108 - JAL_TEXAS2,JAL_STAGEIII,,,51.0
2022-02-20,202208,108 - JAL_TEXAS2,JAL_STAGEIII,,,57.0
2022-02-27,202209,108 - JAL_TEXAS2,JAL_STAGEIII,,,46.0
2022-03-06,202210,108 - JAL_TEXAS2,JAL_STAGEIII,,,41.0
2022-03-13,202211,108 - JAL_TEXAS2,JAL_STAGEIII,,,59.0
2022-03-20,202212,108 - JAL_TEXAS2,JAL_STAGEIII,,,48.0
2022-03-27,202213,108 - JAL_TEXAS2,JAL_STAGEIII,,,64.0
2022-04-03,202214,108 - JAL_TEXAS2,JAL_STAGEIII,,,63.0
2022-04-10,202215,108 - JAL_TEXAS2,JAL_STAGEIII,,,46.0
2022-04-17,202216,108 - JAL_TEXAS2,JAL_STAGEIII,,,41.0
2022-04-24,202217,108 - JAL_TEXAS2,JAL_STAGEIII,,,59.0
2022-05-01,202218,108 - JAL_TEXAS2,JAL_STAGEIII,,,60.0
2022-05-08,202219,108 - JAL_TEXAS2,JAL_STAGEIII,,,39.0
2022-05-15,202220,108 - JAL_TEXAS2,JAL_STAGEIII,,,40.0
2022-05-22,202221,108 - JAL_TEXAS2,JAL_STAGEIII,,,45.0
2022-05-29,202222,108 - JAL_TEXAS2,JAL_STAGEIII,,,41.0
2022-06-05,202223,108 - JAL_TEXAS2,JAL_STAGEIII,,,43.0
2022-06-12,202224,108 - JAL_TEXAS2,JAL_STAGEIII,,,45.0
2022-06-19,202225,108 - JAL_TEXAS2,JAL_STAGEIII,,,34.0
2022-06-26,202226,108 - JAL_TEXAS2,JAL_STAGEIII,,,39.0
2022-07-03,202227,108 - JAL_TEXAS2,JAL_STAGEIII,,,40.0
2022-07-10,202228,108 - JAL_TEXAS2,JAL_STAGEIII,,,46.0
2022-07-17,202229,108 - JAL_TEXAS2,JAL_STAGEIII,,,50.0
2022-07-24,202230,108 - JAL_TEXAS2,JAL_STAGEIII,,,32.0
2022-07-31,202231,108 - JAL_TEXAS2,JAL_STAGEIII,,,49.0
2022-08-07,202232,108 - JAL_TEXAS2,JAL_STAGEIII,,,42.0
2022-08-14,202233,108 - JAL_TEXAS2,JAL_STAGEIII,,,55.0
2022-08-21,202234,108 - JAL_TEXAS2,JAL_STAGEIII,,,40.0
2022-08-28,202235,108 - JAL_TEXAS2,JAL_STAGEIII,,,39.0
2022-09-04,202236,108 - JAL_TEXAS2,JAL_STAGEIII,,,50.0
2022-09-11,202237,108 - JAL_TEXAS2,JAL_STAGEIII,,,41.0
2022-09-18,202238,108 - JAL_TEXAS2,JAL_STAGEIII,,,42.0
2022-09-25,202239,108 - JAL_TEXAS2,JAL_STAGEIII,,,41.0
2022-10-02,202240,108 - JAL_TEXAS2,JAL_STAGEIII,,,50.0
2022-10-09,202241,108 - JAL_TEXAS2,JAL_STAGEIII,,,41.0
2022-10-16,202242,108 - JAL_TEXAS2,JAL_STAGEIII,,,49.0
2022-10-23,202243,108 - JAL_TEXAS2,JAL_STAGEIII,,,42.0
2022-10-30,202244,108 - JAL_TEXAS2,JAL_STAGEIII,,,37.0
2022-11-06,202245,108 - JAL_TEXAS2,JAL_STAGEIII,,,54.0
2022-11-13,202246,108 - JAL_TEXAS2,JAL_STAGEIII,,,33.0
2022-11-20,202247,108 - JAL_TEXAS2,JAL_STAGEIII,,,49.0
2022-11-27,202248,108 - JAL_TEXAS2,JAL_STAGEIII,,,40.0
2022-12-04,202249,108 - JAL_TEXAS2,JAL_STAGEIII,,,40.0
2022-12-11,202250,108 - JAL_TEXAS2,JAL_STAGEIII,,,43.0
2022-12-18,202251,108 - JAL_TEXAS2,JAL_STAGEIII,,,42.0
2022-12-25,202252,108 - JAL_TEXAS2,JAL_STAGEIII,,,45.0
2023-01-01,202301,108 - JAL_TEXAS2,JAL_STAGEIII,,,38.0
2023-01-08,202302,108 - JAL_TEXAS2,JAL_STAGEIII,,,43.0
2023-01-15,202303,108 - JAL_TEXAS2,JAL_STAGEIII,,,56.0
2023-01-22,202304,108 - JAL_TEXAS2,JAL_STAGEIII,,,47.0
2023-01-29,202305,108 - JAL_TEXAS2,JAL_STAGEIII,,,27.0
2023-02-05,202306,108 - JAL_TEXAS2,JAL_STAGEIII,,,50.0
2023-02-12,202307,108 - JAL_TEXAS2,JAL_STAGEIII,,,36.0
2023-02-19,202308,108 - JAL_TEXAS2,JAL_STAGEIII,,,74.0
2023-02-26,202309,108 - JAL_TEXAS2,JAL_STAGEIII,,,66.0
2023-03-05,202310,108 - JAL_TEXAS2,JAL_STAGEIII,,,65.0
2023-03-12,202311,108 - JAL_TEXAS2,JAL_STAGEIII,,,47.0
2023-03-19,202312,108 - JAL_TEXAS2,JAL_STAGEIII,,,54.0
2023-03-26,202313,108 - JAL_TEXAS2,JAL_STAGEIII,,,63.0
2023-04-02,202314,108 - JAL_TEXAS2,JAL_STAGEIII,,,41.0
2023-04-09,202315,108 - JAL_TEXAS2,JAL_STAGEIII,,,50.0
2023-04-16,202316,108 - JAL_TEXAS2,JAL_STAGEIII,,,67.0
2023-04-23,202317,108 - JAL_TEXAS2,JAL_STAGEIII,,,54.0
2023-04-30,202318,108 - JAL_TEXAS2,JAL_STAGEIII,,,42.0
2023-05-07,202319,108 - JAL_TEXAS2,JAL_STAGEIII,,,42.0
2023-05-14,202320,108 - JAL_TEXAS2,JAL_STAGEIII,,,41.0
2023-05-21,202321,108 - JAL_TEXAS2,JAL_STAGEIII,,,44.0
2023-05-28,202322,108 - JAL_TEXAS2,JAL_STAGEIII,,,52.0
2023-06-04,202323,108 - JAL_TEXAS2,JAL_STAGEIII,,,36.0
2023-06-11,202324,108 - JAL_TEXAS2,JAL_STAGEIII,,,46.0
2023-06-18,202325,108 - JAL_TEXAS2,JAL_STAGEIII,,,43.0
2023-06-25,202326,108 - JAL_TEXAS2,JAL_STAGEIII,,,52.0
2023-07-02,202327,108 - JAL_TEXAS2,JAL_STAGEIII,,,69.0
2023-07-09,202328,108 - JAL_TEXAS2,JAL_STAGEIII,,,38.0
2023-07-16,202329,108 - JAL_TEXAS2,JAL_STAGEIII,,,45.0
2023-07-23,202330,108 - JAL_TEXAS2,JAL_STAGEIII,,,60.0
2023-07-30,202331,108 - JAL_TEXAS2,JAL_STAGEIII,,,47.0
2023-08-06,202332,108 - JAL_TEXAS2,JAL_STAGEIII,,,71.0
2023-08-13,202333,108 - JAL_TEXAS2,JAL_STAGEIII,,,62.0
2023-08-20,202334,108 - JAL_TEXAS2,JAL_STAGEIII,,,58.0
2023-08-27,202335,108 - JAL_TEXAS2,JAL_STAGEIII,,,66.0
2023-09-03,202336,108 - JAL_TEXAS2,JAL_STAGEIII,,,49.0
2023-09-10,202337,108 - JAL_TEXAS2,JAL_STAGEIII,,,52.0
2023-09-17,202338,108 - JAL_TEXAS2,JAL_STAGEIII,,,57.0
2023-09-24,202339,108 - JAL_TEXAS2,JAL_STAGEIII,,,50.0
2023-10-01,202340,108 - JAL_TEXAS2,JAL_STAGEIII,,,55.0
2023-10-08,202341,108 - JAL_TEXAS2,JAL_STAGEIII,,,54.0
2023-10-15,202342,108 - JAL_TEXAS2,JAL_STAGEIII,,,33.0
2023-10-22,202343,108 - JAL_TEXAS2,JAL_STAGEIII,,,40.0
2023-10-29,202344,108 - JAL_TEXAS2,JAL_STAGEIII,,,42.0
2023-11-05,202345,108 - JAL_TEXAS2,JAL_STAGEIII,,,45.0
