ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-01-31,202105,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,98.0
2021-02-07,202106,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,103.0
2021-02-14,202107,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,108.0
2021-02-21,202108,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,82.0
2021-02-28,202109,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,113.0
2021-03-07,202110,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,120.0
2021-03-14,202111,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,96.0
2021-03-21,202112,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,72.0
2021-03-28,202113,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,87.0
2021-04-04,202114,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,89.0
2021-04-11,202115,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,97.0
2021-04-18,202116,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,92.0
2021-04-25,202117,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,83.0
2021-05-02,202118,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,83.0
2021-05-09,202119,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,76.0
2021-05-16,202120,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,86.0
2021-05-23,202121,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,79.0
2021-05-30,202122,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,79.0
2021-06-06,202123,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,83.0
2021-06-13,202124,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,72.0
2021-06-20,202125,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,54.0
2021-06-27,202126,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,56.0
2021-07-04,202127,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,83.0
2021-07-11,202128,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,96.0
2021-07-18,202129,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,84.0
2021-07-25,202130,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,61.0
2021-08-01,202131,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,77.0
2021-08-08,202132,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,107.0
2021-08-15,202133,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,73.0
2021-08-22,202134,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,68.0
2021-08-29,202135,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,79.0
2021-09-05,202136,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,99.0
2021-09-12,202137,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,69.0
2021-09-19,202138,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,80.0
2021-09-26,202139,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,72.0
2021-10-03,202140,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,76.0
2021-10-10,202141,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,90.0
2021-10-17,202142,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,86.0
2021-10-24,202143,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,68.0
2021-10-31,202144,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,82.0
2021-11-07,202145,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,75.0
2021-11-14,202146,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,79.0
2021-11-21,202147,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,70.0
2021-11-28,202148,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,79.0
2021-12-05,202149,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,66.0
2021-12-12,202150,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,57.0
2021-12-19,202151,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,67.0
2021-12-26,202152,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,52.0
2022-01-02,202201,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,85.0
2022-01-09,202202,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,83.0
2022-01-16,202203,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,70.0
2022-01-23,202204,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,75.0
2022-01-30,202205,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,63.0
2022-02-06,202206,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,52.0
2022-02-13,202207,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,47.0
2022-02-20,202208,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,76.0
2022-02-27,202209,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,63.0
2022-03-06,202210,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,71.0
2022-03-13,202211,109 - JAL_CALIFORNIA2,JAL_STAGEIII,,,50.0
