ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2023-03-19,202312,114 - SPH_CALI,SPH_STAGEI,,,51.0
2023-03-26,202313,114 - SPH_CALI,SPH_STAGEI,,,270.0
2023-04-02,202314,114 - SPH_CALI,SPH_STAGEI,,,467.0
2023-04-09,202315,114 - SPH_CALI,SPH_STAGEI,,,858.0
2023-04-16,202316,114 - SPH_CALI,SPH_STAGEI,,,1013.0
2023-04-23,202317,114 - SPH_CALI,SPH_STAGEI,145.1,648.0899999999999,1150.0
2023-04-30,202318,114 - SPH_CALI,SPH_STAGEI,192.69,251.23,1229.0
2023-05-07,202319,114 - SPH_CALI,SPH_STAGEI,657.61,573.36,1079.0
2023-05-14,202320,114 - SPH_CALI,SPH_STAGEI,746.53,772.01,1154.0
2023-05-21,202321,114 - SPH_CALI,SPH_STAGEI,766.19,747.53,1068.0
2023-05-28,202322,114 - SPH_CALI,SPH_STAGEI,767.01,104.31,898.0
2023-06-04,202323,114 - SPH_CALI,SPH_STAGEI,709.37,429.95,856.0
2023-06-11,202324,114 - SPH_CALI,SPH_STAGEI,647.88,893.01,730.0
2023-06-18,202325,114 - SPH_CALI,SPH_STAGEI,645.5,979.32,791.0
2023-06-25,202326,114 - SPH_CALI,SPH_STAGEI,642.65,743.9000000000001,765.0
2023-07-02,202327,114 - SPH_CALI,SPH_STAGEI,643.98,595.4200000000001,700.0
2023-07-09,202328,114 - SPH_CALI,SPH_STAGEI,642.95,789.22,657.0
2023-07-16,202329,114 - SPH_CALI,SPH_STAGEI,646.6,565.0,690.0
2023-07-23,202330,114 - SPH_CALI,SPH_STAGEI,642.03,620.48,628.0
2023-07-30,202331,114 - SPH_CALI,SPH_STAGEI,549.03,920.03,669.0
2023-08-06,202332,114 - SPH_CALI,SPH_STAGEI,476.91,317.56,505.0
2023-08-13,202333,114 - SPH_CALI,SPH_STAGEI,412.92,336.19,578.0
2023-08-20,202334,114 - SPH_CALI,SPH_STAGEI,413.86,397.47,569.0
2023-08-27,202335,114 - SPH_CALI,SPH_STAGEI,412.1,559.12,595.0
2023-09-03,202336,114 - SPH_CALI,SPH_STAGEI,413.49,304.74,476.0
2023-09-10,202337,114 - SPH_CALI,SPH_STAGEI,376.29,553.03,423.0
2023-09-17,202338,114 - SPH_CALI,SPH_STAGEI,377.97,399.36,400.0
2023-09-24,202339,114 - SPH_CALI,SPH_STAGEI,377.6,407.87,428.0
2023-10-01,202340,114 - SPH_CALI,SPH_STAGEI,321.56,142.21,411.0
