ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2023-03-19,202312,117 - SPH_80REST,SPH_STAGEI,,,8.0
2023-03-26,202313,117 - SPH_80REST,SPH_STAGEI,,,112.0
2023-04-02,202314,117 - SPH_80REST,SPH_STAGEI,,,192.0
2023-04-09,202315,117 - SPH_80REST,SPH_STAGEI,,,261.0
2023-04-16,202316,117 - SPH_80REST,SPH_STAGEI,,,421.0
2023-04-23,202317,117 - SPH_80REST,SPH_STAGEI,,,464.0
2023-04-30,202318,117 - SPH_80REST,SPH_STAGEI,,,464.0
2023-05-07,202319,117 - SPH_80REST,SPH_STAGEI,,,373.0
2023-05-14,202320,117 - SPH_80REST,SPH_STAGEI,294.13,542.54,403.0
2023-05-21,202321,117 - SPH_80REST,SPH_STAGEI,369.66,67.32,400.0
2023-05-28,202322,117 - SPH_80REST,SPH_STAGEI,370.12,523.4399999999999,335.0
2023-06-04,202323,117 - SPH_80REST,SPH_STAGEI,339.26,248.98000000000002,279.0
2023-06-11,202324,117 - SPH_80REST,SPH_STAGEI,309.69,507.37,257.0
2023-06-18,202325,117 - SPH_80REST,SPH_STAGEI,307.7,361.94,269.0
2023-06-25,202326,117 - SPH_80REST,SPH_STAGEI,308.18,402.25,294.0
2023-07-02,202327,117 - SPH_80REST,SPH_STAGEI,308.05,259.36,268.0
2023-07-09,202328,117 - SPH_80REST,SPH_STAGEI,307.45,416.36,269.0
2023-07-16,202329,117 - SPH_80REST,SPH_STAGEI,308.75,261.63,234.0
2023-07-23,202330,117 - SPH_80REST,SPH_STAGEI,308.05,452.62,228.0
2023-07-30,202331,117 - SPH_80REST,SPH_STAGEI,261.95,293.39,218.0
2023-08-06,202332,117 - SPH_80REST,SPH_STAGEI,197.07,169.51,186.0
2023-08-13,202333,117 - SPH_80REST,SPH_STAGEI,161.29,173.97,156.0
2023-08-20,202334,117 - SPH_80REST,SPH_STAGEI,161.58,165.94,138.0
2023-08-27,202335,117 - SPH_80REST,SPH_STAGEI,159.93,123.56,127.0
2023-09-03,202336,117 - SPH_80REST,SPH_STAGEI,161.59,172.63,146.0
2023-09-10,202337,117 - SPH_80REST,SPH_STAGEI,125.1,174.07,136.0
2023-09-17,202338,117 - SPH_80REST,SPH_STAGEI,126.0,143.54000000000002,138.0
2023-09-24,202339,117 - SPH_80REST,SPH_STAGEI,125.56,193.47,139.0
2023-10-01,202340,117 - SPH_80REST,SPH_STAGEI,107.46,73.17,115.0
