ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-01-02,202201,119 - COL_CALIFORNIA,COL_STAGEII,,,305.0
2022-01-09,202202,119 - COL_CALIFORNIA,COL_STAGEII,,,355.0
2022-01-16,202203,119 - COL_CALIFORNIA,COL_STAGEII,,,354.0
2022-01-23,202204,119 - COL_CALIFORNIA,COL_STAGEII,,,404.0
2022-01-30,202205,119 - COL_CALIFORNIA,COL_STAGEII,,,449.0
2022-02-06,202206,119 - COL_CALIFORNIA,COL_STAGEII,,,474.0
2022-02-13,202207,119 - COL_CALIFORNIA,COL_STAGEII,,,507.0
2022-02-20,202208,119 - COL_CALIFORNIA,COL_STAGEII,,,441.0
2022-02-27,202209,119 - COL_CALIFORNIA,COL_STAGEII,,,504.0
2022-03-06,202210,119 - COL_CALIFORNIA,COL_STAGEII,,,553.0
2022-03-13,202211,119 - COL_CALIFORNIA,COL_STAGEII,,,619.0
2022-03-20,202212,119 - COL_CALIFORNIA,COL_STAGEII,,,555.0
2022-03-27,202213,119 - COL_CALIFORNIA,COL_STAGEII,,,571.0
2022-04-03,202214,119 - COL_CALIFORNIA,COL_STAGEII,,,552.0
2022-04-10,202215,119 - COL_CALIFORNIA,COL_STAGEII,,,490.0
2022-04-17,202216,119 - COL_CALIFORNIA,COL_STAGEII,,,487.0
2022-04-24,202217,119 - COL_CALIFORNIA,COL_STAGEII,,,526.0
2022-05-01,202218,119 - COL_CALIFORNIA,COL_STAGEII,,,494.0
2022-05-08,202219,119 - COL_CALIFORNIA,COL_STAGEII,,,454.0
2022-05-15,202220,119 - COL_CALIFORNIA,COL_STAGEII,,,469.0
2022-05-22,202221,119 - COL_CALIFORNIA,COL_STAGEII,,,426.0
2022-05-29,202222,119 - COL_CALIFORNIA,COL_STAGEII,,,397.0
2022-06-05,202223,119 - COL_CALIFORNIA,COL_STAGEII,,,455.0
2022-06-12,202224,119 - COL_CALIFORNIA,COL_STAGEII,,,485.0
2022-06-19,202225,119 - COL_CALIFORNIA,COL_STAGEII,,,444.0
2022-06-26,202226,119 - COL_CALIFORNIA,COL_STAGEII,,,449.0
2022-07-03,202227,119 - COL_CALIFORNIA,COL_STAGEII,,,480.0
2022-07-10,202228,119 - COL_CALIFORNIA,COL_STAGEII,,,444.0
2022-07-17,202229,119 - COL_CALIFORNIA,COL_STAGEII,,,428.0
2022-07-24,202230,119 - COL_CALIFORNIA,COL_STAGEII,,,337.0
2022-07-31,202231,119 - COL_CALIFORNIA,COL_STAGEII,,,397.0
2022-08-07,202232,119 - COL_CALIFORNIA,COL_STAGEII,,,437.0
2022-08-14,202233,119 - COL_CALIFORNIA,COL_STAGEII,,,485.0
2022-08-21,202234,119 - COL_CALIFORNIA,COL_STAGEII,,,408.0
2022-08-28,202235,119 - COL_CALIFORNIA,COL_STAGEII,,,396.0
2022-09-04,202236,119 - COL_CALIFORNIA,COL_STAGEII,,,411.0
2022-09-11,202237,119 - COL_CALIFORNIA,COL_STAGEII,,,367.0
2022-09-18,202238,119 - COL_CALIFORNIA,COL_STAGEII,,,384.0
2022-11-27,202248,119 - COL_CALIFORNIA,COL_STAGEII,,,321.0
2022-12-04,202249,119 - COL_CALIFORNIA,COL_STAGEII,,,322.0
2022-12-11,202250,119 - COL_CALIFORNIA,COL_STAGEII,,,274.0
2022-12-18,202251,119 - COL_CALIFORNIA,COL_STAGEII,,,270.0
2022-12-25,202252,119 - COL_CALIFORNIA,COL_STAGEII,,,285.0
2023-01-01,202301,119 - COL_CALIFORNIA,COL_STAGEII,,,314.0
2023-01-08,202302,119 - COL_CALIFORNIA,COL_STAGEII,,,325.0
2023-01-15,202303,119 - COL_CALIFORNIA,COL_STAGEII,,,358.0
2023-01-22,202304,119 - COL_CALIFORNIA,COL_STAGEII,,,351.0
2023-01-29,202305,119 - COL_CALIFORNIA,COL_STAGEII,,,330.0
2023-02-05,202306,119 - COL_CALIFORNIA,COL_STAGEII,,,374.0
2023-02-12,202307,119 - COL_CALIFORNIA,COL_STAGEII,,,300.0
2023-02-19,202308,119 - COL_CALIFORNIA,COL_STAGEII,,,336.0
2023-02-26,202309,119 - COL_CALIFORNIA,COL_STAGEII,,,339.0
2023-03-05,202310,119 - COL_CALIFORNIA,COL_STAGEII,,,355.0
2023-03-12,202311,119 - COL_CALIFORNIA,COL_STAGEII,,,364.0
2023-03-19,202312,119 - COL_CALIFORNIA,COL_STAGEII,,,287.0
2023-03-26,202313,119 - COL_CALIFORNIA,COL_STAGEII,,,363.0
2023-04-02,202314,119 - COL_CALIFORNIA,COL_STAGEII,,,340.0
2023-04-09,202315,119 - COL_CALIFORNIA,COL_STAGEII,,,310.0
2023-04-16,202316,119 - COL_CALIFORNIA,COL_STAGEII,,,302.0
2023-04-23,202317,119 - COL_CALIFORNIA,COL_STAGEII,,,302.0
2023-04-30,202318,119 - COL_CALIFORNIA,COL_STAGEII,,,299.0
2023-05-07,202319,119 - COL_CALIFORNIA,COL_STAGEII,,,301.0
2023-05-14,202320,119 - COL_CALIFORNIA,COL_STAGEII,,,296.0
2023-05-21,202321,119 - COL_CALIFORNIA,COL_STAGEII,,,305.0
2023-05-28,202322,119 - COL_CALIFORNIA,COL_STAGEII,,,280.0
2023-06-04,202323,119 - COL_CALIFORNIA,COL_STAGEII,,,311.0
2023-06-11,202324,119 - COL_CALIFORNIA,COL_STAGEII,,,280.0
