ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-01-02,202201,125 - COL_EAST,COL_STAGEII,,,99.0
2022-01-09,202202,125 - COL_EAST,COL_STAGEII,,,129.0
2022-01-16,202203,125 - COL_EAST,COL_STAGEII,,,109.0
2022-01-23,202204,125 - COL_EAST,COL_STAGEII,,,139.0
2022-01-30,202205,125 - COL_EAST,COL_STAGEII,,,131.0
2022-02-06,202206,125 - COL_EAST,COL_STAGEII,,,168.0
2022-02-13,202207,125 - COL_EAST,COL_STAGEII,,,138.0
2022-02-20,202208,125 - COL_EAST,COL_STAGEII,,,133.0
2022-02-27,202209,125 - COL_EAST,COL_STAGEII,,,169.0
2022-03-06,202210,125 - COL_EAST,COL_STAGEII,,,176.0
2022-03-13,202211,125 - COL_EAST,COL_STAGEII,,,186.0
2022-03-20,202212,125 - COL_EAST,COL_STAGEII,,,187.0
2022-03-27,202213,125 - COL_EAST,COL_STAGEII,,,212.0
2022-04-03,202214,125 - COL_EAST,COL_STAGEII,,,191.0
2022-04-10,202215,125 - COL_EAST,COL_STAGEII,,,184.0
2022-04-17,202216,125 - COL_EAST,COL_STAGEII,,,166.0
2022-04-24,202217,125 - COL_EAST,COL_STAGEII,,,155.0
2022-05-01,202218,125 - COL_EAST,COL_STAGEII,,,165.0
2022-05-08,202219,125 - COL_EAST,COL_STAGEII,,,137.0
2022-05-15,202220,125 - COL_EAST,COL_STAGEII,,,160.0
2022-05-22,202221,125 - COL_EAST,COL_STAGEII,,,171.0
2022-05-29,202222,125 - COL_EAST,COL_STAGEII,,,146.0
2022-06-05,202223,125 - COL_EAST,COL_STAGEII,,,145.0
2022-06-12,202224,125 - COL_EAST,COL_STAGEII,,,155.0
2022-06-19,202225,125 - COL_EAST,COL_STAGEII,,,171.0
2022-06-26,202226,125 - COL_EAST,COL_STAGEII,,,160.0
2022-07-03,202227,125 - COL_EAST,COL_STAGEII,,,176.0
2022-07-10,202228,125 - COL_EAST,COL_STAGEII,,,170.0
2022-07-17,202229,125 - COL_EAST,COL_STAGEII,,,168.0
2022-07-24,202230,125 - COL_EAST,COL_STAGEII,,,136.0
2022-07-31,202231,125 - COL_EAST,COL_STAGEII,,,134.0
2022-08-07,202232,125 - COL_EAST,COL_STAGEII,,,139.0
2022-08-14,202233,125 - COL_EAST,COL_STAGEII,,,161.0
2022-08-21,202234,125 - COL_EAST,COL_STAGEII,,,136.0
2022-08-28,202235,125 - COL_EAST,COL_STAGEII,,,151.0
2022-09-04,202236,125 - COL_EAST,COL_STAGEII,,,126.0
2022-09-11,202237,125 - COL_EAST,COL_STAGEII,,,129.0
2022-09-18,202238,125 - COL_EAST,COL_STAGEII,,,136.0
2022-11-27,202248,125 - COL_EAST,COL_STAGEII,,,106.0
2022-12-04,202249,125 - COL_EAST,COL_STAGEII,,,98.0
2022-12-11,202250,125 - COL_EAST,COL_STAGEII,,,123.0
2022-12-18,202251,125 - COL_EAST,COL_STAGEII,,,107.0
2022-12-25,202252,125 - COL_EAST,COL_STAGEII,,,115.0
2023-01-01,202301,125 - COL_EAST,COL_STAGEII,,,118.0
2023-01-08,202302,125 - COL_EAST,COL_STAGEII,,,121.0
2023-01-15,202303,125 - COL_EAST,COL_STAGEII,,,116.0
2023-01-22,202304,125 - COL_EAST,COL_STAGEII,,,130.0
2023-01-29,202305,125 - COL_EAST,COL_STAGEII,,,146.0
2023-02-05,202306,125 - COL_EAST,COL_STAGEII,,,115.0
2023-02-12,202307,125 - COL_EAST,COL_STAGEII,,,135.0
2023-02-19,202308,125 - COL_EAST,COL_STAGEII,,,139.0
2023-02-26,202309,125 - COL_EAST,COL_STAGEII,,,156.0
2023-03-05,202310,125 - COL_EAST,COL_STAGEII,,,143.0
2023-03-12,202311,125 - COL_EAST,COL_STAGEII,,,146.0
2023-03-19,202312,125 - COL_EAST,COL_STAGEII,,,116.0
2023-03-26,202313,125 - COL_EAST,COL_STAGEII,,,113.0
2023-04-02,202314,125 - COL_EAST,COL_STAGEII,,,129.0
2023-04-09,202315,125 - COL_EAST,COL_STAGEII,,,122.0
2023-04-16,202316,125 - COL_EAST,COL_STAGEII,,,136.0
2023-04-23,202317,125 - COL_EAST,COL_STAGEII,,,134.0
2023-04-30,202318,125 - COL_EAST,COL_STAGEII,,,117.0
2023-05-07,202319,125 - COL_EAST,COL_STAGEII,,,118.0
2023-05-14,202320,125 - COL_EAST,COL_STAGEII,,,126.0
2023-05-21,202321,125 - COL_EAST,COL_STAGEII,,,101.0
2023-05-28,202322,125 - COL_EAST,COL_STAGEII,,,118.0
2023-06-04,202323,125 - COL_EAST,COL_STAGEII,,,132.0
2023-06-11,202324,125 - COL_EAST,COL_STAGEII,,,120.0
2023-06-18,202325,125 - COL_EAST,COL_STAGEII,,,122.0
2023-06-25,202326,125 - COL_EAST,COL_STAGEII,,,106.0
2023-07-02,202327,125 - COL_EAST,COL_STAGEII,,,89.0
2023-07-09,202328,125 - COL_EAST,COL_STAGEII,,,99.0
2023-07-16,202329,125 - COL_EAST,COL_STAGEII,,,102.0
2023-07-23,202330,125 - COL_EAST,COL_STAGEII,,,99.0
2023-07-30,202331,125 - COL_EAST,COL_STAGEII,169.68,181.64,102.0
2023-08-06,202332,125 - COL_EAST,COL_STAGEII,223.86,232.67,132.0
2023-08-13,202333,125 - COL_EAST,COL_STAGEII,224.2,221.36,121.0
2023-08-20,202334,125 - COL_EAST,COL_STAGEII,223.88,227.85,92.0
2023-08-27,202335,125 - COL_EAST,COL_STAGEII,223.82,219.86,105.0
2023-09-03,202336,125 - COL_EAST,COL_STAGEII,224.5,211.73,116.0
2023-09-10,202337,125 - COL_EAST,COL_STAGEII,224.02,237.21,86.0
2023-09-17,202338,125 - COL_EAST,COL_STAGEII,223.69,232.02,158.0
2023-09-24,202339,125 - COL_EAST,COL_STAGEII,223.64,226.02,81.0
2023-10-01,202340,125 - COL_EAST,COL_STAGEII,224.17,203.55000000000004,86.0
2023-10-08,202341,125 - COL_EAST,COL_STAGEII,223.13,234.05000000000004,73.0
2023-10-15,202342,125 - COL_EAST,COL_STAGEII,224.89,222.81000000000003,78.0
2023-10-22,202343,125 - COL_EAST,COL_STAGEII,226.02,223.47,85.0
2023-10-29,202344,125 - COL_EAST,COL_STAGEII,219.33,210.16,87.0
2023-11-05,202345,125 - COL_EAST,COL_STAGEII,48.96,66.87,72.0
