ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-02-20,202208,126 - MS_AMAZON,MS_STAGEIV,,,0.0
2022-02-27,202209,126 - MS_AMAZON,MS_STAGEIV,,,54.0
2022-03-06,202210,126 - MS_AMAZON,MS_STAGEIV,,,116.0
2022-03-13,202211,126 - MS_AMAZON,MS_STAGEIV,,,175.0
2022-03-20,202212,126 - MS_AMAZON,MS_STAGEIV,,,262.0
2022-03-27,202213,126 - MS_AMAZON,MS_STAGEIV,,,353.0
2022-04-03,202214,126 - MS_AMAZON,MS_STAGEIV,,,456.0
2022-04-10,202215,126 - MS_AMAZON,MS_STAGEIV,,,486.0
2022-04-17,202216,126 - MS_AMAZON,MS_STAGEIV,,,523.0
2022-04-24,202217,126 - MS_AMAZON,MS_STAGEIV,,,603.0
2022-05-01,202218,126 - MS_AMAZON,MS_STAGEIV,,,550.0
2022-05-08,202219,126 - MS_AMAZON,MS_STAGEIV,,,480.0
2022-05-15,202220,126 - MS_AMAZON,MS_STAGEIV,,,592.0
2023-01-08,202302,126 - MS_AMAZON,MS_STAGEIV,,,422.0
2023-01-15,202303,126 - MS_AMAZON,MS_STAGEIV,,,370.0
2023-01-22,202304,126 - MS_AMAZON,MS_STAGEIV,,,374.0
2023-01-29,202305,126 - MS_AMAZON,MS_STAGEIV,,,387.0
2023-02-05,202306,126 - MS_AMAZON,MS_STAGEIV,,,382.0
2023-02-12,202307,126 - MS_AMAZON,MS_STAGEIV,209.42,291.22,359.0
2023-02-19,202308,126 - MS_AMAZON,MS_STAGEIV,328.43,107.56,414.0
2023-02-26,202309,126 - MS_AMAZON,MS_STAGEIV,329.21,478.72,484.0
2023-03-05,202310,126 - MS_AMAZON,MS_STAGEIV,329.11,326.25,684.0
2023-03-12,202311,126 - MS_AMAZON,MS_STAGEIV,328.54,338.05,756.0
2023-03-19,202312,126 - MS_AMAZON,MS_STAGEIV,329.64,319.14,879.0
2023-03-26,202313,126 - MS_AMAZON,MS_STAGEIV,341.88,370.36,1006.0
2023-04-02,202314,126 - MS_AMAZON,MS_STAGEIV,351.22,249.79,1164.0
2023-04-09,202315,126 - MS_AMAZON,MS_STAGEIV,349.58,363.85,1288.0
2023-04-16,202316,126 - MS_AMAZON,MS_STAGEIV,350.16,415.32,1386.0
2023-04-23,202317,126 - MS_AMAZON,MS_STAGEIV,351.66,422.86,1483.0
2023-04-30,202318,126 - MS_AMAZON,MS_STAGEIV,348.51,333.57,1548.0
2023-05-07,202319,126 - MS_AMAZON,MS_STAGEIV,331.44,206.74,1534.0
2023-05-14,202320,126 - MS_AMAZON,MS_STAGEIV,335.85,355.26,1564.0
2023-05-21,202321,126 - MS_AMAZON,MS_STAGEIV,334.44,367.87,1600.0
2023-05-28,202322,126 - MS_AMAZON,MS_STAGEIV,335.24,343.93,1516.0
2023-06-04,202323,126 - MS_AMAZON,MS_STAGEIV,160.26,72.75,1504.0
2023-06-11,202324,126 - MS_AMAZON,MS_STAGEIV,,,1389.0
2023-06-18,202325,126 - MS_AMAZON,MS_STAGEIV,,,1437.0
2023-06-25,202326,126 - MS_AMAZON,MS_STAGEIV,,,1478.0
2023-07-02,202327,126 - MS_AMAZON,MS_STAGEIV,,,1396.0
2023-07-09,202328,126 - MS_AMAZON,MS_STAGEIV,161.58,245.92,1350.0
2023-07-16,202329,126 - MS_AMAZON,MS_STAGEIV,259.25,80.08,1286.0
2023-07-23,202330,126 - MS_AMAZON,MS_STAGEIV,258.75,268.81,1354.0
2023-07-30,202331,126 - MS_AMAZON,MS_STAGEIV,256.96,393.11,1429.0
2023-08-06,202332,126 - MS_AMAZON,MS_STAGEIV,326.81,308.55,1414.0
2023-08-13,202333,126 - MS_AMAZON,MS_STAGEIV,343.51,371.18,1514.0
2023-08-20,202334,126 - MS_AMAZON,MS_STAGEIV,342.79,316.75,1587.0
2023-08-27,202335,126 - MS_AMAZON,MS_STAGEIV,342.59,272.53,1499.0
2023-09-03,202336,126 - MS_AMAZON,MS_STAGEIV,343.35,355.06,1480.0
2023-09-10,202337,126 - MS_AMAZON,MS_STAGEIV,343.13,401.57,1292.0
2023-09-17,202338,126 - MS_AMAZON,MS_STAGEIV,215.1,,1178.0
