ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2023-03-19,202312,127 - SPH_AMAZON,SPH_STAGEI,,,23.0
2023-03-26,202313,127 - SPH_AMAZON,SPH_STAGEI,,,115.0
2023-04-02,202314,127 - SPH_AMAZON,SPH_STAGEI,,,337.0
2023-04-09,202315,127 - SPH_AMAZON,SPH_STAGEI,,,480.0
2023-04-16,202316,127 - SPH_AMAZON,SPH_STAGEI,,,514.0
2023-04-23,202317,127 - SPH_AMAZON,SPH_STAGEI,32.18,2106.72,619.0
2023-04-30,202318,127 - SPH_AMAZON,SPH_STAGEI,69.79,91.72,929.0
2023-05-07,202319,127 - SPH_AMAZON,SPH_STAGEI,274.0,212.76,1158.0
2023-05-14,202320,127 - SPH_AMAZON,SPH_STAGEI,164.55,128.83,1287.0
2023-05-21,202321,127 - SPH_AMAZON,SPH_STAGEI,125.21,210.81,1291.0
2023-05-28,202322,127 - SPH_AMAZON,SPH_STAGEI,4.36,3.55,1216.0
2023-06-04,202323,127 - SPH_AMAZON,SPH_STAGEI,61.74,,1162.0
2023-06-11,202324,127 - SPH_AMAZON,SPH_STAGEI,126.26,78.24,1225.0
2023-06-18,202325,127 - SPH_AMAZON,SPH_STAGEI,126.3,159.28,1353.0
2023-06-25,202326,127 - SPH_AMAZON,SPH_STAGEI,125.69,113.58,1378.0
2023-07-02,202327,127 - SPH_AMAZON,SPH_STAGEI,126.23,90.89,1368.0
2023-07-09,202328,127 - SPH_AMAZON,SPH_STAGEI,126.0,127.84,1361.0
2023-07-16,202329,127 - SPH_AMAZON,SPH_STAGEI,125.92,137.29,1371.0
2023-07-23,202330,127 - SPH_AMAZON,SPH_STAGEI,125.89,110.0,1360.0
2023-07-30,202331,127 - SPH_AMAZON,SPH_STAGEI,107.56,131.98,1469.0
2023-08-06,202332,127 - SPH_AMAZON,SPH_STAGEI,167.86,167.56,1380.0
2023-08-13,202333,127 - SPH_AMAZON,SPH_STAGEI,175.11,186.89,1404.0
2023-08-20,202334,127 - SPH_AMAZON,SPH_STAGEI,175.06,167.1,1290.0
2023-08-27,202335,127 - SPH_AMAZON,SPH_STAGEI,174.47,171.97,1124.0
2023-09-03,202336,127 - SPH_AMAZON,SPH_STAGEI,175.59,123.28,1142.0
2023-09-10,202337,127 - SPH_AMAZON,SPH_STAGEI,174.75,193.25,1070.0
2023-09-17,202338,127 - SPH_AMAZON,SPH_STAGEI,175.1,192.41,1114.0
2023-09-24,202339,127 - SPH_AMAZON,SPH_STAGEI,175.01,163.2,1022.0
2023-10-01,202340,127 - SPH_AMAZON,SPH_STAGEI,149.07,132.27,942.0
