ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-05-15,202220,130 - PCT_CALIFORNIA,PCT_STAGEI,,,15857.0
2022-05-22,202221,130 - PCT_CALIFORNIA,PCT_STAGEI,,,15405.0
2022-05-29,202222,130 - PCT_CALIFORNIA,PCT_STAGEI,,,15332.0
2022-06-05,202223,130 - PCT_CALIFORNIA,PCT_STAGEI,,,15133.0
2022-06-12,202224,130 - PCT_CALIFORNIA,PCT_STAGEI,,,14276.0
2022-06-19,202225,130 - PCT_CALIFORNIA,PCT_STAGEI,,,14618.0
2022-06-26,202226,130 - PCT_CALIFORNIA,PCT_STAGEI,,,15203.0
2022-07-03,202227,130 - PCT_CALIFORNIA,PCT_STAGEI,,,15466.0
2022-07-10,202228,130 - PCT_CALIFORNIA,PCT_STAGEI,,,15971.0
2022-07-17,202229,130 - PCT_CALIFORNIA,PCT_STAGEI,,,15095.0
2022-07-24,202230,130 - PCT_CALIFORNIA,PCT_STAGEI,,,14623.0
2022-07-31,202231,130 - PCT_CALIFORNIA,PCT_STAGEI,,,14990.0
2022-08-07,202232,130 - PCT_CALIFORNIA,PCT_STAGEI,,,15705.0
2022-08-14,202233,130 - PCT_CALIFORNIA,PCT_STAGEI,,,14879.0
2022-08-21,202234,130 - PCT_CALIFORNIA,PCT_STAGEI,,,14254.0
2022-08-28,202235,130 - PCT_CALIFORNIA,PCT_STAGEI,,,14316.0
2022-09-04,202236,130 - PCT_CALIFORNIA,PCT_STAGEI,,,13404.0
2022-09-11,202237,130 - PCT_CALIFORNIA,PCT_STAGEI,,,12622.0
2022-09-18,202238,130 - PCT_CALIFORNIA,PCT_STAGEI,,,12532.0
2022-09-25,202239,130 - PCT_CALIFORNIA,PCT_STAGEI,,,12632.0
2022-10-02,202240,130 - PCT_CALIFORNIA,PCT_STAGEI,,,13128.0
2022-10-09,202241,130 - PCT_CALIFORNIA,PCT_STAGEI,,,13818.0
2022-10-16,202242,130 - PCT_CALIFORNIA,PCT_STAGEI,,,13866.0
2022-10-23,202243,130 - PCT_CALIFORNIA,PCT_STAGEI,,,13477.0
2022-10-30,202244,130 - PCT_CALIFORNIA,PCT_STAGEI,,,13593.0
2022-11-06,202245,130 - PCT_CALIFORNIA,PCT_STAGEI,,,13597.0
2022-11-13,202246,130 - PCT_CALIFORNIA,PCT_STAGEI,,,13072.0
2022-11-20,202247,130 - PCT_CALIFORNIA,PCT_STAGEI,,,12087.0
2022-11-27,202248,130 - PCT_CALIFORNIA,PCT_STAGEI,,,13106.0
2022-12-04,202249,130 - PCT_CALIFORNIA,PCT_STAGEI,,,12931.0
