ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-05-15,202220,133 - PCT_ILLINOIS,PCT_STAGEI,,,2771.0
2022-05-22,202221,133 - PCT_ILLINOIS,PCT_STAGEI,,,2824.0
2022-05-29,202222,133 - PCT_ILLINOIS,PCT_STAGEI,,,2506.0
2022-06-05,202223,133 - PCT_ILLINOIS,PCT_STAGEI,,,2539.0
2022-06-12,202224,133 - PCT_ILLINOIS,PCT_STAGEI,,,2769.0
2022-06-19,202225,133 - PCT_ILLINOIS,PCT_STAGEI,,,2699.0
2022-06-26,202226,133 - PCT_ILLINOIS,PCT_STAGEI,,,2800.0
2022-07-03,202227,133 - PCT_ILLINOIS,PCT_STAGEI,,,2507.0
2022-07-10,202228,133 - PCT_ILLINOIS,PCT_STAGEI,,,2922.0
2022-07-17,202229,133 - PCT_ILLINOIS,PCT_STAGEI,,,2983.0
2022-07-24,202230,133 - PCT_ILLINOIS,PCT_STAGEI,,,2949.0
2022-07-31,202231,133 - PCT_ILLINOIS,PCT_STAGEI,,,2940.0
2022-08-07,202232,133 - PCT_ILLINOIS,PCT_STAGEI,,,3617.0
2022-08-14,202233,133 - PCT_ILLINOIS,PCT_STAGEI,,,3336.0
2022-08-21,202234,133 - PCT_ILLINOIS,PCT_STAGEI,,,3010.0
2022-08-28,202235,133 - PCT_ILLINOIS,PCT_STAGEI,,,2819.0
2022-09-04,202236,133 - PCT_ILLINOIS,PCT_STAGEI,,,2533.0
2022-09-11,202237,133 - PCT_ILLINOIS,PCT_STAGEI,,,2339.0
2022-09-18,202238,133 - PCT_ILLINOIS,PCT_STAGEI,,,2446.0
2022-09-25,202239,133 - PCT_ILLINOIS,PCT_STAGEI,,,2622.0
2022-10-02,202240,133 - PCT_ILLINOIS,PCT_STAGEI,,,2640.0
2022-10-09,202241,133 - PCT_ILLINOIS,PCT_STAGEI,,,3015.0
2022-10-16,202242,133 - PCT_ILLINOIS,PCT_STAGEI,,,3042.0
2022-10-23,202243,133 - PCT_ILLINOIS,PCT_STAGEI,,,2763.0
2022-10-30,202244,133 - PCT_ILLINOIS,PCT_STAGEI,,,2624.0
2022-11-06,202245,133 - PCT_ILLINOIS,PCT_STAGEI,,,2548.0
2022-11-13,202246,133 - PCT_ILLINOIS,PCT_STAGEI,,,2367.0
2022-11-20,202247,133 - PCT_ILLINOIS,PCT_STAGEI,,,2269.0
2022-11-27,202248,133 - PCT_ILLINOIS,PCT_STAGEI,,,2621.0
2022-12-04,202249,133 - PCT_ILLINOIS,PCT_STAGEI,,,2625.0
2022-12-11,202250,133 - PCT_ILLINOIS,PCT_STAGEI,,,2388.0
2022-12-18,202251,133 - PCT_ILLINOIS,PCT_STAGEI,,,2384.0
2022-12-25,202252,133 - PCT_ILLINOIS,PCT_STAGEI,,,2914.0
2023-01-01,202301,133 - PCT_ILLINOIS,PCT_STAGEI,,,3302.0
2023-01-08,202302,133 - PCT_ILLINOIS,PCT_STAGEI,,,3401.0
2023-01-15,202303,133 - PCT_ILLINOIS,PCT_STAGEI,,,3185.0
2023-01-22,202304,133 - PCT_ILLINOIS,PCT_STAGEI,,,2819.0
2023-01-29,202305,133 - PCT_ILLINOIS,PCT_STAGEI,,,2713.0
2023-02-05,202306,133 - PCT_ILLINOIS,PCT_STAGEI,,,2856.0
2023-02-12,202307,133 - PCT_ILLINOIS,PCT_STAGEI,,,2736.0
2023-02-19,202308,133 - PCT_ILLINOIS,PCT_STAGEI,,,2819.0
2023-02-26,202309,133 - PCT_ILLINOIS,PCT_STAGEI,,,3051.0
2023-03-05,202310,133 - PCT_ILLINOIS,PCT_STAGEI,,,2931.0
2023-03-12,202311,133 - PCT_ILLINOIS,PCT_STAGEI,,,2958.0
2023-03-19,202312,133 - PCT_ILLINOIS,PCT_STAGEI,,,3090.0
2023-03-26,202313,133 - PCT_ILLINOIS,PCT_STAGEI,,,3085.0
2023-04-02,202314,133 - PCT_ILLINOIS,PCT_STAGEI,,,2990.0
2023-04-09,202315,133 - PCT_ILLINOIS,PCT_STAGEI,,,2838.0
2023-04-16,202316,133 - PCT_ILLINOIS,PCT_STAGEI,,,2674.0
2023-04-23,202317,133 - PCT_ILLINOIS,PCT_STAGEI,,,2766.0
2023-04-30,202318,133 - PCT_ILLINOIS,PCT_STAGEI,,,2547.0
2023-05-07,202319,133 - PCT_ILLINOIS,PCT_STAGEI,,,2351.0
2023-05-14,202320,133 - PCT_ILLINOIS,PCT_STAGEI,,,2795.0
2023-05-21,202321,133 - PCT_ILLINOIS,PCT_STAGEI,,,2672.0
2023-05-28,202322,133 - PCT_ILLINOIS,PCT_STAGEI,,,2895.0
2023-06-04,202323,133 - PCT_ILLINOIS,PCT_STAGEI,,,2793.0
2023-06-11,202324,133 - PCT_ILLINOIS,PCT_STAGEI,,,2750.0
2023-06-18,202325,133 - PCT_ILLINOIS,PCT_STAGEI,,,2770.0
2023-06-25,202326,133 - PCT_ILLINOIS,PCT_STAGEI,,,2989.0
2023-07-02,202327,133 - PCT_ILLINOIS,PCT_STAGEI,,,2730.0
2023-07-09,202328,133 - PCT_ILLINOIS,PCT_STAGEI,,,2704.0
2023-07-16,202329,133 - PCT_ILLINOIS,PCT_STAGEI,,,2867.0
2023-07-23,202330,133 - PCT_ILLINOIS,PCT_STAGEI,,,2766.0
2023-07-30,202331,133 - PCT_ILLINOIS,PCT_STAGEI,,,2721.0
2023-08-06,202332,133 - PCT_ILLINOIS,PCT_STAGEI,,,2743.0
2023-08-13,202333,133 - PCT_ILLINOIS,PCT_STAGEI,,,2889.0
2023-08-20,202334,133 - PCT_ILLINOIS,PCT_STAGEI,,,2857.0
2023-08-27,202335,133 - PCT_ILLINOIS,PCT_STAGEI,,,2791.0
2023-09-03,202336,133 - PCT_ILLINOIS,PCT_STAGEI,,,2675.0
2023-09-10,202337,133 - PCT_ILLINOIS,PCT_STAGEI,,,2606.0
2023-09-17,202338,133 - PCT_ILLINOIS,PCT_STAGEI,,,2790.0
2023-09-24,202339,133 - PCT_ILLINOIS,PCT_STAGEI,,,2630.0
2023-10-01,202340,133 - PCT_ILLINOIS,PCT_STAGEI,,,2661.0
2023-10-08,202341,133 - PCT_ILLINOIS,PCT_STAGEI,,,2805.0
2023-10-15,202342,133 - PCT_ILLINOIS,PCT_STAGEI,,,2710.0
2023-10-22,202343,133 - PCT_ILLINOIS,PCT_STAGEI,,,2828.0
2023-10-29,202344,133 - PCT_ILLINOIS,PCT_STAGEI,,,2625.0
2023-11-05,202345,133 - PCT_ILLINOIS,PCT_STAGEI,,,2733.0
2023-11-12,202346,133 - PCT_ILLINOIS,PCT_STAGEI,,,2509.0
2023-11-19,202347,133 - PCT_ILLINOIS,PCT_STAGEI,,,2492.0
2023-11-26,202348,133 - PCT_ILLINOIS,PCT_STAGEI,134.06,,2277.0
2023-12-03,202349,133 - PCT_ILLINOIS,PCT_STAGEI,161.25,,2375.0
2023-12-10,202350,133 - PCT_ILLINOIS,PCT_STAGEI,161.07,378.94,2282.0
2023-12-17,202351,133 - PCT_ILLINOIS,PCT_STAGEI,224.37,340.83,2180.0
2023-12-24,202352,133 - PCT_ILLINOIS,PCT_STAGEI,257.96,76.73,2729.0
2024-01-07,202401,133 - PCT_ILLINOIS,PCT_STAGEI,232.44,88.85,2905.0
2024-01-14,202402,133 - PCT_ILLINOIS,PCT_STAGEI,147.83,120.6,3085.0
2024-01-21,202403,133 - PCT_ILLINOIS,PCT_STAGEI,146.04000000000002,121.13,2754.0
2024-01-28,202404,133 - PCT_ILLINOIS,PCT_STAGEI,147.4,116.51,3080.0
2024-02-04,202405,133 - PCT_ILLINOIS,PCT_STAGEI,147.15,116.82,2905.0
2024-02-11,202406,133 - PCT_ILLINOIS,PCT_STAGEI,89.34,96.41,3040.0
2024-02-18,202407,133 - PCT_ILLINOIS,PCT_STAGEI,90.62,98.74,3010.0
2024-02-25,202408,133 - PCT_ILLINOIS,PCT_STAGEI,91.37,97.06,2947.0
2024-03-03,202409,133 - PCT_ILLINOIS,PCT_STAGEI,63.66,59.74,2922.0
2024-03-10,202410,133 - PCT_ILLINOIS,PCT_STAGEI,0.0,,3121.0
2024-03-17,202411,133 - PCT_ILLINOIS,PCT_STAGEI,,,2952.0
