ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-05-15,202220,134 - PCT_ARIZ,PCT_STAGEI,,,1651.0
2022-05-22,202221,134 - PCT_ARIZ,PCT_STAGEI,,,1492.0
2022-05-29,202222,134 - PCT_ARIZ,PCT_STAGEI,,,1716.0
2022-06-05,202223,134 - PCT_ARIZ,PCT_STAGEI,,,1701.0
2022-06-12,202224,134 - PCT_ARIZ,PCT_STAGEI,,,1535.0
2022-06-19,202225,134 - PCT_ARIZ,PCT_STAGEI,,,1503.0
2022-06-26,202226,134 - PCT_ARIZ,PCT_STAGEI,,,1668.0
2022-07-03,202227,134 - PCT_ARIZ,PCT_STAGEI,,,1577.0
2022-07-10,202228,134 - PCT_ARIZ,PCT_STAGEI,,,1549.0
2022-07-17,202229,134 - PCT_ARIZ,PCT_STAGEI,,,1579.0
2022-07-24,202230,134 - PCT_ARIZ,PCT_STAGEI,,,1468.0
2022-07-31,202231,134 - PCT_ARIZ,PCT_STAGEI,,,1619.0
2022-08-07,202232,134 - PCT_ARIZ,PCT_STAGEI,,,1926.0
2022-08-14,202233,134 - PCT_ARIZ,PCT_STAGEI,,,1864.0
2022-08-21,202234,134 - PCT_ARIZ,PCT_STAGEI,,,1902.0
2022-08-28,202235,134 - PCT_ARIZ,PCT_STAGEI,,,2053.0
2022-09-04,202236,134 - PCT_ARIZ,PCT_STAGEI,,,2011.0
2022-09-11,202237,134 - PCT_ARIZ,PCT_STAGEI,,,1793.0
2022-09-18,202238,134 - PCT_ARIZ,PCT_STAGEI,,,1482.0
2022-09-25,202239,134 - PCT_ARIZ,PCT_STAGEI,,,1504.0
2022-10-02,202240,134 - PCT_ARIZ,PCT_STAGEI,,,1519.0
2022-10-09,202241,134 - PCT_ARIZ,PCT_STAGEI,,,1472.0
2022-10-16,202242,134 - PCT_ARIZ,PCT_STAGEI,,,1426.0
2022-10-23,202243,134 - PCT_ARIZ,PCT_STAGEI,,,1417.0
2022-10-30,202244,134 - PCT_ARIZ,PCT_STAGEI,,,1478.0
2022-11-06,202245,134 - PCT_ARIZ,PCT_STAGEI,,,1285.0
2022-11-13,202246,134 - PCT_ARIZ,PCT_STAGEI,,,1354.0
2022-11-20,202247,134 - PCT_ARIZ,PCT_STAGEI,,,1270.0
2022-11-27,202248,134 - PCT_ARIZ,PCT_STAGEI,,,1186.0
2022-12-04,202249,134 - PCT_ARIZ,PCT_STAGEI,,,1343.0
2022-12-11,202250,134 - PCT_ARIZ,PCT_STAGEI,,,1364.0
2022-12-18,202251,134 - PCT_ARIZ,PCT_STAGEI,,,1260.0
2022-12-25,202252,134 - PCT_ARIZ,PCT_STAGEI,,,1183.0
2023-01-01,202301,134 - PCT_ARIZ,PCT_STAGEI,,,1957.0
2023-01-08,202302,134 - PCT_ARIZ,PCT_STAGEI,,,1920.0
2023-01-15,202303,134 - PCT_ARIZ,PCT_STAGEI,,,1760.0
2023-01-22,202304,134 - PCT_ARIZ,PCT_STAGEI,,,2013.0
2023-01-29,202305,134 - PCT_ARIZ,PCT_STAGEI,,,1935.0
2023-02-05,202306,134 - PCT_ARIZ,PCT_STAGEI,,,2124.0
2023-02-12,202307,134 - PCT_ARIZ,PCT_STAGEI,,,1925.0
2023-02-19,202308,134 - PCT_ARIZ,PCT_STAGEI,,,2079.0
2023-02-26,202309,134 - PCT_ARIZ,PCT_STAGEI,,,2024.0
2023-03-05,202310,134 - PCT_ARIZ,PCT_STAGEI,,,2076.0
2023-03-12,202311,134 - PCT_ARIZ,PCT_STAGEI,,,2070.0
2023-03-19,202312,134 - PCT_ARIZ,PCT_STAGEI,,,1923.0
2023-03-26,202313,134 - PCT_ARIZ,PCT_STAGEI,,,1766.0
2023-04-02,202314,134 - PCT_ARIZ,PCT_STAGEI,,,2018.0
2023-04-09,202315,134 - PCT_ARIZ,PCT_STAGEI,,,1574.0
2023-04-16,202316,134 - PCT_ARIZ,PCT_STAGEI,,,1561.0
2023-04-23,202317,134 - PCT_ARIZ,PCT_STAGEI,,,1851.0
2023-04-30,202318,134 - PCT_ARIZ,PCT_STAGEI,,,1652.0
2023-05-07,202319,134 - PCT_ARIZ,PCT_STAGEI,,,1763.0
2023-05-14,202320,134 - PCT_ARIZ,PCT_STAGEI,,,1808.0
2023-05-21,202321,134 - PCT_ARIZ,PCT_STAGEI,,,1959.0
2023-05-28,202322,134 - PCT_ARIZ,PCT_STAGEI,,,1979.0
2023-06-04,202323,134 - PCT_ARIZ,PCT_STAGEI,,,1978.0
