ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-05-15,202220,135 - PCT_AWARENESS,PCT_STAGEI,,,31188.0
2022-05-22,202221,135 - PCT_AWARENESS,PCT_STAGEI,,,30811.0
2022-05-29,202222,135 - PCT_AWARENESS,PCT_STAGEI,,,32062.0
2022-06-05,202223,135 - PCT_AWARENESS,PCT_STAGEI,,,32862.0
2022-06-12,202224,135 - PCT_AWARENESS,PCT_STAGEI,,,33861.0
2022-06-19,202225,135 - PCT_AWARENESS,PCT_STAGEI,,,33095.0
2022-06-26,202226,135 - PCT_AWARENESS,PCT_STAGEI,,,34317.0
2022-07-03,202227,135 - PCT_AWARENESS,PCT_STAGEI,,,35111.0
2022-07-10,202228,135 - PCT_AWARENESS,PCT_STAGEI,,,35181.0
2022-07-17,202229,135 - PCT_AWARENESS,PCT_STAGEI,,,34991.0
2022-07-24,202230,135 - PCT_AWARENESS,PCT_STAGEI,,,33741.0
2022-07-31,202231,135 - PCT_AWARENESS,PCT_STAGEI,,,34287.0
2022-08-07,202232,135 - PCT_AWARENESS,PCT_STAGEI,,,37014.0
2022-08-14,202233,135 - PCT_AWARENESS,PCT_STAGEI,,,37465.0
2022-08-21,202234,135 - PCT_AWARENESS,PCT_STAGEI,,,37163.0
2022-08-28,202235,135 - PCT_AWARENESS,PCT_STAGEI,,,36243.0
2022-09-04,202236,135 - PCT_AWARENESS,PCT_STAGEI,,,34379.0
2022-09-11,202237,135 - PCT_AWARENESS,PCT_STAGEI,,,33085.0
2022-09-18,202238,135 - PCT_AWARENESS,PCT_STAGEI,,,33179.0
2022-09-25,202239,135 - PCT_AWARENESS,PCT_STAGEI,,,32035.0
2022-10-02,202240,135 - PCT_AWARENESS,PCT_STAGEI,,,32892.0
2022-10-09,202241,135 - PCT_AWARENESS,PCT_STAGEI,,,32222.0
2022-10-16,202242,135 - PCT_AWARENESS,PCT_STAGEI,,,32199.0
2022-10-23,202243,135 - PCT_AWARENESS,PCT_STAGEI,,,31769.0
2022-10-30,202244,135 - PCT_AWARENESS,PCT_STAGEI,,,31812.0
2022-11-06,202245,135 - PCT_AWARENESS,PCT_STAGEI,,,32175.0
2022-11-13,202246,135 - PCT_AWARENESS,PCT_STAGEI,,,30642.0
2022-11-20,202247,135 - PCT_AWARENESS,PCT_STAGEI,,,31031.0
2022-11-27,202248,135 - PCT_AWARENESS,PCT_STAGEI,,,31659.0
2022-12-04,202249,135 - PCT_AWARENESS,PCT_STAGEI,,,32198.0
2022-12-11,202250,135 - PCT_AWARENESS,PCT_STAGEI,,,31875.0
2022-12-18,202251,135 - PCT_AWARENESS,PCT_STAGEI,,,33160.0
2022-12-25,202252,135 - PCT_AWARENESS,PCT_STAGEI,,,31138.0
2023-01-01,202301,135 - PCT_AWARENESS,PCT_STAGEI,,,33658.0
2023-01-08,202302,135 - PCT_AWARENESS,PCT_STAGEI,,,34124.0
2023-01-15,202303,135 - PCT_AWARENESS,PCT_STAGEI,,,34445.0
2023-01-22,202304,135 - PCT_AWARENESS,PCT_STAGEI,,,34440.0
2023-01-29,202305,135 - PCT_AWARENESS,PCT_STAGEI,,,34213.0
2023-02-05,202306,135 - PCT_AWARENESS,PCT_STAGEI,,,34450.0
2023-02-12,202307,135 - PCT_AWARENESS,PCT_STAGEI,,,33954.0
2023-02-19,202308,135 - PCT_AWARENESS,PCT_STAGEI,,,35494.0
2023-02-26,202309,135 - PCT_AWARENESS,PCT_STAGEI,,,35778.0
2023-03-05,202310,135 - PCT_AWARENESS,PCT_STAGEI,,,35461.0
2023-03-12,202311,135 - PCT_AWARENESS,PCT_STAGEI,,,36188.0
2023-03-19,202312,135 - PCT_AWARENESS,PCT_STAGEI,,,36453.0
2023-03-26,202313,135 - PCT_AWARENESS,PCT_STAGEI,,,35134.0
2023-04-02,202314,135 - PCT_AWARENESS,PCT_STAGEI,,,35848.0
2023-04-09,202315,135 - PCT_AWARENESS,PCT_STAGEI,,,34721.0
2023-04-16,202316,135 - PCT_AWARENESS,PCT_STAGEI,,,34026.0
2023-04-23,202317,135 - PCT_AWARENESS,PCT_STAGEI,,,34550.0
2023-04-30,202318,135 - PCT_AWARENESS,PCT_STAGEI,,,34647.0
2023-05-07,202319,135 - PCT_AWARENESS,PCT_STAGEI,,,33146.0
2023-05-14,202320,135 - PCT_AWARENESS,PCT_STAGEI,,,33622.0
2023-05-21,202321,135 - PCT_AWARENESS,PCT_STAGEI,,,34611.0
2023-05-28,202322,135 - PCT_AWARENESS,PCT_STAGEI,,,34677.0
2023-06-04,202323,135 - PCT_AWARENESS,PCT_STAGEI,,,33742.0
2023-06-11,202324,135 - PCT_AWARENESS,PCT_STAGEI,,,33953.0
2023-06-18,202325,135 - PCT_AWARENESS,PCT_STAGEI,,,34059.0
2023-06-25,202326,135 - PCT_AWARENESS,PCT_STAGEI,,,34168.0
2023-07-02,202327,135 - PCT_AWARENESS,PCT_STAGEI,,,34066.0
2023-07-09,202328,135 - PCT_AWARENESS,PCT_STAGEI,,,32941.0
2023-07-16,202329,135 - PCT_AWARENESS,PCT_STAGEI,,,32966.0
2023-07-23,202330,135 - PCT_AWARENESS,PCT_STAGEI,,,32700.0
2023-07-30,202331,135 - PCT_AWARENESS,PCT_STAGEI,,,33846.0
2023-08-06,202332,135 - PCT_AWARENESS,PCT_STAGEI,,,33451.0
2023-08-13,202333,135 - PCT_AWARENESS,PCT_STAGEI,,,33710.0
2023-08-20,202334,135 - PCT_AWARENESS,PCT_STAGEI,,,33933.0
2023-08-27,202335,135 - PCT_AWARENESS,PCT_STAGEI,,,34202.0
2023-09-03,202336,135 - PCT_AWARENESS,PCT_STAGEI,,,34725.0
2023-09-10,202337,135 - PCT_AWARENESS,PCT_STAGEI,,,33381.0
2023-09-17,202338,135 - PCT_AWARENESS,PCT_STAGEI,,,33523.0
2023-09-24,202339,135 - PCT_AWARENESS,PCT_STAGEI,,,33254.0
2023-10-01,202340,135 - PCT_AWARENESS,PCT_STAGEI,,,34313.0
2023-10-08,202341,135 - PCT_AWARENESS,PCT_STAGEI,,,33347.0
2023-10-15,202342,135 - PCT_AWARENESS,PCT_STAGEI,,,34164.0
2023-10-22,202343,135 - PCT_AWARENESS,PCT_STAGEI,,,33715.0
2023-10-29,202344,135 - PCT_AWARENESS,PCT_STAGEI,,,32582.0
2023-11-05,202345,135 - PCT_AWARENESS,PCT_STAGEI,,,33305.0
2023-11-12,202346,135 - PCT_AWARENESS,PCT_STAGEI,,,33487.0
2023-11-19,202347,135 - PCT_AWARENESS,PCT_STAGEI,,,32895.0
2023-11-26,202348,135 - PCT_AWARENESS,PCT_STAGEI,346.09,16.17,33703.0
2023-12-03,202349,135 - PCT_AWARENESS,PCT_STAGEI,595.06,922.61,33298.0
2023-12-10,202350,135 - PCT_AWARENESS,PCT_STAGEI,595.22,607.35,32752.0
2023-12-17,202351,135 - PCT_AWARENESS,PCT_STAGEI,594.98,597.22,34798.0
2023-12-24,202352,135 - PCT_AWARENESS,PCT_STAGEI,595.29,581.76,33890.0
2024-01-07,202401,135 - PCT_AWARENESS,PCT_STAGEI,594.37,545.7,36976.0
2024-01-14,202402,135 - PCT_AWARENESS,PCT_STAGEI,594.85,605.81,36475.0
2024-01-21,202403,135 - PCT_AWARENESS,PCT_STAGEI,595.37,603.26,35697.0
2024-01-28,202404,135 - PCT_AWARENESS,PCT_STAGEI,594.94,588.59,36570.0
2024-02-04,202405,135 - PCT_AWARENESS,PCT_STAGEI,595.0,567.95,36618.0
2024-02-11,202406,135 - PCT_AWARENESS,PCT_STAGEI,1004.79,395.14,36913.0
2024-02-18,202407,135 - PCT_AWARENESS,PCT_STAGEI,1047.48,,36304.0
2024-02-25,202408,135 - PCT_AWARENESS,PCT_STAGEI,1049.01,,37770.0
2024-03-03,202409,135 - PCT_AWARENESS,PCT_STAGEI,1048.93,1334.85,36775.0
2024-03-10,202410,135 - PCT_AWARENESS,PCT_STAGEI,563.7,605.28,37770.0
2024-03-17,202411,135 - PCT_AWARENESS,PCT_STAGEI,0.0,,37844.0
