ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-01-31,202105,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,876.0
2021-02-07,202106,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,766.0
2021-02-14,202107,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,773.0
2021-02-21,202108,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,772.0
2021-02-28,202109,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1006.0
2021-03-07,202110,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1025.0
2021-03-14,202111,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,940.0
2021-03-21,202112,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,727.0
2021-03-28,202113,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,912.0
2021-04-04,202114,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,910.0
2021-04-11,202115,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1038.0
2021-04-18,202116,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,891.0
2021-04-25,202117,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,865.0
2021-05-02,202118,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,834.0
2021-05-09,202119,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,789.0
2021-05-16,202120,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,879.0
2021-05-23,202121,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,808.0
2021-05-30,202122,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,808.0
2021-06-06,202123,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,907.0
2021-06-13,202124,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,743.0
2021-06-20,202125,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,679.0
2021-06-27,202126,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,744.0
2021-07-04,202127,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,771.0
2021-07-11,202128,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,781.0
2021-07-18,202129,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,785.0
2021-07-25,202130,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,743.0
2021-08-01,202131,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,847.0
2021-08-08,202132,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,840.0
2021-08-15,202133,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,783.0
2021-08-22,202134,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,742.0
2021-08-29,202135,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,811.0
2021-09-05,202136,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,828.0
2021-09-12,202137,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,855.0
2021-09-19,202138,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,803.0
2021-09-26,202139,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,694.0
2021-10-03,202140,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,850.0
2021-10-10,202141,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,853.0
2021-10-17,202142,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,924.0
2021-10-24,202143,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,776.0
2021-10-31,202144,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,745.0
2021-11-07,202145,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,715.0
2021-11-14,202146,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,796.0
2021-11-21,202147,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,714.0
2021-11-28,202148,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,737.0
2021-12-05,202149,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,732.0
2021-12-12,202150,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,651.0
2021-12-19,202151,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,667.0
2021-12-26,202152,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,586.0
2022-01-02,202201,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,866.0
2022-01-09,202202,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,819.0
2022-01-16,202203,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,949.0
2022-01-23,202204,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1041.0
2022-01-30,202205,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1027.0
2022-02-06,202206,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1021.0
2022-02-13,202207,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1125.0
2022-02-20,202208,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1187.0
2022-02-27,202209,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1101.0
2022-03-06,202210,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,803.0
2022-03-13,202211,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1206.0
2022-03-20,202212,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1122.0
2022-03-27,202213,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,958.0
2022-04-03,202214,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,837.0
2022-04-10,202215,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,768.0
2022-04-17,202216,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,862.0
2022-04-24,202217,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1100.0
2022-05-01,202218,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1040.0
2022-05-08,202219,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,863.0
2022-05-15,202220,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1058.0
2022-05-22,202221,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1014.0
2022-05-29,202222,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1057.0
2022-06-05,202223,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,808.0
2022-06-12,202224,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1099.0
2022-06-19,202225,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1029.0
2022-06-26,202226,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1050.0
2022-07-03,202227,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1098.0
2022-07-10,202228,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1095.0
2022-07-17,202229,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1011.0
2022-07-24,202230,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,768.0
2022-07-31,202231,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,910.0
2022-08-07,202232,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1101.0
2022-08-14,202233,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1139.0
2022-08-21,202234,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1041.0
2022-08-28,202235,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,972.0
2022-09-04,202236,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1043.0
2022-09-11,202237,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1025.0
2022-09-18,202238,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1041.0
2022-09-25,202239,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,971.0
2022-10-02,202240,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,962.0
2022-10-09,202241,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1083.0
2022-10-16,202242,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1055.0
2022-10-23,202243,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,959.0
2022-10-30,202244,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1025.0
2022-11-06,202245,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1045.0
2022-11-13,202246,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1015.0
2022-11-20,202247,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,925.0
2022-11-27,202248,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1035.0
2022-12-04,202249,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1057.0
2022-12-11,202250,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,939.0
2022-12-18,202251,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1064.0
2022-12-25,202252,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,934.0
2023-01-01,202301,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,854.0
2023-01-08,202302,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,754.0
2023-01-15,202303,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1057.0
2023-01-22,202304,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1129.0
2023-11-12,202346,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,980.0
2023-11-19,202347,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,854.0
2023-11-26,202348,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1006.0
2023-12-03,202349,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1076.0
2023-12-10,202350,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1062.0
2023-12-17,202351,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1102.0
2023-12-24,202352,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,853.0
2024-01-07,202401,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,960.0
2024-01-14,202402,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1203.0
2024-01-21,202403,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1078.0
2024-01-28,202404,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1111.0
2024-02-04,202405,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1227.0
2024-02-11,202406,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1278.0
2024-02-18,202407,136 - JAL_CALIFORNIA,JAL_STAGEIV,,,1286.0
2024-02-25,202408,136 - JAL_CALIFORNIA,JAL_STAGEIV,373.42,516.61,1222.0
2024-03-03,202409,136 - JAL_CALIFORNIA,JAL_STAGEIV,450.74,467.56,1260.0
2024-03-10,202410,136 - JAL_CALIFORNIA,JAL_STAGEIV,490.09,558.22,1316.0
2024-03-17,202411,136 - JAL_CALIFORNIA,JAL_STAGEIV,393.12000000000006,422.86,1332.0
2024-03-24,202412,136 - JAL_CALIFORNIA,JAL_STAGEIV,327.62,321.56,1292.0
2024-03-31,202413,136 - JAL_CALIFORNIA,JAL_STAGEIV,315.92,310.44,1400.0
2024-04-07,202414,136 - JAL_CALIFORNIA,JAL_STAGEIV,254.11,287.61,1612.0
2024-04-14,202415,136 - JAL_CALIFORNIA,JAL_STAGEIV,335.02,324.5,1433.0
2024-04-21,202416,136 - JAL_CALIFORNIA,JAL_STAGEIV,330.64,321.40000000000003,1468.0
2024-04-28,202417,136 - JAL_CALIFORNIA,JAL_STAGEIV,340.81,314.78,1448.0
2024-05-05,202418,136 - JAL_CALIFORNIA,JAL_STAGEIV,263.87,302.71,1494.0
2024-05-12,202419,136 - JAL_CALIFORNIA,JAL_STAGEIV,283.95,304.73,1501.0
2024-05-19,202420,136 - JAL_CALIFORNIA,JAL_STAGEIV,203.58,312.75,1503.0
