ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-01-31,202105,139 - JAL_ILLINOIS,JAL_STAGEIV,,,83.0
2021-02-07,202106,139 - JAL_ILLINOIS,JAL_STAGEIV,,,102.0
2021-02-14,202107,139 - JAL_ILLINOIS,JAL_STAGEIV,,,84.0
2021-02-21,202108,139 - JAL_ILLINOIS,JAL_STAGEIV,,,133.0
2021-02-28,202109,139 - JAL_ILLINOIS,JAL_STAGEIV,,,92.0
2021-03-07,202110,139 - JAL_ILLINOIS,JAL_STAGEIV,,,113.0
2021-03-14,202111,139 - JAL_ILLINOIS,JAL_STAGEIV,,,82.0
2021-03-21,202112,139 - JAL_ILLINOIS,JAL_STAGEIV,,,111.0
2021-03-28,202113,139 - JAL_ILLINOIS,JAL_STAGEIV,,,95.0
2021-04-04,202114,139 - JAL_ILLINOIS,JAL_STAGEIV,,,110.0
2021-04-11,202115,139 - JAL_ILLINOIS,JAL_STAGEIV,,,109.0
2021-04-18,202116,139 - JAL_ILLINOIS,JAL_STAGEIV,,,86.0
2021-04-25,202117,139 - JAL_ILLINOIS,JAL_STAGEIV,,,103.0
2021-05-02,202118,139 - JAL_ILLINOIS,JAL_STAGEIV,,,78.0
2021-05-09,202119,139 - JAL_ILLINOIS,JAL_STAGEIV,,,45.0
2021-05-16,202120,139 - JAL_ILLINOIS,JAL_STAGEIV,,,82.0
2021-05-23,202121,139 - JAL_ILLINOIS,JAL_STAGEIV,,,69.0
2021-05-30,202122,139 - JAL_ILLINOIS,JAL_STAGEIV,,,69.0
2021-06-06,202123,139 - JAL_ILLINOIS,JAL_STAGEIV,,,66.0
2021-06-13,202124,139 - JAL_ILLINOIS,JAL_STAGEIV,,,102.0
2021-06-20,202125,139 - JAL_ILLINOIS,JAL_STAGEIV,,,61.0
2021-06-27,202126,139 - JAL_ILLINOIS,JAL_STAGEIV,,,89.0
2021-07-04,202127,139 - JAL_ILLINOIS,JAL_STAGEIV,,,71.0
