ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-01-31,202105,140 - JAL_ORWA,JAL_STAGEIV,,,71.0
2021-02-07,202106,140 - JAL_ORWA,JAL_STAGEIV,,,61.0
2021-02-14,202107,140 - JAL_ORWA,JAL_STAGEIV,,,65.0
2021-02-21,202108,140 - JAL_ORWA,JAL_STAGEIV,,,115.0
2021-02-28,202109,140 - JAL_ORWA,JAL_STAGEIV,,,70.0
2021-03-07,202110,140 - JAL_ORWA,JAL_STAGEIV,,,91.0
2021-03-14,202111,140 - JAL_ORWA,JAL_STAGEIV,,,90.0
2021-03-21,202112,140 - JAL_ORWA,JAL_STAGEIV,,,88.0
2021-03-28,202113,140 - JAL_ORWA,JAL_STAGEIV,,,99.0
2021-04-04,202114,140 - JAL_ORWA,JAL_STAGEIV,,,90.0
2021-04-11,202115,140 - JAL_ORWA,JAL_STAGEIV,,,101.0
2021-04-18,202116,140 - JAL_ORWA,JAL_STAGEIV,,,80.0
2021-04-25,202117,140 - JAL_ORWA,JAL_STAGEIV,,,98.0
2021-05-02,202118,140 - JAL_ORWA,JAL_STAGEIV,,,83.0
2021-05-09,202119,140 - JAL_ORWA,JAL_STAGEIV,,,69.0
2021-05-16,202120,140 - JAL_ORWA,JAL_STAGEIV,,,54.0
2021-05-23,202121,140 - JAL_ORWA,JAL_STAGEIV,,,85.0
2021-05-30,202122,140 - JAL_ORWA,JAL_STAGEIV,,,85.0
2021-06-06,202123,140 - JAL_ORWA,JAL_STAGEIV,,,69.0
2021-06-13,202124,140 - JAL_ORWA,JAL_STAGEIV,,,71.0
2021-06-20,202125,140 - JAL_ORWA,JAL_STAGEIV,,,62.0
2021-06-27,202126,140 - JAL_ORWA,JAL_STAGEIV,,,45.0
2021-07-04,202127,140 - JAL_ORWA,JAL_STAGEIV,,,86.0
2021-07-11,202128,140 - JAL_ORWA,JAL_STAGEIV,,,63.0
2021-07-18,202129,140 - JAL_ORWA,JAL_STAGEIV,,,51.0
2021-07-25,202130,140 - JAL_ORWA,JAL_STAGEIV,,,52.0
2021-08-01,202131,140 - JAL_ORWA,JAL_STAGEIV,,,72.0
2021-08-08,202132,140 - JAL_ORWA,JAL_STAGEIV,,,85.0
2021-08-15,202133,140 - JAL_ORWA,JAL_STAGEIV,,,56.0
2021-08-22,202134,140 - JAL_ORWA,JAL_STAGEIV,,,48.0
2021-08-29,202135,140 - JAL_ORWA,JAL_STAGEIV,,,67.0
2021-09-05,202136,140 - JAL_ORWA,JAL_STAGEIV,,,73.0
2021-09-12,202137,140 - JAL_ORWA,JAL_STAGEIV,,,96.0
2021-09-19,202138,140 - JAL_ORWA,JAL_STAGEIV,,,94.0
2021-09-26,202139,140 - JAL_ORWA,JAL_STAGEIV,,,112.0
2021-10-03,202140,140 - JAL_ORWA,JAL_STAGEIV,,,65.0
2021-10-10,202141,140 - JAL_ORWA,JAL_STAGEIV,,,80.0
2021-10-17,202142,140 - JAL_ORWA,JAL_STAGEIV,,,79.0
2021-10-24,202143,140 - JAL_ORWA,JAL_STAGEIV,,,63.0
2021-10-31,202144,140 - JAL_ORWA,JAL_STAGEIV,,,54.0
2021-11-07,202145,140 - JAL_ORWA,JAL_STAGEIV,,,62.0
