ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-01-31,202105,142 - JAL_GANPACT,JAL_STAGEIV,,,192.0
2021-02-07,202106,142 - JAL_GANPACT,JAL_STAGEIV,,,157.0
2021-02-14,202107,142 - JAL_GANPACT,JAL_STAGEIV,,,170.0
2021-02-21,202108,142 - JAL_GANPACT,JAL_STAGEIV,,,199.0
2021-02-28,202109,142 - JAL_GANPACT,JAL_STAGEIV,,,195.0
2021-03-07,202110,142 - JAL_GANPACT,JAL_STAGEIV,,,207.0
2021-03-14,202111,142 - JAL_GANPACT,JAL_STAGEIV,,,179.0
2021-03-21,202112,142 - JAL_GANPACT,JAL_STAGEIV,,,170.0
2021-03-28,202113,142 - JAL_GANPACT,JAL_STAGEIV,,,226.0
2021-04-04,202114,142 - JAL_GANPACT,JAL_STAGEIV,,,191.0
2021-04-11,202115,142 - JAL_GANPACT,JAL_STAGEIV,,,191.0
2021-04-18,202116,142 - JAL_GANPACT,JAL_STAGEIV,,,184.0
2021-04-25,202117,142 - JAL_GANPACT,JAL_STAGEIV,,,152.0
2021-05-02,202118,142 - JAL_GANPACT,JAL_STAGEIV,,,172.0
2021-05-09,202119,142 - JAL_GANPACT,JAL_STAGEIV,,,120.0
2021-05-16,202120,142 - JAL_GANPACT,JAL_STAGEIV,,,192.0
2021-05-23,202121,142 - JAL_GANPACT,JAL_STAGEIV,,,176.0
2021-05-30,202122,142 - JAL_GANPACT,JAL_STAGEIV,,,176.0
2021-06-06,202123,142 - JAL_GANPACT,JAL_STAGEIV,,,201.0
2021-06-13,202124,142 - JAL_GANPACT,JAL_STAGEIV,,,173.0
2021-06-20,202125,142 - JAL_GANPACT,JAL_STAGEIV,,,143.0
2021-06-27,202126,142 - JAL_GANPACT,JAL_STAGEIV,,,159.0
2021-07-04,202127,142 - JAL_GANPACT,JAL_STAGEIV,,,144.0
2021-07-11,202128,142 - JAL_GANPACT,JAL_STAGEIV,,,160.0
2021-07-18,202129,142 - JAL_GANPACT,JAL_STAGEIV,,,146.0
2021-07-25,202130,142 - JAL_GANPACT,JAL_STAGEIV,,,142.0
2021-08-01,202131,142 - JAL_GANPACT,JAL_STAGEIV,,,172.0
2021-08-08,202132,142 - JAL_GANPACT,JAL_STAGEIV,,,164.0
2021-08-15,202133,142 - JAL_GANPACT,JAL_STAGEIV,,,115.0
2021-08-22,202134,142 - JAL_GANPACT,JAL_STAGEIV,,,160.0
2021-08-29,202135,142 - JAL_GANPACT,JAL_STAGEIV,,,163.0
2021-09-05,202136,142 - JAL_GANPACT,JAL_STAGEIV,,,151.0
2021-09-12,202137,142 - JAL_GANPACT,JAL_STAGEIV,,,121.0
2021-09-19,202138,142 - JAL_GANPACT,JAL_STAGEIV,,,127.0
2021-09-26,202139,142 - JAL_GANPACT,JAL_STAGEIV,,,148.0
2021-10-03,202140,142 - JAL_GANPACT,JAL_STAGEIV,,,145.0
2021-10-10,202141,142 - JAL_GANPACT,JAL_STAGEIV,,,136.0
2021-10-17,202142,142 - JAL_GANPACT,JAL_STAGEIV,,,153.0
2021-10-24,202143,142 - JAL_GANPACT,JAL_STAGEIV,,,168.0
2021-10-31,202144,142 - JAL_GANPACT,JAL_STAGEIV,,,149.0
2021-11-07,202145,142 - JAL_GANPACT,JAL_STAGEIV,,,147.0
2021-11-14,202146,142 - JAL_GANPACT,JAL_STAGEIV,,,162.0
2021-11-21,202147,142 - JAL_GANPACT,JAL_STAGEIV,,,145.0
2021-11-28,202148,142 - JAL_GANPACT,JAL_STAGEIV,,,154.0
2021-12-05,202149,142 - JAL_GANPACT,JAL_STAGEIV,,,143.0
2021-12-12,202150,142 - JAL_GANPACT,JAL_STAGEIV,,,159.0
2021-12-19,202151,142 - JAL_GANPACT,JAL_STAGEIV,,,171.0
2021-12-26,202152,142 - JAL_GANPACT,JAL_STAGEIV,,,125.0
