ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-01-31,202105,143 - JAL_AWARENESS,JAL_STAGEIV,,,1910.0
2021-02-07,202106,143 - JAL_AWARENESS,JAL_STAGEIV,,,1674.0
2021-02-14,202107,143 - JAL_AWARENESS,JAL_STAGEIV,,,1522.0
2021-02-21,202108,143 - JAL_AWARENESS,JAL_STAGEIV,,,1874.0
2021-02-28,202109,143 - JAL_AWARENESS,JAL_STAGEIV,,,1956.0
2021-03-07,202110,143 - JAL_AWARENESS,JAL_STAGEIV,,,2032.0
2021-03-14,202111,143 - JAL_AWARENESS,JAL_STAGEIV,,,1955.0
2021-03-21,202112,143 - JAL_AWARENESS,JAL_STAGEIV,,,1824.0
2021-03-28,202113,143 - JAL_AWARENESS,JAL_STAGEIV,,,1822.0
2021-04-04,202114,143 - JAL_AWARENESS,JAL_STAGEIV,,,1833.0
2021-04-11,202115,143 - JAL_AWARENESS,JAL_STAGEIV,,,1953.0
2021-04-18,202116,143 - JAL_AWARENESS,JAL_STAGEIV,,,1875.0
2021-04-25,202117,143 - JAL_AWARENESS,JAL_STAGEIV,,,1743.0
2021-05-02,202118,143 - JAL_AWARENESS,JAL_STAGEIV,,,1679.0
2021-05-09,202119,143 - JAL_AWARENESS,JAL_STAGEIV,,,1534.0
2021-05-16,202120,143 - JAL_AWARENESS,JAL_STAGEIV,,,1662.0
2021-05-23,202121,143 - JAL_AWARENESS,JAL_STAGEIV,,,1655.0
2021-05-30,202122,143 - JAL_AWARENESS,JAL_STAGEIV,,,1655.0
2021-06-06,202123,143 - JAL_AWARENESS,JAL_STAGEIV,,,1630.0
2021-06-13,202124,143 - JAL_AWARENESS,JAL_STAGEIV,,,1504.0
2021-06-20,202125,143 - JAL_AWARENESS,JAL_STAGEIV,,,1467.0
2021-06-27,202126,143 - JAL_AWARENESS,JAL_STAGEIV,,,1594.0
2021-07-04,202127,143 - JAL_AWARENESS,JAL_STAGEIV,,,1443.0
2021-07-11,202128,143 - JAL_AWARENESS,JAL_STAGEIV,,,1574.0
2021-07-18,202129,143 - JAL_AWARENESS,JAL_STAGEIV,,,1559.0
2021-07-25,202130,143 - JAL_AWARENESS,JAL_STAGEIV,,,1385.0
2021-08-01,202131,143 - JAL_AWARENESS,JAL_STAGEIV,,,1508.0
2021-08-08,202132,143 - JAL_AWARENESS,JAL_STAGEIV,,,1594.0
2021-08-15,202133,143 - JAL_AWARENESS,JAL_STAGEIV,,,1663.0
2021-08-22,202134,143 - JAL_AWARENESS,JAL_STAGEIV,,,1519.0
2021-08-29,202135,143 - JAL_AWARENESS,JAL_STAGEIV,,,1520.0
2021-09-05,202136,143 - JAL_AWARENESS,JAL_STAGEIV,,,1523.0
2021-09-12,202137,143 - JAL_AWARENESS,JAL_STAGEIV,,,1500.0
2021-09-19,202138,143 - JAL_AWARENESS,JAL_STAGEIV,,,1576.0
2021-09-26,202139,143 - JAL_AWARENESS,JAL_STAGEIV,,,1372.0
2021-10-03,202140,143 - JAL_AWARENESS,JAL_STAGEIV,,,1408.0
2021-10-10,202141,143 - JAL_AWARENESS,JAL_STAGEIV,,,1492.0
2021-10-17,202142,143 - JAL_AWARENESS,JAL_STAGEIV,,,1481.0
2021-10-24,202143,143 - JAL_AWARENESS,JAL_STAGEIV,,,1357.0
2021-10-31,202144,143 - JAL_AWARENESS,JAL_STAGEIV,,,1399.0
2021-11-07,202145,143 - JAL_AWARENESS,JAL_STAGEIV,,,1393.0
2021-11-14,202146,143 - JAL_AWARENESS,JAL_STAGEIV,,,1444.0
2021-11-21,202147,143 - JAL_AWARENESS,JAL_STAGEIV,,,1254.0
2021-11-28,202148,143 - JAL_AWARENESS,JAL_STAGEIV,,,1424.0
2021-12-05,202149,143 - JAL_AWARENESS,JAL_STAGEIV,,,1490.0
2021-12-12,202150,143 - JAL_AWARENESS,JAL_STAGEIV,,,1419.0
2021-12-19,202151,143 - JAL_AWARENESS,JAL_STAGEIV,,,1403.0
2021-12-26,202152,143 - JAL_AWARENESS,JAL_STAGEIV,,,1224.0
2022-01-02,202201,143 - JAL_AWARENESS,JAL_STAGEIV,,,1234.0
2022-01-09,202202,143 - JAL_AWARENESS,JAL_STAGEIV,,,1429.0
2022-01-16,202203,143 - JAL_AWARENESS,JAL_STAGEIV,,,1323.0
2022-01-23,202204,143 - JAL_AWARENESS,JAL_STAGEIV,,,1467.0
2022-01-30,202205,143 - JAL_AWARENESS,JAL_STAGEIV,,,1402.0
2022-02-06,202206,143 - JAL_AWARENESS,JAL_STAGEIV,,,1293.0
2022-02-13,202207,143 - JAL_AWARENESS,JAL_STAGEIV,,,1227.0
2022-02-20,202208,143 - JAL_AWARENESS,JAL_STAGEIV,,,1208.0
