ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-05-15,202220,147 - PCT_WESTCOAST,PCT_STAGEII,,,24416.0
2022-05-22,202221,147 - PCT_WESTCOAST,PCT_STAGEII,,,23633.0
2022-05-29,202222,147 - PCT_WESTCOAST,PCT_STAGEII,,,24453.0
2022-06-05,202223,147 - PCT_WESTCOAST,PCT_STAGEII,,,24487.0
2022-06-12,202224,147 - PCT_WESTCOAST,PCT_STAGEII,,,23722.0
2022-06-19,202225,147 - PCT_WESTCOAST,PCT_STAGEII,,,23260.0
2022-06-26,202226,147 - PCT_WESTCOAST,PCT_STAGEII,,,24053.0
2022-07-03,202227,147 - PCT_WESTCOAST,PCT_STAGEII,,,24543.0
2022-07-10,202228,147 - PCT_WESTCOAST,PCT_STAGEII,,,25146.0
2022-07-17,202229,147 - PCT_WESTCOAST,PCT_STAGEII,,,24196.0
2022-07-24,202230,147 - PCT_WESTCOAST,PCT_STAGEII,,,23347.0
2022-07-31,202231,147 - PCT_WESTCOAST,PCT_STAGEII,,,23954.0
2022-08-07,202232,147 - PCT_WESTCOAST,PCT_STAGEII,,,25438.0
2022-08-14,202233,147 - PCT_WESTCOAST,PCT_STAGEII,,,24747.0
2022-08-21,202234,147 - PCT_WESTCOAST,PCT_STAGEII,,,24247.0
2022-08-28,202235,147 - PCT_WESTCOAST,PCT_STAGEII,,,24186.0
2022-09-04,202236,147 - PCT_WESTCOAST,PCT_STAGEII,,,22732.0
2022-09-11,202237,147 - PCT_WESTCOAST,PCT_STAGEII,,,21260.0
2022-09-18,202238,147 - PCT_WESTCOAST,PCT_STAGEII,,,21473.0
2022-09-25,202239,147 - PCT_WESTCOAST,PCT_STAGEII,,,21069.0
2022-10-02,202240,147 - PCT_WESTCOAST,PCT_STAGEII,,,21811.0
2022-10-09,202241,147 - PCT_WESTCOAST,PCT_STAGEII,,,22400.0
2022-10-16,202242,147 - PCT_WESTCOAST,PCT_STAGEII,,,22421.0
2022-10-23,202243,147 - PCT_WESTCOAST,PCT_STAGEII,,,21852.0
2022-10-30,202244,147 - PCT_WESTCOAST,PCT_STAGEII,,,21958.0
2022-11-06,202245,147 - PCT_WESTCOAST,PCT_STAGEII,,,21817.0
2022-11-13,202246,147 - PCT_WESTCOAST,PCT_STAGEII,,,21199.0
2022-11-20,202247,147 - PCT_WESTCOAST,PCT_STAGEII,,,20000.0
2022-11-27,202248,147 - PCT_WESTCOAST,PCT_STAGEII,,,21124.0
2022-12-04,202249,147 - PCT_WESTCOAST,PCT_STAGEII,,,21507.0
2022-12-11,202250,147 - PCT_WESTCOAST,PCT_STAGEII,,,20928.0
2022-12-18,202251,147 - PCT_WESTCOAST,PCT_STAGEII,,,22373.0
2022-12-25,202252,147 - PCT_WESTCOAST,PCT_STAGEII,,,22518.0
2023-01-01,202301,147 - PCT_WESTCOAST,PCT_STAGEII,,,24099.0
2023-01-08,202302,147 - PCT_WESTCOAST,PCT_STAGEII,,,24661.0
2023-01-15,202303,147 - PCT_WESTCOAST,PCT_STAGEII,,,24052.0
2023-01-22,202304,147 - PCT_WESTCOAST,PCT_STAGEII,,,23861.0
2023-01-29,202305,147 - PCT_WESTCOAST,PCT_STAGEII,,,24012.0
2023-02-05,202306,147 - PCT_WESTCOAST,PCT_STAGEII,,,24942.0
2023-02-12,202307,147 - PCT_WESTCOAST,PCT_STAGEII,,,24314.0
2023-02-19,202308,147 - PCT_WESTCOAST,PCT_STAGEII,,,25423.0
2023-02-26,202309,147 - PCT_WESTCOAST,PCT_STAGEII,,,25913.0
2023-03-05,202310,147 - PCT_WESTCOAST,PCT_STAGEII,,,25430.0
2023-03-12,202311,147 - PCT_WESTCOAST,PCT_STAGEII,,,25226.0
2023-03-19,202312,147 - PCT_WESTCOAST,PCT_STAGEII,,,24768.0
2023-03-26,202313,147 - PCT_WESTCOAST,PCT_STAGEII,,,24558.0
2023-04-02,202314,147 - PCT_WESTCOAST,PCT_STAGEII,,,24952.0
2023-04-09,202315,147 - PCT_WESTCOAST,PCT_STAGEII,,,24274.0
2023-04-16,202316,147 - PCT_WESTCOAST,PCT_STAGEII,,,23853.0
2023-04-23,202317,147 - PCT_WESTCOAST,PCT_STAGEII,,,23715.0
2023-04-30,202318,147 - PCT_WESTCOAST,PCT_STAGEII,,,24148.0
2023-05-07,202319,147 - PCT_WESTCOAST,PCT_STAGEII,,,23713.0
2023-05-14,202320,147 - PCT_WESTCOAST,PCT_STAGEII,,,23901.0
2023-05-21,202321,147 - PCT_WESTCOAST,PCT_STAGEII,,,24629.0
2023-05-28,202322,147 - PCT_WESTCOAST,PCT_STAGEII,,,24189.0
2023-06-04,202323,147 - PCT_WESTCOAST,PCT_STAGEII,,,24002.0
2023-06-11,202324,147 - PCT_WESTCOAST,PCT_STAGEII,,,23867.0
2023-06-18,202325,147 - PCT_WESTCOAST,PCT_STAGEII,,,23956.0
2023-06-25,202326,147 - PCT_WESTCOAST,PCT_STAGEII,,,23634.0
2023-07-02,202327,147 - PCT_WESTCOAST,PCT_STAGEII,,,24201.0
2023-07-09,202328,147 - PCT_WESTCOAST,PCT_STAGEII,,,23852.0
2023-07-16,202329,147 - PCT_WESTCOAST,PCT_STAGEII,,,23280.0
2023-07-23,202330,147 - PCT_WESTCOAST,PCT_STAGEII,,,22877.0
2023-07-30,202331,147 - PCT_WESTCOAST,PCT_STAGEII,,,23855.0
2023-08-06,202332,147 - PCT_WESTCOAST,PCT_STAGEII,,,23197.0
2023-08-13,202333,147 - PCT_WESTCOAST,PCT_STAGEII,,,23794.0
2023-08-20,202334,147 - PCT_WESTCOAST,PCT_STAGEII,,,23520.0
2023-08-27,202335,147 - PCT_WESTCOAST,PCT_STAGEII,,,24049.0
2023-09-03,202336,147 - PCT_WESTCOAST,PCT_STAGEII,,,24853.0
2023-09-10,202337,147 - PCT_WESTCOAST,PCT_STAGEII,,,23649.0
2023-09-17,202338,147 - PCT_WESTCOAST,PCT_STAGEII,,,23093.0
2023-09-24,202339,147 - PCT_WESTCOAST,PCT_STAGEII,,,23406.0
2023-10-01,202340,147 - PCT_WESTCOAST,PCT_STAGEII,,,23643.0
2023-10-08,202341,147 - PCT_WESTCOAST,PCT_STAGEII,,,22981.0
2023-10-15,202342,147 - PCT_WESTCOAST,PCT_STAGEII,,,23219.0
2023-10-22,202343,147 - PCT_WESTCOAST,PCT_STAGEII,,,23228.0
2023-10-29,202344,147 - PCT_WESTCOAST,PCT_STAGEII,,,22287.0
2023-11-05,202345,147 - PCT_WESTCOAST,PCT_STAGEII,,,23403.0
2023-11-12,202346,147 - PCT_WESTCOAST,PCT_STAGEII,,,22352.0
2023-11-19,202347,147 - PCT_WESTCOAST,PCT_STAGEII,,,21428.0
2024-03-24,202412,147 - PCT_WESTCOAST,PCT_STAGEII,60.89,72.6,24113.0
2024-03-31,202413,147 - PCT_WESTCOAST,PCT_STAGEII,285.45,324.57,24365.0
2024-04-07,202414,147 - PCT_WESTCOAST,PCT_STAGEII,301.02,306.26,25944.0
2024-04-14,202415,147 - PCT_WESTCOAST,PCT_STAGEII,301.15,331.47,25115.0
2024-04-21,202416,147 - PCT_WESTCOAST,PCT_STAGEII,299.09,328.79,26035.0
2024-04-28,202417,147 - PCT_WESTCOAST,PCT_STAGEII,302.0,321.3,24964.0
2024-05-05,202418,147 - PCT_WESTCOAST,PCT_STAGEII,300.95,307.62,25496.0
2024-05-12,202419,147 - PCT_WESTCOAST,PCT_STAGEII,301.78,310.14,25497.0
2024-05-19,202420,147 - PCT_WESTCOAST,PCT_STAGEII,299.36,319.56,25516.0
