ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2023-03-19,202312,151 - SPH_TEX,SPH_STAGEII,,,19.0
2023-03-26,202313,151 - SPH_TEX,SPH_STAGEII,,,72.0
2023-04-02,202314,151 - SPH_TEX,SPH_STAGEII,,,196.0
2023-04-09,202315,151 - SPH_TEX,SPH_STAGEII,,,252.0
2023-04-16,202316,151 - SPH_TEX,SPH_STAGEII,,,284.0
2023-10-08,202341,151 - SPH_TEX,SPH_STAGEII,,,195.0
2023-10-15,202342,151 - SPH_TEX,SPH_STAGEII,,,207.0
2023-10-22,202343,151 - SPH_TEX,SPH_STAGEII,,,184.0
2023-10-29,202344,151 - SPH_TEX,SPH_STAGEII,,,135.0
2023-11-05,202345,151 - SPH_TEX,SPH_STAGEII,,,133.0
2023-11-12,202346,151 - SPH_TEX,SPH_STAGEII,,,80.0
2023-11-19,202347,151 - SPH_TEX,SPH_STAGEII,,,102.0
2023-11-26,202348,151 - SPH_TEX,SPH_STAGEII,,,59.0
2023-12-03,202349,151 - SPH_TEX,SPH_STAGEII,,,81.0
2023-12-10,202350,151 - SPH_TEX,SPH_STAGEII,,,80.0
2023-12-17,202351,151 - SPH_TEX,SPH_STAGEII,,,104.0
2023-12-24,202352,151 - SPH_TEX,SPH_STAGEII,,,97.0
2024-01-07,202401,151 - SPH_TEX,SPH_STAGEII,,,110.0
2024-01-14,202402,151 - SPH_TEX,SPH_STAGEII,,,137.0
2024-01-21,202403,151 - SPH_TEX,SPH_STAGEII,,,120.0
2024-01-28,202404,151 - SPH_TEX,SPH_STAGEII,,,115.0
2024-02-04,202405,151 - SPH_TEX,SPH_STAGEII,,,117.0
2024-02-11,202406,151 - SPH_TEX,SPH_STAGEII,,,115.0
2024-02-18,202407,151 - SPH_TEX,SPH_STAGEII,,,88.0
2024-02-25,202408,151 - SPH_TEX,SPH_STAGEII,,,121.0
2024-03-03,202409,151 - SPH_TEX,SPH_STAGEII,,,143.0
2024-03-10,202410,151 - SPH_TEX,SPH_STAGEII,,,150.0
2024-03-17,202411,151 - SPH_TEX,SPH_STAGEII,,,156.0
2024-03-24,202412,151 - SPH_TEX,SPH_STAGEII,,,231.0
2024-03-31,202413,151 - SPH_TEX,SPH_STAGEII,,,257.0
2024-04-07,202414,151 - SPH_TEX,SPH_STAGEII,11.61,,337.0
2024-04-14,202415,151 - SPH_TEX,SPH_STAGEII,69.49,,369.0
2024-04-21,202416,151 - SPH_TEX,SPH_STAGEII,624.97,,395.0
2024-04-28,202417,151 - SPH_TEX,SPH_STAGEII,1641.0,,363.0
2024-05-05,202418,151 - SPH_TEX,SPH_STAGEII,1789.85,,350.0
2024-05-12,202419,151 - SPH_TEX,SPH_STAGEII,1788.02,,307.0
2024-05-19,202420,151 - SPH_TEX,SPH_STAGEII,1235.66,,344.0
2024-05-26,202421,151 - SPH_TEX,SPH_STAGEII,736.36,,285.0
2024-06-02,202422,151 - SPH_TEX,SPH_STAGEII,356.82,,294.0
2024-06-09,202423,151 - SPH_TEX,SPH_STAGEII,330.5,,285.0
2024-06-16,202424,151 - SPH_TEX,SPH_STAGEII,402.46,,296.0
2024-06-23,202425,151 - SPH_TEX,SPH_STAGEII,418.46,,273.0
2024-06-30,202426,151 - SPH_TEX,SPH_STAGEII,422.57,,278.0
2024-07-07,202427,151 - SPH_TEX,SPH_STAGEII,420.26,,344.0
2024-07-14,202428,151 - SPH_TEX,SPH_STAGEII,425.98,,277.0
