ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2023-03-19,202312,152 - SPH_GRUPOA,SPH_STAGEII,,,0.0
2023-03-26,202313,152 - SPH_GRUPOA,SPH_STAGEII,,,20.0
2023-04-02,202314,152 - SPH_GRUPOA,SPH_STAGEII,,,59.0
2023-04-09,202315,152 - SPH_GRUPOA,SPH_STAGEII,,,94.0
2023-04-16,202316,152 - SPH_GRUPOA,SPH_STAGEII,,,182.0
2023-10-08,202341,152 - SPH_GRUPOA,SPH_STAGEII,,,25.0
2023-10-15,202342,152 - SPH_GRUPOA,SPH_STAGEII,,,26.0
2023-10-22,202343,152 - SPH_GRUPOA,SPH_STAGEII,,,23.0
2023-10-29,202344,152 - SPH_GRUPOA,SPH_STAGEII,,,15.0
2023-11-05,202345,152 - SPH_GRUPOA,SPH_STAGEII,,,15.0
2023-11-12,202346,152 - SPH_GRUPOA,SPH_STAGEII,,,26.0
2023-11-19,202347,152 - SPH_GRUPOA,SPH_STAGEII,,,16.0
2023-11-26,202348,152 - SPH_GRUPOA,SPH_STAGEII,,,30.0
2023-12-03,202349,152 - SPH_GRUPOA,SPH_STAGEII,,,14.0
2023-12-10,202350,152 - SPH_GRUPOA,SPH_STAGEII,,,20.0
2023-12-17,202351,152 - SPH_GRUPOA,SPH_STAGEII,,,23.0
2023-12-24,202352,152 - SPH_GRUPOA,SPH_STAGEII,,,31.0
2024-01-07,202401,152 - SPH_GRUPOA,SPH_STAGEII,,,43.0
2024-01-14,202402,152 - SPH_GRUPOA,SPH_STAGEII,,,57.0
2024-01-21,202403,152 - SPH_GRUPOA,SPH_STAGEII,,,32.0
2024-01-28,202404,152 - SPH_GRUPOA,SPH_STAGEII,,,32.0
2024-02-04,202405,152 - SPH_GRUPOA,SPH_STAGEII,,,42.0
2024-02-11,202406,152 - SPH_GRUPOA,SPH_STAGEII,,,26.0
2024-02-18,202407,152 - SPH_GRUPOA,SPH_STAGEII,,,35.0
2024-02-25,202408,152 - SPH_GRUPOA,SPH_STAGEII,,,37.0
2024-03-03,202409,152 - SPH_GRUPOA,SPH_STAGEII,,,45.0
2024-03-10,202410,152 - SPH_GRUPOA,SPH_STAGEII,,,28.0
2024-03-17,202411,152 - SPH_GRUPOA,SPH_STAGEII,,,20.0
2024-03-24,202412,152 - SPH_GRUPOA,SPH_STAGEII,,,37.0
2024-03-31,202413,152 - SPH_GRUPOA,SPH_STAGEII,,,73.0
2024-04-07,202414,152 - SPH_GRUPOA,SPH_STAGEII,10.72,,118.0
2024-04-14,202415,152 - SPH_GRUPOA,SPH_STAGEII,70.06,,137.0
2024-04-21,202416,152 - SPH_GRUPOA,SPH_STAGEII,249.96,,144.0
2024-04-28,202417,152 - SPH_GRUPOA,SPH_STAGEII,606.61,,193.0
2024-05-05,202418,152 - SPH_GRUPOA,SPH_STAGEII,671.53,,187.0
2024-05-12,202419,152 - SPH_GRUPOA,SPH_STAGEII,672.34,,168.0
2024-05-19,202420,152 - SPH_GRUPOA,SPH_STAGEII,462.58,,196.0
2024-05-26,202421,152 - SPH_GRUPOA,SPH_STAGEII,272.22,,174.0
2024-06-02,202422,152 - SPH_GRUPOA,SPH_STAGEII,136.06,,174.0
2024-06-09,202423,152 - SPH_GRUPOA,SPH_STAGEII,126.62,,130.0
2024-06-16,202424,152 - SPH_GRUPOA,SPH_STAGEII,150.84,,113.0
2024-06-23,202425,152 - SPH_GRUPOA,SPH_STAGEII,158.82,,89.0
2024-06-30,202426,152 - SPH_GRUPOA,SPH_STAGEII,161.64,,97.0
2024-07-07,202427,152 - SPH_GRUPOA,SPH_STAGEII,159.55,,80.0
2024-07-14,202428,152 - SPH_GRUPOA,SPH_STAGEII,161.52,,69.0
