ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2023-03-19,202312,153 - SPH_ILLI,SPH_STAGEII,,,0.0
2023-03-26,202313,153 - SPH_ILLI,SPH_STAGEII,,,2.0
2023-04-02,202314,153 - SPH_ILLI,SPH_STAGEII,,,8.0
2023-04-09,202315,153 - SPH_ILLI,SPH_STAGEII,,,18.0
2023-04-16,202316,153 - SPH_ILLI,SPH_STAGEII,,,76.0
2023-10-08,202341,153 - SPH_ILLI,SPH_STAGEII,,,13.0
2023-10-15,202342,153 - SPH_ILLI,SPH_STAGEII,,,19.0
2023-10-22,202343,153 - SPH_ILLI,SPH_STAGEII,,,13.0
2023-10-29,202344,153 - SPH_ILLI,SPH_STAGEII,,,13.0
2023-11-05,202345,153 - SPH_ILLI,SPH_STAGEII,,,18.0
2023-11-12,202346,153 - SPH_ILLI,SPH_STAGEII,,,15.0
2023-11-19,202347,153 - SPH_ILLI,SPH_STAGEII,,,16.0
2023-11-26,202348,153 - SPH_ILLI,SPH_STAGEII,,,8.0
2023-12-03,202349,153 - SPH_ILLI,SPH_STAGEII,,,10.0
2023-12-10,202350,153 - SPH_ILLI,SPH_STAGEII,,,10.0
2023-12-17,202351,153 - SPH_ILLI,SPH_STAGEII,,,0.0
2023-12-24,202352,153 - SPH_ILLI,SPH_STAGEII,,,31.0
2024-01-07,202401,153 - SPH_ILLI,SPH_STAGEII,,,37.0
2024-01-14,202402,153 - SPH_ILLI,SPH_STAGEII,,,17.0
2024-01-21,202403,153 - SPH_ILLI,SPH_STAGEII,,,26.0
2024-01-28,202404,153 - SPH_ILLI,SPH_STAGEII,,,3.0
2024-02-04,202405,153 - SPH_ILLI,SPH_STAGEII,,,11.0
2024-02-11,202406,153 - SPH_ILLI,SPH_STAGEII,,,3.0
2024-02-18,202407,153 - SPH_ILLI,SPH_STAGEII,,,19.0
2024-02-25,202408,153 - SPH_ILLI,SPH_STAGEII,,,10.0
2024-03-03,202409,153 - SPH_ILLI,SPH_STAGEII,,,17.0
2024-03-10,202410,153 - SPH_ILLI,SPH_STAGEII,,,8.0
2024-03-17,202411,153 - SPH_ILLI,SPH_STAGEII,,,9.0
2024-03-24,202412,153 - SPH_ILLI,SPH_STAGEII,,,36.0
2024-03-31,202413,153 - SPH_ILLI,SPH_STAGEII,,,45.0
2024-04-07,202414,153 - SPH_ILLI,SPH_STAGEII,11.17,,54.0
2024-04-14,202415,153 - SPH_ILLI,SPH_STAGEII,69.56,,104.0
2024-04-21,202416,153 - SPH_ILLI,SPH_STAGEII,132.97,,138.0
2024-04-28,202417,153 - SPH_ILLI,SPH_STAGEII,295.56,,116.0
2024-05-05,202418,153 - SPH_ILLI,SPH_STAGEII,320.57,,117.0
2024-05-12,202419,153 - SPH_ILLI,SPH_STAGEII,322.31,,85.0
2024-05-19,202420,153 - SPH_ILLI,SPH_STAGEII,227.29,,104.0
2024-05-26,202421,153 - SPH_ILLI,SPH_STAGEII,132.68,,101.0
2024-06-02,202422,153 - SPH_ILLI,SPH_STAGEII,61.14,,77.0
2024-06-09,202423,153 - SPH_ILLI,SPH_STAGEII,56.6,,100.0
2024-06-16,202424,153 - SPH_ILLI,SPH_STAGEII,71.82,,97.0
2024-06-23,202425,153 - SPH_ILLI,SPH_STAGEII,77.82,,84.0
2024-06-30,202426,153 - SPH_ILLI,SPH_STAGEII,75.57,,85.0
2024-07-07,202427,153 - SPH_ILLI,SPH_STAGEII,76.32,,75.0
2024-07-14,202428,153 - SPH_ILLI,SPH_STAGEII,77.43,,74.0
