ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-06-05,202223,155 - LFX_TX,LFX_STAGEII,,,342.0
2022-06-12,202224,155 - LFX_TX,LFX_STAGEII,,,276.0
2022-06-19,202225,155 - LFX_TX,LFX_STAGEII,,,275.0
2022-06-26,202226,155 - LFX_TX,LFX_STAGEII,,,332.0
2022-07-03,202227,155 - LFX_TX,LFX_STAGEII,,,261.0
2022-07-10,202228,155 - LFX_TX,LFX_STAGEII,,,259.0
2022-07-17,202229,155 - LFX_TX,LFX_STAGEII,,,263.0
2022-07-24,202230,155 - LFX_TX,LFX_STAGEII,,,253.0
2022-08-21,202234,155 - LFX_TX,LFX_STAGEII,,,265.0
2022-08-28,202235,155 - LFX_TX,LFX_STAGEII,,,233.0
2022-09-04,202236,155 - LFX_TX,LFX_STAGEII,,,215.0
2022-09-11,202237,155 - LFX_TX,LFX_STAGEII,,,241.0
2022-09-18,202238,155 - LFX_TX,LFX_STAGEII,,,260.0
2022-09-25,202239,155 - LFX_TX,LFX_STAGEII,,,243.0
2022-10-02,202240,155 - LFX_TX,LFX_STAGEII,,,221.0
2022-10-09,202241,155 - LFX_TX,LFX_STAGEII,,,234.0
2022-10-16,202242,155 - LFX_TX,LFX_STAGEII,,,222.0
2022-10-23,202243,155 - LFX_TX,LFX_STAGEII,,,217.0
2022-10-30,202244,155 - LFX_TX,LFX_STAGEII,,,218.0
2022-11-06,202245,155 - LFX_TX,LFX_STAGEII,,,281.0
