ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-06-05,202223,156 - LFX_CALI,LFX_STAGEII,,,211.0
2022-06-12,202224,156 - LFX_CALI,LFX_STAGEII,,,247.0
2022-06-19,202225,156 - LFX_CALI,LFX_STAGEII,,,209.0
2022-06-26,202226,156 - LFX_CALI,LFX_STAGEII,,,225.0
2022-07-03,202227,156 - LFX_CALI,LFX_STAGEII,,,205.0
2022-07-10,202228,156 - LFX_CALI,LFX_STAGEII,,,174.0
2022-07-17,202229,156 - LFX_CALI,LFX_STAGEII,,,181.0
2022-07-24,202230,156 - LFX_CALI,LFX_STAGEII,,,182.0
2022-08-21,202234,156 - LFX_CALI,LFX_STAGEII,,,179.0
2022-08-28,202235,156 - LFX_CALI,LFX_STAGEII,,,171.0
2022-09-04,202236,156 - LFX_CALI,LFX_STAGEII,,,195.0
2022-09-11,202237,156 - LFX_CALI,LFX_STAGEII,,,172.0
2022-09-18,202238,156 - LFX_CALI,LFX_STAGEII,,,186.0
2022-09-25,202239,156 - LFX_CALI,LFX_STAGEII,,,197.0
2022-10-02,202240,156 - LFX_CALI,LFX_STAGEII,,,168.0
2022-10-09,202241,156 - LFX_CALI,LFX_STAGEII,,,181.0
2022-10-16,202242,156 - LFX_CALI,LFX_STAGEII,,,179.0
2022-10-23,202243,156 - LFX_CALI,LFX_STAGEII,,,172.0
2022-10-30,202244,156 - LFX_CALI,LFX_STAGEII,,,177.0
2022-11-06,202245,156 - LFX_CALI,LFX_STAGEII,,,168.0
