ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-06-05,202223,157 - LFX_FL,LFX_STAGEII,,,117.0
2022-06-12,202224,157 - LFX_FL,LFX_STAGEII,,,112.0
2022-06-19,202225,157 - LFX_FL,LFX_STAGEII,,,91.0
2022-06-26,202226,157 - LFX_FL,LFX_STAGEII,,,116.0
2022-07-03,202227,157 - LFX_FL,LFX_STAGEII,,,108.0
2022-07-10,202228,157 - LFX_FL,LFX_STAGEII,,,100.0
2022-07-17,202229,157 - LFX_FL,LFX_STAGEII,,,113.0
2022-07-24,202230,157 - LFX_FL,LFX_STAGEII,,,102.0
2022-08-21,202234,157 - LFX_FL,LFX_STAGEII,,,103.0
2022-08-28,202235,157 - LFX_FL,LFX_STAGEII,,,77.0
2022-09-04,202236,157 - LFX_FL,LFX_STAGEII,,,98.0
2022-09-11,202237,157 - LFX_FL,LFX_STAGEII,,,112.0
2022-09-18,202238,157 - LFX_FL,LFX_STAGEII,,,85.0
2022-09-25,202239,157 - LFX_FL,LFX_STAGEII,,,82.0
2022-10-02,202240,157 - LFX_FL,LFX_STAGEII,,,98.0
2022-10-09,202241,157 - LFX_FL,LFX_STAGEII,,,103.0
2022-10-16,202242,157 - LFX_FL,LFX_STAGEII,,,91.0
2022-10-23,202243,157 - LFX_FL,LFX_STAGEII,,,95.0
2022-10-30,202244,157 - LFX_FL,LFX_STAGEII,,,114.0
2022-11-06,202245,157 - LFX_FL,LFX_STAGEII,,,81.0
