ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-06-05,202223,158 - LFX_GANPACT,LFX_STAGEII,,,75.0
2022-06-12,202224,158 - LFX_GANPACT,LFX_STAGEII,,,91.0
2022-06-19,202225,158 - LFX_GANPACT,LFX_STAGEII,,,59.0
2022-06-26,202226,158 - LFX_GANPACT,LFX_STAGEII,,,61.0
2022-07-03,202227,158 - LFX_GANPACT,LFX_STAGEII,,,68.0
2022-07-10,202228,158 - LFX_GANPACT,LFX_STAGEII,,,56.0
2022-07-17,202229,158 - LFX_GANPACT,LFX_STAGEII,,,74.0
2022-07-24,202230,158 - LFX_GANPACT,LFX_STAGEII,,,80.0
2022-08-21,202234,158 - LFX_GANPACT,LFX_STAGEII,,,63.0
2022-08-28,202235,158 - LFX_GANPACT,LFX_STAGEII,,,52.0
2022-09-04,202236,158 - LFX_GANPACT,LFX_STAGEII,,,52.0
2022-09-11,202237,158 - LFX_GANPACT,LFX_STAGEII,,,49.0
2022-09-18,202238,158 - LFX_GANPACT,LFX_STAGEII,,,53.0
2022-09-25,202239,158 - LFX_GANPACT,LFX_STAGEII,,,68.0
2022-10-02,202240,158 - LFX_GANPACT,LFX_STAGEII,,,51.0
2022-10-09,202241,158 - LFX_GANPACT,LFX_STAGEII,,,61.0
2022-10-16,202242,158 - LFX_GANPACT,LFX_STAGEII,,,47.0
2022-10-23,202243,158 - LFX_GANPACT,LFX_STAGEII,,,42.0
2022-10-30,202244,158 - LFX_GANPACT,LFX_STAGEII,,,74.0
2022-11-06,202245,158 - LFX_GANPACT,LFX_STAGEII,,,55.0
