ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-06-05,202223,159 - LFX_ILL&AROUND,LFX_STAGEII,,,44.0
2022-06-12,202224,159 - LFX_ILL&AROUND,LFX_STAGEII,,,54.0
2022-06-19,202225,159 - LFX_ILL&AROUND,LFX_STAGEII,,,40.0
2022-06-26,202226,159 - LFX_ILL&AROUND,LFX_STAGEII,,,33.0
2022-07-03,202227,159 - LFX_ILL&AROUND,LFX_STAGEII,,,42.0
2022-07-10,202228,159 - LFX_ILL&AROUND,LFX_STAGEII,,,38.0
2022-07-17,202229,159 - LFX_ILL&AROUND,LFX_STAGEII,,,38.0
2022-07-24,202230,159 - LFX_ILL&AROUND,LFX_STAGEII,,,27.0
2022-08-21,202234,159 - LFX_ILL&AROUND,LFX_STAGEII,,,35.0
2022-08-28,202235,159 - LFX_ILL&AROUND,LFX_STAGEII,,,28.0
2022-09-04,202236,159 - LFX_ILL&AROUND,LFX_STAGEII,,,37.0
2022-09-11,202237,159 - LFX_ILL&AROUND,LFX_STAGEII,,,36.0
2022-09-18,202238,159 - LFX_ILL&AROUND,LFX_STAGEII,,,28.0
2022-09-25,202239,159 - LFX_ILL&AROUND,LFX_STAGEII,,,34.0
2022-10-02,202240,159 - LFX_ILL&AROUND,LFX_STAGEII,,,23.0
2022-10-09,202241,159 - LFX_ILL&AROUND,LFX_STAGEII,,,34.0
2022-10-16,202242,159 - LFX_ILL&AROUND,LFX_STAGEII,,,22.0
2022-10-23,202243,159 - LFX_ILL&AROUND,LFX_STAGEII,,,29.0
2022-10-30,202244,159 - LFX_ILL&AROUND,LFX_STAGEII,,,30.0
2022-11-06,202245,159 - LFX_ILL&AROUND,LFX_STAGEII,,,29.0
