ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-06-05,202223,160 - LFX_NAC,LFX_STAGEII,,,160.0
2022-06-12,202224,160 - LFX_NAC,LFX_STAGEII,,,152.0
2022-06-19,202225,160 - LFX_NAC,LFX_STAGEII,,,141.0
2022-06-26,202226,160 - LFX_NAC,LFX_STAGEII,,,127.0
2022-07-03,202227,160 - LFX_NAC,LFX_STAGEII,,,136.0
2022-07-10,202228,160 - LFX_NAC,LFX_STAGEII,,,138.0
2022-07-17,202229,160 - LFX_NAC,LFX_STAGEII,,,134.0
2022-07-24,202230,160 - LFX_NAC,LFX_STAGEII,,,124.0
2022-08-21,202234,160 - LFX_NAC,LFX_STAGEII,,,140.0
2022-08-28,202235,160 - LFX_NAC,LFX_STAGEII,,,122.0
2022-09-04,202236,160 - LFX_NAC,LFX_STAGEII,,,140.0
2022-09-11,202237,160 - LFX_NAC,LFX_STAGEII,,,122.0
2022-09-18,202238,160 - LFX_NAC,LFX_STAGEII,,,146.0
2022-09-25,202239,160 - LFX_NAC,LFX_STAGEII,,,110.0
2022-10-02,202240,160 - LFX_NAC,LFX_STAGEII,,,110.0
2022-10-09,202241,160 - LFX_NAC,LFX_STAGEII,,,139.0
2022-10-16,202242,160 - LFX_NAC,LFX_STAGEII,,,130.0
2022-10-23,202243,160 - LFX_NAC,LFX_STAGEII,,,136.0
2022-10-30,202244,160 - LFX_NAC,LFX_STAGEII,,,113.0
2022-11-06,202245,160 - LFX_NAC,LFX_STAGEII,,,134.0
