ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-06-05,202223,161 - LFX_ORWA,LFX_STAGEII,,,42.0
2022-06-12,202224,161 - LFX_ORWA,LFX_STAGEII,,,44.0
2022-06-19,202225,161 - LFX_ORWA,LFX_STAGEII,,,43.0
2022-06-26,202226,161 - LFX_ORWA,LFX_STAGEII,,,34.0
2022-07-03,202227,161 - LFX_ORWA,LFX_STAGEII,,,38.0
2022-07-10,202228,161 - LFX_ORWA,LFX_STAGEII,,,28.0
2022-07-17,202229,161 - LFX_ORWA,LFX_STAGEII,,,41.0
2022-07-24,202230,161 - LFX_ORWA,LFX_STAGEII,,,28.0
2022-08-21,202234,161 - LFX_ORWA,LFX_STAGEII,,,20.0
2022-08-28,202235,161 - LFX_ORWA,LFX_STAGEII,,,30.0
2022-09-04,202236,161 - LFX_ORWA,LFX_STAGEII,,,21.0
2022-09-11,202237,161 - LFX_ORWA,LFX_STAGEII,,,34.0
2022-09-18,202238,161 - LFX_ORWA,LFX_STAGEII,,,36.0
2022-09-25,202239,161 - LFX_ORWA,LFX_STAGEII,,,28.0
2022-10-02,202240,161 - LFX_ORWA,LFX_STAGEII,,,34.0
2022-10-09,202241,161 - LFX_ORWA,LFX_STAGEII,,,20.0
2022-10-16,202242,161 - LFX_ORWA,LFX_STAGEII,,,40.0
2022-10-23,202243,161 - LFX_ORWA,LFX_STAGEII,,,25.0
2022-10-30,202244,161 - LFX_ORWA,LFX_STAGEII,,,23.0
2022-11-06,202245,161 - LFX_ORWA,LFX_STAGEII,,,40.0
