ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2020-01-05,202001,20 - LFX_CALIUP2,LFX_STAGEI,,,89.0
2020-01-12,202002,20 - LFX_CALIUP2,LFX_STAGEI,,,82.0
2020-01-19,202003,20 - LFX_CALIUP2,LFX_STAGEI,,,106.0
2020-01-26,202004,20 - LFX_CALIUP2,LFX_STAGEI,,,30.0
2020-02-02,202005,20 - LFX_CALIUP2,LFX_STAGEI,,,106.0
2020-02-09,202006,20 - LFX_CALIUP2,LFX_STAGEI,,,85.0
2020-02-16,202007,20 - LFX_CALIUP2,LFX_STAGEI,,,85.0
2020-02-23,202008,20 - LFX_CALIUP2,LFX_STAGEI,,,56.0
2020-03-01,202009,20 - LFX_CALIUP2,LFX_STAGEI,,,89.0
2020-03-08,202010,20 - LFX_CALIUP2,LFX_STAGEI,,,93.0
2020-03-15,202011,20 - LFX_CALIUP2,LFX_STAGEI,,,109.0
2020-03-22,202012,20 - LFX_CALIUP2,LFX_STAGEI,,,61.0
2020-03-29,202013,20 - LFX_CALIUP2,LFX_STAGEI,,,87.0
2020-04-05,202014,20 - LFX_CALIUP2,LFX_STAGEI,,,70.0
2020-04-12,202015,20 - LFX_CALIUP2,LFX_STAGEI,,,68.0
2020-04-19,202016,20 - LFX_CALIUP2,LFX_STAGEI,,,76.0
2020-04-26,202017,20 - LFX_CALIUP2,LFX_STAGEI,,,80.0
2020-05-03,202018,20 - LFX_CALIUP2,LFX_STAGEI,,,52.0
2020-05-10,202019,20 - LFX_CALIUP2,LFX_STAGEI,,,63.0
2020-05-17,202020,20 - LFX_CALIUP2,LFX_STAGEI,,,74.0
2020-05-24,202021,20 - LFX_CALIUP2,LFX_STAGEI,,,70.0
2020-05-31,202022,20 - LFX_CALIUP2,LFX_STAGEI,,,74.0
2020-06-07,202023,20 - LFX_CALIUP2,LFX_STAGEI,,,79.0
2020-06-14,202024,20 - LFX_CALIUP2,LFX_STAGEI,,,86.0
2020-06-21,202025,20 - LFX_CALIUP2,LFX_STAGEI,,,88.0
2020-06-28,202026,20 - LFX_CALIUP2,LFX_STAGEI,,,93.0
2020-07-05,202027,20 - LFX_CALIUP2,LFX_STAGEI,,,71.0
2020-07-12,202028,20 - LFX_CALIUP2,LFX_STAGEI,,,79.0
2020-07-19,202029,20 - LFX_CALIUP2,LFX_STAGEI,,,85.0
2020-07-26,202030,20 - LFX_CALIUP2,LFX_STAGEI,,,61.0
2020-08-02,202031,20 - LFX_CALIUP2,LFX_STAGEI,,,86.0
2020-08-09,202032,20 - LFX_CALIUP2,LFX_STAGEI,,,85.0
2020-08-16,202033,20 - LFX_CALIUP2,LFX_STAGEI,,,78.0
2020-08-23,202034,20 - LFX_CALIUP2,LFX_STAGEI,,,67.0
2020-08-30,202035,20 - LFX_CALIUP2,LFX_STAGEI,,,80.0
2020-09-06,202036,20 - LFX_CALIUP2,LFX_STAGEI,,,73.0
2020-09-13,202037,20 - LFX_CALIUP2,LFX_STAGEI,,,96.0
2020-09-20,202038,20 - LFX_CALIUP2,LFX_STAGEI,,,77.0
2020-09-27,202039,20 - LFX_CALIUP2,LFX_STAGEI,,,86.0
2020-10-04,202040,20 - LFX_CALIUP2,LFX_STAGEI,,,94.0
2020-10-11,202041,20 - LFX_CALIUP2,LFX_STAGEI,,,89.0
2020-10-18,202042,20 - LFX_CALIUP2,LFX_STAGEI,,,87.0
2020-10-25,202043,20 - LFX_CALIUP2,LFX_STAGEI,,,83.0
2020-11-01,202044,20 - LFX_CALIUP2,LFX_STAGEI,,,85.0
2020-11-08,202045,20 - LFX_CALIUP2,LFX_STAGEI,,,80.0
2020-11-15,202046,20 - LFX_CALIUP2,LFX_STAGEI,,,59.0
2020-11-22,202047,20 - LFX_CALIUP2,LFX_STAGEI,,,65.0
2020-11-29,202048,20 - LFX_CALIUP2,LFX_STAGEI,,,66.0
2020-12-06,202049,20 - LFX_CALIUP2,LFX_STAGEI,,,66.0
2020-12-13,202050,20 - LFX_CALIUP2,LFX_STAGEI,,,71.0
2020-12-20,202051,20 - LFX_CALIUP2,LFX_STAGEI,,,52.0
2020-12-27,202052,20 - LFX_CALIUP2,LFX_STAGEI,,,71.0
2021-01-03,202101,20 - LFX_CALIUP2,LFX_STAGEI,,,92.0
2021-01-10,202102,20 - LFX_CALIUP2,LFX_STAGEI,,,84.0
2021-01-17,202103,20 - LFX_CALIUP2,LFX_STAGEI,,,71.0
2021-01-24,202104,20 - LFX_CALIUP2,LFX_STAGEI,,,80.0
2021-01-31,202105,20 - LFX_CALIUP2,LFX_STAGEI,,,76.0
2021-02-07,202106,20 - LFX_CALIUP2,LFX_STAGEI,,,93.0
2021-02-14,202107,20 - LFX_CALIUP2,LFX_STAGEI,,,71.0
2021-02-21,202108,20 - LFX_CALIUP2,LFX_STAGEI,,,89.0
2021-02-28,202109,20 - LFX_CALIUP2,LFX_STAGEI,,,93.0
2021-03-07,202110,20 - LFX_CALIUP2,LFX_STAGEI,,,88.0
2021-03-14,202111,20 - LFX_CALIUP2,LFX_STAGEI,,,88.0
2021-03-21,202112,20 - LFX_CALIUP2,LFX_STAGEI,,,84.0
2021-03-28,202113,20 - LFX_CALIUP2,LFX_STAGEI,,,101.0
2021-04-04,202114,20 - LFX_CALIUP2,LFX_STAGEI,,,92.0
2021-04-11,202115,20 - LFX_CALIUP2,LFX_STAGEI,,,86.0
2021-04-18,202116,20 - LFX_CALIUP2,LFX_STAGEI,,,82.0
2021-04-25,202117,20 - LFX_CALIUP2,LFX_STAGEI,,,58.0
2021-05-02,202118,20 - LFX_CALIUP2,LFX_STAGEI,,,87.0
2021-05-09,202119,20 - LFX_CALIUP2,LFX_STAGEI,,,72.0
2021-05-16,202120,20 - LFX_CALIUP2,LFX_STAGEI,,,88.0
2021-05-23,202121,20 - LFX_CALIUP2,LFX_STAGEI,,,74.0
2021-05-30,202122,20 - LFX_CALIUP2,LFX_STAGEI,,,74.0
2021-06-06,202123,20 - LFX_CALIUP2,LFX_STAGEI,,,92.0
2021-06-13,202124,20 - LFX_CALIUP2,LFX_STAGEI,,,80.0
2021-06-20,202125,20 - LFX_CALIUP2,LFX_STAGEI,,,97.0
2021-06-27,202126,20 - LFX_CALIUP2,LFX_STAGEI,,,77.0
2021-07-04,202127,20 - LFX_CALIUP2,LFX_STAGEI,,,105.0
2021-07-11,202128,20 - LFX_CALIUP2,LFX_STAGEI,,,77.0
2021-07-25,202130,20 - LFX_CALIUP2,LFX_STAGEI,,,86.0
2021-08-01,202131,20 - LFX_CALIUP2,LFX_STAGEI,,,69.0
2021-08-08,202132,20 - LFX_CALIUP2,LFX_STAGEI,,,68.0
2021-08-15,202133,20 - LFX_CALIUP2,LFX_STAGEI,,,51.0
2021-08-22,202134,20 - LFX_CALIUP2,LFX_STAGEI,,,43.0
2021-08-29,202135,20 - LFX_CALIUP2,LFX_STAGEI,,,59.0
2021-09-05,202136,20 - LFX_CALIUP2,LFX_STAGEI,,,82.0
2021-09-12,202137,20 - LFX_CALIUP2,LFX_STAGEI,,,109.0
2021-09-19,202138,20 - LFX_CALIUP2,LFX_STAGEI,,,88.0
2021-09-26,202139,20 - LFX_CALIUP2,LFX_STAGEI,,,82.0
