ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2020-01-05,202001,26 - LFX_FLUP1,LFX_STAGEI,,,64.0
2020-01-12,202002,26 - LFX_FLUP1,LFX_STAGEI,,,69.0
2020-01-19,202003,26 - LFX_FLUP1,LFX_STAGEI,,,59.0
2020-01-26,202004,26 - LFX_FLUP1,LFX_STAGEI,,,45.0
2020-02-02,202005,26 - LFX_FLUP1,LFX_STAGEI,,,67.0
2020-02-09,202006,26 - LFX_FLUP1,LFX_STAGEI,,,62.0
2020-02-16,202007,26 - LFX_FLUP1,LFX_STAGEI,,,62.0
2020-02-23,202008,26 - LFX_FLUP1,LFX_STAGEI,,,79.0
2020-03-01,202009,26 - LFX_FLUP1,LFX_STAGEI,,,64.0
2020-03-08,202010,26 - LFX_FLUP1,LFX_STAGEI,,,82.0
2020-03-15,202011,26 - LFX_FLUP1,LFX_STAGEI,,,56.0
2020-03-22,202012,26 - LFX_FLUP1,LFX_STAGEI,,,61.0
2020-03-29,202013,26 - LFX_FLUP1,LFX_STAGEI,,,56.0
2020-04-05,202014,26 - LFX_FLUP1,LFX_STAGEI,,,38.0
2020-04-12,202015,26 - LFX_FLUP1,LFX_STAGEI,,,48.0
2020-04-19,202016,26 - LFX_FLUP1,LFX_STAGEI,,,58.0
2020-04-26,202017,26 - LFX_FLUP1,LFX_STAGEI,,,74.0
2020-05-03,202018,26 - LFX_FLUP1,LFX_STAGEI,,,54.0
2020-05-10,202019,26 - LFX_FLUP1,LFX_STAGEI,,,52.0
2020-05-17,202020,26 - LFX_FLUP1,LFX_STAGEI,,,79.0
2020-05-24,202021,26 - LFX_FLUP1,LFX_STAGEI,,,61.0
2020-05-31,202022,26 - LFX_FLUP1,LFX_STAGEI,,,47.0
2020-06-07,202023,26 - LFX_FLUP1,LFX_STAGEI,,,77.0
2020-06-14,202024,26 - LFX_FLUP1,LFX_STAGEI,,,77.0
2020-06-21,202025,26 - LFX_FLUP1,LFX_STAGEI,,,67.0
2020-06-28,202026,26 - LFX_FLUP1,LFX_STAGEI,,,77.0
2020-07-05,202027,26 - LFX_FLUP1,LFX_STAGEI,,,82.0
2020-07-12,202028,26 - LFX_FLUP1,LFX_STAGEI,,,80.0
2020-07-19,202029,26 - LFX_FLUP1,LFX_STAGEI,,,66.0
2020-07-26,202030,26 - LFX_FLUP1,LFX_STAGEI,,,78.0
2020-08-02,202031,26 - LFX_FLUP1,LFX_STAGEI,,,72.0
2020-08-09,202032,26 - LFX_FLUP1,LFX_STAGEI,,,61.0
2020-08-16,202033,26 - LFX_FLUP1,LFX_STAGEI,,,85.0
2020-08-23,202034,26 - LFX_FLUP1,LFX_STAGEI,,,61.0
2020-08-30,202035,26 - LFX_FLUP1,LFX_STAGEI,,,76.0
2020-09-06,202036,26 - LFX_FLUP1,LFX_STAGEI,,,88.0
2020-09-13,202037,26 - LFX_FLUP1,LFX_STAGEI,,,76.0
2020-09-20,202038,26 - LFX_FLUP1,LFX_STAGEI,,,73.0
2020-09-27,202039,26 - LFX_FLUP1,LFX_STAGEI,,,63.0
2020-10-04,202040,26 - LFX_FLUP1,LFX_STAGEI,,,77.0
2020-10-11,202041,26 - LFX_FLUP1,LFX_STAGEI,,,66.0
2020-10-18,202042,26 - LFX_FLUP1,LFX_STAGEI,,,81.0
2020-10-25,202043,26 - LFX_FLUP1,LFX_STAGEI,,,72.0
2020-11-01,202044,26 - LFX_FLUP1,LFX_STAGEI,,,72.0
2020-11-08,202045,26 - LFX_FLUP1,LFX_STAGEI,,,79.0
2020-11-15,202046,26 - LFX_FLUP1,LFX_STAGEI,,,63.0
2020-11-22,202047,26 - LFX_FLUP1,LFX_STAGEI,,,64.0
2020-11-29,202048,26 - LFX_FLUP1,LFX_STAGEI,,,85.0
2020-12-06,202049,26 - LFX_FLUP1,LFX_STAGEI,,,54.0
2020-12-13,202050,26 - LFX_FLUP1,LFX_STAGEI,,,63.0
2020-12-20,202051,26 - LFX_FLUP1,LFX_STAGEI,,,53.0
2020-12-27,202052,26 - LFX_FLUP1,LFX_STAGEI,,,55.0
2021-01-03,202101,26 - LFX_FLUP1,LFX_STAGEI,,,93.0
2021-01-10,202102,26 - LFX_FLUP1,LFX_STAGEI,,,58.0
2021-01-17,202103,26 - LFX_FLUP1,LFX_STAGEI,,,63.0
2021-01-24,202104,26 - LFX_FLUP1,LFX_STAGEI,,,47.0
2021-01-31,202105,26 - LFX_FLUP1,LFX_STAGEI,,,77.0
2021-02-07,202106,26 - LFX_FLUP1,LFX_STAGEI,,,64.0
2021-02-14,202107,26 - LFX_FLUP1,LFX_STAGEI,,,55.0
2021-02-21,202108,26 - LFX_FLUP1,LFX_STAGEI,,,72.0
2021-02-28,202109,26 - LFX_FLUP1,LFX_STAGEI,,,76.0
2021-03-07,202110,26 - LFX_FLUP1,LFX_STAGEI,,,69.0
2021-03-14,202111,26 - LFX_FLUP1,LFX_STAGEI,,,78.0
2021-03-21,202112,26 - LFX_FLUP1,LFX_STAGEI,,,79.0
2021-03-28,202113,26 - LFX_FLUP1,LFX_STAGEI,,,76.0
2021-04-04,202114,26 - LFX_FLUP1,LFX_STAGEI,,,81.0
2021-04-11,202115,26 - LFX_FLUP1,LFX_STAGEI,,,64.0
2021-04-18,202116,26 - LFX_FLUP1,LFX_STAGEI,,,73.0
2021-04-25,202117,26 - LFX_FLUP1,LFX_STAGEI,,,80.0
2021-05-02,202118,26 - LFX_FLUP1,LFX_STAGEI,,,75.0
2021-05-09,202119,26 - LFX_FLUP1,LFX_STAGEI,,,72.0
2021-05-16,202120,26 - LFX_FLUP1,LFX_STAGEI,,,59.0
2021-05-23,202121,26 - LFX_FLUP1,LFX_STAGEI,,,65.0
2021-05-30,202122,26 - LFX_FLUP1,LFX_STAGEI,,,65.0
2021-06-06,202123,26 - LFX_FLUP1,LFX_STAGEI,,,66.0
2021-06-13,202124,26 - LFX_FLUP1,LFX_STAGEI,,,50.0
2021-06-20,202125,26 - LFX_FLUP1,LFX_STAGEI,,,86.0
2021-06-27,202126,26 - LFX_FLUP1,LFX_STAGEI,,,91.0
2021-07-04,202127,26 - LFX_FLUP1,LFX_STAGEI,,,57.0
2021-07-11,202128,26 - LFX_FLUP1,LFX_STAGEI,,,71.0
2021-07-25,202130,26 - LFX_FLUP1,LFX_STAGEI,,,45.0
2021-08-01,202131,26 - LFX_FLUP1,LFX_STAGEI,,,61.0
2021-08-08,202132,26 - LFX_FLUP1,LFX_STAGEI,,,103.0
2021-08-15,202133,26 - LFX_FLUP1,LFX_STAGEI,,,64.0
2021-08-22,202134,26 - LFX_FLUP1,LFX_STAGEI,,,66.0
2021-08-29,202135,26 - LFX_FLUP1,LFX_STAGEI,,,67.0
2021-09-05,202136,26 - LFX_FLUP1,LFX_STAGEI,,,98.0
2021-09-12,202137,26 - LFX_FLUP1,LFX_STAGEI,,,72.0
2021-09-19,202138,26 - LFX_FLUP1,LFX_STAGEI,,,74.0
2021-09-26,202139,26 - LFX_FLUP1,LFX_STAGEI,,,66.0
2021-10-03,202140,26 - LFX_FLUP1,LFX_STAGEI,,,61.0
2021-10-10,202141,26 - LFX_FLUP1,LFX_STAGEI,,,67.0
2021-10-17,202142,26 - LFX_FLUP1,LFX_STAGEI,,,65.0
2021-10-24,202143,26 - LFX_FLUP1,LFX_STAGEI,,,60.0
2021-10-31,202144,26 - LFX_FLUP1,LFX_STAGEI,,,61.0
2021-11-07,202145,26 - LFX_FLUP1,LFX_STAGEI,,,71.0
2021-11-14,202146,26 - LFX_FLUP1,LFX_STAGEI,,,58.0
2021-11-21,202147,26 - LFX_FLUP1,LFX_STAGEI,,,48.0
2021-11-28,202148,26 - LFX_FLUP1,LFX_STAGEI,,,57.0
2021-12-05,202149,26 - LFX_FLUP1,LFX_STAGEI,,,60.0
