ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2020-01-05,202001,30 - LFX_NORESTEALL,LFX_STAGEI,,,46.0
2020-01-12,202002,30 - LFX_NORESTEALL,LFX_STAGEI,,,37.0
2020-01-19,202003,30 - LFX_NORESTEALL,LFX_STAGEI,,,62.0
2020-01-26,202004,30 - LFX_NORESTEALL,LFX_STAGEI,,,29.0
2020-02-02,202005,30 - LFX_NORESTEALL,LFX_STAGEI,,,53.0
2020-02-09,202006,30 - LFX_NORESTEALL,LFX_STAGEI,,,59.0
2020-02-16,202007,30 - LFX_NORESTEALL,LFX_STAGEI,,,59.0
2020-02-23,202008,30 - LFX_NORESTEALL,LFX_STAGEI,,,59.0
2020-03-01,202009,30 - LFX_NORESTEALL,LFX_STAGEI,,,66.0
2020-03-08,202010,30 - LFX_NORESTEALL,LFX_STAGEI,,,67.0
2020-03-15,202011,30 - LFX_NORESTEALL,LFX_STAGEI,,,64.0
2020-03-22,202012,30 - LFX_NORESTEALL,LFX_STAGEI,,,45.0
2020-03-29,202013,30 - LFX_NORESTEALL,LFX_STAGEI,,,33.0
2020-04-05,202014,30 - LFX_NORESTEALL,LFX_STAGEI,,,32.0
2020-04-12,202015,30 - LFX_NORESTEALL,LFX_STAGEI,,,27.0
2020-04-19,202016,30 - LFX_NORESTEALL,LFX_STAGEI,,,28.0
2020-04-26,202017,30 - LFX_NORESTEALL,LFX_STAGEI,,,49.0
2020-05-03,202018,30 - LFX_NORESTEALL,LFX_STAGEI,,,42.0
2020-05-10,202019,30 - LFX_NORESTEALL,LFX_STAGEI,,,22.0
2020-05-17,202020,30 - LFX_NORESTEALL,LFX_STAGEI,,,48.0
2020-05-24,202021,30 - LFX_NORESTEALL,LFX_STAGEI,,,51.0
2020-05-31,202022,30 - LFX_NORESTEALL,LFX_STAGEI,,,53.0
2020-06-07,202023,30 - LFX_NORESTEALL,LFX_STAGEI,,,55.0
2020-06-14,202024,30 - LFX_NORESTEALL,LFX_STAGEI,,,51.0
2020-06-21,202025,30 - LFX_NORESTEALL,LFX_STAGEI,,,56.0
2020-06-28,202026,30 - LFX_NORESTEALL,LFX_STAGEI,,,63.0
2020-07-05,202027,30 - LFX_NORESTEALL,LFX_STAGEI,,,84.0
2020-07-12,202028,30 - LFX_NORESTEALL,LFX_STAGEI,,,49.0
2020-07-19,202029,30 - LFX_NORESTEALL,LFX_STAGEI,,,41.0
2020-07-26,202030,30 - LFX_NORESTEALL,LFX_STAGEI,,,68.0
2020-08-02,202031,30 - LFX_NORESTEALL,LFX_STAGEI,,,84.0
2020-08-09,202032,30 - LFX_NORESTEALL,LFX_STAGEI,,,64.0
2020-08-16,202033,30 - LFX_NORESTEALL,LFX_STAGEI,,,65.0
2020-08-23,202034,30 - LFX_NORESTEALL,LFX_STAGEI,,,60.0
2020-08-30,202035,30 - LFX_NORESTEALL,LFX_STAGEI,,,76.0
2020-09-06,202036,30 - LFX_NORESTEALL,LFX_STAGEI,,,55.0
2020-09-13,202037,30 - LFX_NORESTEALL,LFX_STAGEI,,,45.0
2020-09-20,202038,30 - LFX_NORESTEALL,LFX_STAGEI,,,75.0
2020-09-27,202039,30 - LFX_NORESTEALL,LFX_STAGEI,,,33.0
2020-10-04,202040,30 - LFX_NORESTEALL,LFX_STAGEI,,,83.0
2020-10-11,202041,30 - LFX_NORESTEALL,LFX_STAGEI,,,80.0
2020-10-18,202042,30 - LFX_NORESTEALL,LFX_STAGEI,,,56.0
2020-10-25,202043,30 - LFX_NORESTEALL,LFX_STAGEI,,,72.0
2020-11-01,202044,30 - LFX_NORESTEALL,LFX_STAGEI,,,78.0
2020-11-08,202045,30 - LFX_NORESTEALL,LFX_STAGEI,,,64.0
2020-11-15,202046,30 - LFX_NORESTEALL,LFX_STAGEI,,,73.0
2020-11-22,202047,30 - LFX_NORESTEALL,LFX_STAGEI,,,68.0
2020-11-29,202048,30 - LFX_NORESTEALL,LFX_STAGEI,,,61.0
2020-12-06,202049,30 - LFX_NORESTEALL,LFX_STAGEI,,,52.0
2020-12-13,202050,30 - LFX_NORESTEALL,LFX_STAGEI,,,48.0
2020-12-20,202051,30 - LFX_NORESTEALL,LFX_STAGEI,,,38.0
2020-12-27,202052,30 - LFX_NORESTEALL,LFX_STAGEI,,,66.0
2021-01-03,202101,30 - LFX_NORESTEALL,LFX_STAGEI,,,75.0
2021-01-10,202102,30 - LFX_NORESTEALL,LFX_STAGEI,,,55.0
2021-01-17,202103,30 - LFX_NORESTEALL,LFX_STAGEI,,,74.0
2021-01-24,202104,30 - LFX_NORESTEALL,LFX_STAGEI,,,88.0
2021-01-31,202105,30 - LFX_NORESTEALL,LFX_STAGEI,,,67.0
2021-02-07,202106,30 - LFX_NORESTEALL,LFX_STAGEI,,,62.0
2021-02-14,202107,30 - LFX_NORESTEALL,LFX_STAGEI,,,51.0
2021-02-21,202108,30 - LFX_NORESTEALL,LFX_STAGEI,,,79.0
2021-02-28,202109,30 - LFX_NORESTEALL,LFX_STAGEI,,,87.0
2021-03-07,202110,30 - LFX_NORESTEALL,LFX_STAGEI,,,75.0
2021-03-14,202111,30 - LFX_NORESTEALL,LFX_STAGEI,,,98.0
2021-03-21,202112,30 - LFX_NORESTEALL,LFX_STAGEI,,,54.0
2021-03-28,202113,30 - LFX_NORESTEALL,LFX_STAGEI,,,56.0
2021-04-04,202114,30 - LFX_NORESTEALL,LFX_STAGEI,,,92.0
2021-04-11,202115,30 - LFX_NORESTEALL,LFX_STAGEI,,,77.0
2021-04-18,202116,30 - LFX_NORESTEALL,LFX_STAGEI,,,67.0
2021-04-25,202117,30 - LFX_NORESTEALL,LFX_STAGEI,,,93.0
2021-05-02,202118,30 - LFX_NORESTEALL,LFX_STAGEI,,,80.0
2021-05-09,202119,30 - LFX_NORESTEALL,LFX_STAGEI,,,29.0
2021-05-16,202120,30 - LFX_NORESTEALL,LFX_STAGEI,,,72.0
2021-05-23,202121,30 - LFX_NORESTEALL,LFX_STAGEI,,,92.0
2021-05-30,202122,30 - LFX_NORESTEALL,LFX_STAGEI,,,92.0
2021-06-06,202123,30 - LFX_NORESTEALL,LFX_STAGEI,,,83.0
2021-06-13,202124,30 - LFX_NORESTEALL,LFX_STAGEI,,,63.0
2021-06-20,202125,30 - LFX_NORESTEALL,LFX_STAGEI,,,72.0
2021-06-27,202126,30 - LFX_NORESTEALL,LFX_STAGEI,,,81.0
2021-07-04,202127,30 - LFX_NORESTEALL,LFX_STAGEI,,,96.0
2021-07-11,202128,30 - LFX_NORESTEALL,LFX_STAGEI,,,65.0
2021-07-25,202130,30 - LFX_NORESTEALL,LFX_STAGEI,,,58.0
2021-08-01,202131,30 - LFX_NORESTEALL,LFX_STAGEI,,,55.0
2021-08-08,202132,30 - LFX_NORESTEALL,LFX_STAGEI,,,53.0
