ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2020-01-05,202001,31 - LFX_WILLIUP1,LFX_STAGEI,,,39.0
2020-01-12,202002,31 - LFX_WILLIUP1,LFX_STAGEI,,,40.0
2020-01-19,202003,31 - LFX_WILLIUP1,LFX_STAGEI,,,39.0
2020-01-26,202004,31 - LFX_WILLIUP1,LFX_STAGEI,,,32.0
2020-02-02,202005,31 - LFX_WILLIUP1,LFX_STAGEI,,,47.0
2020-02-09,202006,31 - LFX_WILLIUP1,LFX_STAGEI,,,59.0
2020-02-16,202007,31 - LFX_WILLIUP1,LFX_STAGEI,,,59.0
2020-02-23,202008,31 - LFX_WILLIUP1,LFX_STAGEI,,,47.0
2020-03-01,202009,31 - LFX_WILLIUP1,LFX_STAGEI,,,63.0
2020-03-08,202010,31 - LFX_WILLIUP1,LFX_STAGEI,,,63.0
2020-03-15,202011,31 - LFX_WILLIUP1,LFX_STAGEI,,,38.0
2020-03-22,202012,31 - LFX_WILLIUP1,LFX_STAGEI,,,35.0
2020-03-29,202013,31 - LFX_WILLIUP1,LFX_STAGEI,,,30.0
2020-04-05,202014,31 - LFX_WILLIUP1,LFX_STAGEI,,,45.0
2020-04-12,202015,31 - LFX_WILLIUP1,LFX_STAGEI,,,32.0
2020-04-19,202016,31 - LFX_WILLIUP1,LFX_STAGEI,,,36.0
2020-04-26,202017,31 - LFX_WILLIUP1,LFX_STAGEI,,,52.0
2020-05-03,202018,31 - LFX_WILLIUP1,LFX_STAGEI,,,24.0
2020-05-10,202019,31 - LFX_WILLIUP1,LFX_STAGEI,,,40.0
2020-05-17,202020,31 - LFX_WILLIUP1,LFX_STAGEI,,,48.0
2020-05-24,202021,31 - LFX_WILLIUP1,LFX_STAGEI,,,36.0
2020-05-31,202022,31 - LFX_WILLIUP1,LFX_STAGEI,,,38.0
2020-06-07,202023,31 - LFX_WILLIUP1,LFX_STAGEI,,,53.0
2020-06-14,202024,31 - LFX_WILLIUP1,LFX_STAGEI,,,36.0
2020-06-21,202025,31 - LFX_WILLIUP1,LFX_STAGEI,,,39.0
2020-06-28,202026,31 - LFX_WILLIUP1,LFX_STAGEI,,,52.0
2020-07-05,202027,31 - LFX_WILLIUP1,LFX_STAGEI,,,50.0
2020-07-12,202028,31 - LFX_WILLIUP1,LFX_STAGEI,,,43.0
2020-07-19,202029,31 - LFX_WILLIUP1,LFX_STAGEI,,,39.0
2020-07-26,202030,31 - LFX_WILLIUP1,LFX_STAGEI,,,55.0
2020-08-02,202031,31 - LFX_WILLIUP1,LFX_STAGEI,,,44.0
2020-08-09,202032,31 - LFX_WILLIUP1,LFX_STAGEI,,,38.0
2020-08-16,202033,31 - LFX_WILLIUP1,LFX_STAGEI,,,46.0
2020-08-23,202034,31 - LFX_WILLIUP1,LFX_STAGEI,,,48.0
2020-08-30,202035,31 - LFX_WILLIUP1,LFX_STAGEI,,,51.0
