ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-08-29,202135,60 - MS_CALIFORNIA>2,MS_STAGEII,,,0.0
2021-09-05,202136,60 - MS_CALIFORNIA>2,MS_STAGEII,,,0.0
2021-09-12,202137,60 - MS_CALIFORNIA>2,MS_STAGEII,,,1.0
2021-09-19,202138,60 - MS_CALIFORNIA>2,MS_STAGEII,,,5.0
2021-09-26,202139,60 - MS_CALIFORNIA>2,MS_STAGEII,,,4.0
2021-10-03,202140,60 - MS_CALIFORNIA>2,MS_STAGEII,,,7.0
2021-10-10,202141,60 - MS_CALIFORNIA>2,MS_STAGEII,,,1.0
2021-10-17,202142,60 - MS_CALIFORNIA>2,MS_STAGEII,,,3.0
2021-10-24,202143,60 - MS_CALIFORNIA>2,MS_STAGEII,,,6.0
2021-10-31,202144,60 - MS_CALIFORNIA>2,MS_STAGEII,,,4.0
2021-11-07,202145,60 - MS_CALIFORNIA>2,MS_STAGEII,,,5.0
2021-11-14,202146,60 - MS_CALIFORNIA>2,MS_STAGEII,,,1.0
2021-11-21,202147,60 - MS_CALIFORNIA>2,MS_STAGEII,,,8.0
2021-11-28,202148,60 - MS_CALIFORNIA>2,MS_STAGEII,,,5.0
2021-12-05,202149,60 - MS_CALIFORNIA>2,MS_STAGEII,,,1.0
2021-12-12,202150,60 - MS_CALIFORNIA>2,MS_STAGEII,,,5.0
2021-12-19,202151,60 - MS_CALIFORNIA>2,MS_STAGEII,,,5.0
2021-12-26,202152,60 - MS_CALIFORNIA>2,MS_STAGEII,,,3.0
2022-01-02,202201,60 - MS_CALIFORNIA>2,MS_STAGEII,,,2.0
2022-01-09,202202,60 - MS_CALIFORNIA>2,MS_STAGEII,,,6.0
2022-01-16,202203,60 - MS_CALIFORNIA>2,MS_STAGEII,,,10.0
2022-01-23,202204,60 - MS_CALIFORNIA>2,MS_STAGEII,,,5.0
2022-01-30,202205,60 - MS_CALIFORNIA>2,MS_STAGEII,,,1.0
2022-02-06,202206,60 - MS_CALIFORNIA>2,MS_STAGEII,,,7.0
2022-02-13,202207,60 - MS_CALIFORNIA>2,MS_STAGEII,,,2.0
2022-02-20,202208,60 - MS_CALIFORNIA>2,MS_STAGEII,,,4.0
