ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-08-29,202135,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,65.0
2021-09-05,202136,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,76.0
2021-09-12,202137,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,82.0
2021-09-19,202138,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,83.0
2021-09-26,202139,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,70.0
2021-10-03,202140,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,68.0
2021-10-10,202141,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,87.0
2021-10-17,202142,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,91.0
2021-10-24,202143,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,74.0
2021-10-31,202144,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,52.0
2021-11-07,202145,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,63.0
2021-11-14,202146,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,81.0
2021-11-21,202147,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,67.0
2021-11-28,202148,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,58.0
2021-12-05,202149,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,63.0
2021-12-12,202150,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,55.0
2021-12-19,202151,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,46.0
2021-12-26,202152,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,59.0
2022-01-02,202201,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,69.0
2022-01-09,202202,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,90.0
2022-01-16,202203,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,80.0
2022-01-23,202204,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,66.0
2022-01-30,202205,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,79.0
2022-02-06,202206,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,55.0
2022-02-13,202207,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,73.0
2022-02-20,202208,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,72.0
2022-02-27,202209,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,93.0
2022-03-06,202210,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,133.0
2022-03-13,202211,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,159.0
2022-03-20,202212,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,222.0
2022-03-27,202213,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,241.0
2022-04-03,202214,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,242.0
2022-04-10,202215,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,195.0
2022-04-17,202216,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,155.0
2022-04-24,202217,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,275.0
2022-05-01,202218,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,291.0
2022-05-08,202219,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,301.0
2022-05-15,202220,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,338.0
2022-05-22,202221,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,305.0
2022-05-29,202222,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,288.0
2022-06-05,202223,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,230.0
2022-06-12,202224,61 - MS_CALIFORNIA<=2,MS_STAGEII,,,210.0
