ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-02-20,202208,62 - MS_TEXAS>2,MS_STAGEII,,,2.0
2022-02-27,202209,62 - MS_TEXAS>2,MS_STAGEII,,,27.0
2022-03-06,202210,62 - MS_TEXAS>2,MS_STAGEII,,,31.0
2022-03-13,202211,62 - MS_TEXAS>2,MS_STAGEII,,,75.0
2022-03-20,202212,62 - MS_TEXAS>2,MS_STAGEII,,,204.0
2022-03-27,202213,62 - MS_TEXAS>2,MS_STAGEII,,,322.0
2022-04-03,202214,62 - MS_TEXAS>2,MS_STAGEII,,,494.0
2022-04-10,202215,62 - MS_TEXAS>2,MS_STAGEII,,,544.0
2022-04-17,202216,62 - MS_TEXAS>2,MS_STAGEII,,,670.0
2022-04-24,202217,62 - MS_TEXAS>2,MS_STAGEII,,,938.0
2022-05-01,202218,62 - MS_TEXAS>2,MS_STAGEII,,,941.0
2022-05-08,202219,62 - MS_TEXAS>2,MS_STAGEII,,,864.0
2022-05-15,202220,62 - MS_TEXAS>2,MS_STAGEII,,,1166.0
2022-05-22,202221,62 - MS_TEXAS>2,MS_STAGEII,,,1154.0
2022-05-29,202222,62 - MS_TEXAS>2,MS_STAGEII,,,1136.0
2022-06-05,202223,62 - MS_TEXAS>2,MS_STAGEII,,,1057.0
2022-06-12,202224,62 - MS_TEXAS>2,MS_STAGEII,,,1065.0
2022-06-19,202225,62 - MS_TEXAS>2,MS_STAGEII,68.77,79.23,1064.0
2022-06-26,202226,62 - MS_TEXAS>2,MS_STAGEII,136.28,114.22,1084.0
2022-07-03,202227,62 - MS_TEXAS>2,MS_STAGEII,134.67,93.84,1042.0
2022-07-10,202228,62 - MS_TEXAS>2,MS_STAGEII,134.73,139.27,948.0
2022-07-17,202229,62 - MS_TEXAS>2,MS_STAGEII,135.8,134.84,912.0
2022-07-24,202230,62 - MS_TEXAS>2,MS_STAGEII,135.65,123.19,962.0
2022-07-31,202231,62 - MS_TEXAS>2,MS_STAGEII,135.69,124.87,1012.0
2022-08-07,202232,62 - MS_TEXAS>2,MS_STAGEII,81.83,74.87,1005.0
2022-08-14,202233,62 - MS_TEXAS>2,MS_STAGEII,49.13,46.31,946.0
2022-08-21,202234,62 - MS_TEXAS>2,MS_STAGEII,48.74,56.92,941.0
2022-08-28,202235,62 - MS_TEXAS>2,MS_STAGEII,49.09,49.07,912.0
2022-09-04,202236,62 - MS_TEXAS>2,MS_STAGEII,49.11,41.18,838.0
2022-09-11,202237,62 - MS_TEXAS>2,MS_STAGEII,66.95,49.63,789.0
2022-09-18,202238,62 - MS_TEXAS>2,MS_STAGEII,84.25,40.48,898.0
2022-09-25,202239,62 - MS_TEXAS>2,MS_STAGEII,84.05,56.54,923.0
2022-10-02,202240,62 - MS_TEXAS>2,MS_STAGEII,56.29,43.19,830.0
2022-10-09,202241,62 - MS_TEXAS>2,MS_STAGEII,54.73,53.35,725.0
2022-10-16,202242,62 - MS_TEXAS>2,MS_STAGEII,108.01,94.29,632.0
2022-10-23,202243,62 - MS_TEXAS>2,MS_STAGEII,129.23,128.87,557.0
2022-10-30,202244,62 - MS_TEXAS>2,MS_STAGEII,129.86,126.92,506.0
2022-11-06,202245,62 - MS_TEXAS>2,MS_STAGEII,29.93,13.38,463.0
