ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-08-29,202135,63 - MS_TEXAS<=2,MS_STAGEII,,,57.0
2021-09-05,202136,63 - MS_TEXAS<=2,MS_STAGEII,,,70.0
2021-09-12,202137,63 - MS_TEXAS<=2,MS_STAGEII,,,60.0
2021-09-19,202138,63 - MS_TEXAS<=2,MS_STAGEII,,,46.0
2021-09-26,202139,63 - MS_TEXAS<=2,MS_STAGEII,,,54.0
2021-10-03,202140,63 - MS_TEXAS<=2,MS_STAGEII,,,38.0
2021-10-10,202141,63 - MS_TEXAS<=2,MS_STAGEII,,,51.0
2021-10-17,202142,63 - MS_TEXAS<=2,MS_STAGEII,,,32.0
2021-10-24,202143,63 - MS_TEXAS<=2,MS_STAGEII,,,51.0
2021-10-31,202144,63 - MS_TEXAS<=2,MS_STAGEII,,,40.0
2021-11-07,202145,63 - MS_TEXAS<=2,MS_STAGEII,,,51.0
2021-11-14,202146,63 - MS_TEXAS<=2,MS_STAGEII,,,51.0
2021-11-21,202147,63 - MS_TEXAS<=2,MS_STAGEII,,,42.0
2021-11-28,202148,63 - MS_TEXAS<=2,MS_STAGEII,,,41.0
2021-12-05,202149,63 - MS_TEXAS<=2,MS_STAGEII,,,43.0
2021-12-12,202150,63 - MS_TEXAS<=2,MS_STAGEII,,,37.0
2021-12-19,202151,63 - MS_TEXAS<=2,MS_STAGEII,,,49.0
2021-12-26,202152,63 - MS_TEXAS<=2,MS_STAGEII,,,59.0
2022-01-02,202201,63 - MS_TEXAS<=2,MS_STAGEII,,,54.0
2022-01-09,202202,63 - MS_TEXAS<=2,MS_STAGEII,,,56.0
2022-01-16,202203,63 - MS_TEXAS<=2,MS_STAGEII,,,45.0
2022-01-23,202204,63 - MS_TEXAS<=2,MS_STAGEII,,,41.0
2022-01-30,202205,63 - MS_TEXAS<=2,MS_STAGEII,,,40.0
2022-02-06,202206,63 - MS_TEXAS<=2,MS_STAGEII,,,52.0
2022-02-13,202207,63 - MS_TEXAS<=2,MS_STAGEII,,,55.0
2022-02-20,202208,63 - MS_TEXAS<=2,MS_STAGEII,,,44.0
2022-02-27,202209,63 - MS_TEXAS<=2,MS_STAGEII,,,82.0
2022-03-06,202210,63 - MS_TEXAS<=2,MS_STAGEII,,,112.0
2022-03-13,202211,63 - MS_TEXAS<=2,MS_STAGEII,,,150.0
2022-03-20,202212,63 - MS_TEXAS<=2,MS_STAGEII,,,190.0
2022-03-27,202213,63 - MS_TEXAS<=2,MS_STAGEII,,,211.0
2022-04-03,202214,63 - MS_TEXAS<=2,MS_STAGEII,,,254.0
2022-04-10,202215,63 - MS_TEXAS<=2,MS_STAGEII,,,263.0
2022-04-17,202216,63 - MS_TEXAS<=2,MS_STAGEII,,,289.0
2022-04-24,202217,63 - MS_TEXAS<=2,MS_STAGEII,,,305.0
2022-05-01,202218,63 - MS_TEXAS<=2,MS_STAGEII,,,315.0
2022-05-08,202219,63 - MS_TEXAS<=2,MS_STAGEII,,,293.0
2022-05-15,202220,63 - MS_TEXAS<=2,MS_STAGEII,,,298.0
2022-05-22,202221,63 - MS_TEXAS<=2,MS_STAGEII,,,283.0
2022-05-29,202222,63 - MS_TEXAS<=2,MS_STAGEII,,,296.0
2022-06-05,202223,63 - MS_TEXAS<=2,MS_STAGEII,,,258.0
2022-06-12,202224,63 - MS_TEXAS<=2,MS_STAGEII,,,222.0
2022-06-19,202225,63 - MS_TEXAS<=2,MS_STAGEII,150.52,172.47,214.0
2022-06-26,202226,63 - MS_TEXAS<=2,MS_STAGEII,297.44,240.87,273.0
2022-07-03,202227,63 - MS_TEXAS<=2,MS_STAGEII,296.35,283.83,267.0
2022-07-10,202228,63 - MS_TEXAS<=2,MS_STAGEII,295.63,310.6,291.0
2022-07-17,202229,63 - MS_TEXAS<=2,MS_STAGEII,296.58,267.62,325.0
2022-07-24,202230,63 - MS_TEXAS<=2,MS_STAGEII,297.19,297.43,328.0
2022-07-31,202231,63 - MS_TEXAS<=2,MS_STAGEII,297.46,267.48,375.0
2022-08-07,202232,63 - MS_TEXAS<=2,MS_STAGEII,181.76,161.11,350.0
2022-08-14,202233,63 - MS_TEXAS<=2,MS_STAGEII,107.46,94.06,331.0
2022-08-21,202234,63 - MS_TEXAS<=2,MS_STAGEII,84.28,107.45,389.0
2022-08-28,202235,63 - MS_TEXAS<=2,MS_STAGEII,84.03,82.71,397.0
2022-09-04,202236,63 - MS_TEXAS<=2,MS_STAGEII,84.22,76.41,353.0
2022-09-11,202237,63 - MS_TEXAS<=2,MS_STAGEII,138.72,80.81,326.0
2022-09-18,202238,63 - MS_TEXAS<=2,MS_STAGEII,189.18,72.72,362.0
2022-09-25,202239,63 - MS_TEXAS<=2,MS_STAGEII,189.07,95.48,375.0
2022-10-02,202240,63 - MS_TEXAS<=2,MS_STAGEII,126.72,80.24,377.0
2022-10-09,202241,63 - MS_TEXAS<=2,MS_STAGEII,123.55,96.77,396.0
2022-10-16,202242,63 - MS_TEXAS<=2,MS_STAGEII,237.4,206.36,320.0
2022-10-23,202243,63 - MS_TEXAS<=2,MS_STAGEII,279.48,311.93,314.0
2022-10-30,202244,63 - MS_TEXAS<=2,MS_STAGEII,280.65,304.23,305.0
2022-11-06,202245,63 - MS_TEXAS<=2,MS_STAGEII,64.84,32.98,292.0
