ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-08-29,202135,64 - MS_WISIL>2,MS_STAGEII,,,2.0
2021-09-05,202136,64 - MS_WISIL>2,MS_STAGEII,,,7.0
2021-09-12,202137,64 - MS_WISIL>2,MS_STAGEII,,,13.0
2021-09-19,202138,64 - MS_WISIL>2,MS_STAGEII,,,13.0
2021-09-26,202139,64 - MS_WISIL>2,MS_STAGEII,,,15.0
2021-10-03,202140,64 - MS_WISIL>2,MS_STAGEII,,,12.0
2021-10-10,202141,64 - MS_WISIL>2,MS_STAGEII,,,15.0
2021-10-17,202142,64 - MS_WISIL>2,MS_STAGEII,,,5.0
2021-10-24,202143,64 - MS_WISIL>2,MS_STAGEII,,,11.0
2021-10-31,202144,64 - MS_WISIL>2,MS_STAGEII,,,14.0
2021-11-07,202145,64 - MS_WISIL>2,MS_STAGEII,,,8.0
2021-11-14,202146,64 - MS_WISIL>2,MS_STAGEII,,,8.0
2021-11-21,202147,64 - MS_WISIL>2,MS_STAGEII,,,12.0
2021-11-28,202148,64 - MS_WISIL>2,MS_STAGEII,,,13.0
2021-12-05,202149,64 - MS_WISIL>2,MS_STAGEII,,,11.0
2021-12-12,202150,64 - MS_WISIL>2,MS_STAGEII,,,8.0
2021-12-19,202151,64 - MS_WISIL>2,MS_STAGEII,,,7.0
2021-12-26,202152,64 - MS_WISIL>2,MS_STAGEII,,,11.0
2022-01-02,202201,64 - MS_WISIL>2,MS_STAGEII,,,7.0
2022-01-09,202202,64 - MS_WISIL>2,MS_STAGEII,,,6.0
2022-01-16,202203,64 - MS_WISIL>2,MS_STAGEII,,,7.0
2022-01-23,202204,64 - MS_WISIL>2,MS_STAGEII,,,8.0
2022-01-30,202205,64 - MS_WISIL>2,MS_STAGEII,,,9.0
2022-02-06,202206,64 - MS_WISIL>2,MS_STAGEII,,,9.0
2022-02-13,202207,64 - MS_WISIL>2,MS_STAGEII,,,5.0
2022-02-20,202208,64 - MS_WISIL>2,MS_STAGEII,,,10.0
2022-02-27,202209,64 - MS_WISIL>2,MS_STAGEII,,,10.0
2022-03-06,202210,64 - MS_WISIL>2,MS_STAGEII,,,25.0
2022-03-13,202211,64 - MS_WISIL>2,MS_STAGEII,,,26.0
2022-03-20,202212,64 - MS_WISIL>2,MS_STAGEII,,,38.0
2022-03-27,202213,64 - MS_WISIL>2,MS_STAGEII,,,72.0
2022-04-03,202214,64 - MS_WISIL>2,MS_STAGEII,,,126.0
2022-04-10,202215,64 - MS_WISIL>2,MS_STAGEII,,,143.0
2022-04-17,202216,64 - MS_WISIL>2,MS_STAGEII,,,137.0
2022-04-24,202217,64 - MS_WISIL>2,MS_STAGEII,,,169.0
2022-05-01,202218,64 - MS_WISIL>2,MS_STAGEII,,,128.0
2022-05-08,202219,64 - MS_WISIL>2,MS_STAGEII,,,116.0
2022-05-15,202220,64 - MS_WISIL>2,MS_STAGEII,,,141.0
2022-05-22,202221,64 - MS_WISIL>2,MS_STAGEII,,,111.0
2022-05-29,202222,64 - MS_WISIL>2,MS_STAGEII,,,178.0
2022-06-05,202223,64 - MS_WISIL>2,MS_STAGEII,,,171.0
2022-06-12,202224,64 - MS_WISIL>2,MS_STAGEII,,,153.0
2022-06-19,202225,64 - MS_WISIL>2,MS_STAGEII,18.48,28.06,249.0
2022-06-26,202226,64 - MS_WISIL>2,MS_STAGEII,36.61,36.79,249.0
2022-07-03,202227,64 - MS_WISIL>2,MS_STAGEII,36.29,19.72,222.0
2022-07-10,202228,64 - MS_WISIL>2,MS_STAGEII,36.56,47.26,187.0
2022-07-17,202229,64 - MS_WISIL>2,MS_STAGEII,36.27,26.16,184.0
2022-07-24,202230,64 - MS_WISIL>2,MS_STAGEII,36.61,42.39,212.0
2022-07-31,202231,64 - MS_WISIL>2,MS_STAGEII,36.44,34.08,210.0
2022-08-07,202232,64 - MS_WISIL>2,MS_STAGEII,22.54,19.14,214.0
2022-08-14,202233,64 - MS_WISIL>2,MS_STAGEII,14.02,14.41,249.0
2022-08-21,202234,64 - MS_WISIL>2,MS_STAGEII,13.98,14.21,174.0
2022-08-28,202235,64 - MS_WISIL>2,MS_STAGEII,14.07,14.89,174.0
2022-09-04,202236,64 - MS_WISIL>2,MS_STAGEII,14.03,8.8,179.0
2022-09-11,202237,64 - MS_WISIL>2,MS_STAGEII,42.79,19.41,136.0
2022-09-18,202238,64 - MS_WISIL>2,MS_STAGEII,70.3,13.82,164.0
2022-09-25,202239,64 - MS_WISIL>2,MS_STAGEII,70.02,14.84,176.0
2022-10-02,202240,64 - MS_WISIL>2,MS_STAGEII,47.03,8.08,177.0
2022-10-09,202241,64 - MS_WISIL>2,MS_STAGEII,45.73,19.15,175.0
2022-10-16,202242,64 - MS_WISIL>2,MS_STAGEII,40.77,13.36,169.0
2022-10-23,202243,64 - MS_WISIL>2,MS_STAGEII,14.07,13.97,174.0
2022-10-30,202244,64 - MS_WISIL>2,MS_STAGEII,13.96,12.78,153.0
2022-11-06,202245,64 - MS_WISIL>2,MS_STAGEII,3.37,1.84,135.0
