ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-08-29,202135,66 - MS_EAST>=500,MS_STAGEII,,,34.0
2021-09-05,202136,66 - MS_EAST>=500,MS_STAGEII,,,23.0
2021-09-12,202137,66 - MS_EAST>=500,MS_STAGEII,,,24.0
2021-09-19,202138,66 - MS_EAST>=500,MS_STAGEII,,,17.0
2021-09-26,202139,66 - MS_EAST>=500,MS_STAGEII,,,41.0
2021-10-03,202140,66 - MS_EAST>=500,MS_STAGEII,,,25.0
2021-10-10,202141,66 - MS_EAST>=500,MS_STAGEII,,,19.0
2021-10-17,202142,66 - MS_EAST>=500,MS_STAGEII,,,32.0
2021-10-24,202143,66 - MS_EAST>=500,MS_STAGEII,,,25.0
2021-10-31,202144,66 - MS_EAST>=500,MS_STAGEII,,,21.0
2021-11-07,202145,66 - MS_EAST>=500,MS_STAGEII,,,27.0
2021-11-14,202146,66 - MS_EAST>=500,MS_STAGEII,,,30.0
2021-11-21,202147,66 - MS_EAST>=500,MS_STAGEII,,,19.0
2021-11-28,202148,66 - MS_EAST>=500,MS_STAGEII,,,28.0
2021-12-05,202149,66 - MS_EAST>=500,MS_STAGEII,,,21.0
2021-12-12,202150,66 - MS_EAST>=500,MS_STAGEII,,,16.0
2021-12-19,202151,66 - MS_EAST>=500,MS_STAGEII,,,21.0
2021-12-26,202152,66 - MS_EAST>=500,MS_STAGEII,,,30.0
2022-01-02,202201,66 - MS_EAST>=500,MS_STAGEII,,,43.0
2022-01-09,202202,66 - MS_EAST>=500,MS_STAGEII,,,29.0
2022-01-16,202203,66 - MS_EAST>=500,MS_STAGEII,,,19.0
2022-01-23,202204,66 - MS_EAST>=500,MS_STAGEII,,,31.0
2022-01-30,202205,66 - MS_EAST>=500,MS_STAGEII,,,25.0
2022-02-06,202206,66 - MS_EAST>=500,MS_STAGEII,,,26.0
2022-02-13,202207,66 - MS_EAST>=500,MS_STAGEII,,,26.0
2022-02-20,202208,66 - MS_EAST>=500,MS_STAGEII,,,31.0
2022-02-27,202209,66 - MS_EAST>=500,MS_STAGEII,,,40.0
2022-03-06,202210,66 - MS_EAST>=500,MS_STAGEII,,,44.0
2022-03-13,202211,66 - MS_EAST>=500,MS_STAGEII,,,80.0
2022-03-20,202212,66 - MS_EAST>=500,MS_STAGEII,,,86.0
2022-03-27,202213,66 - MS_EAST>=500,MS_STAGEII,,,134.0
2022-04-03,202214,66 - MS_EAST>=500,MS_STAGEII,,,178.0
2022-04-10,202215,66 - MS_EAST>=500,MS_STAGEII,,,184.0
2022-04-17,202216,66 - MS_EAST>=500,MS_STAGEII,,,223.0
2022-04-24,202217,66 - MS_EAST>=500,MS_STAGEII,,,243.0
2022-05-01,202218,66 - MS_EAST>=500,MS_STAGEII,,,205.0
2022-05-08,202219,66 - MS_EAST>=500,MS_STAGEII,,,187.0
2022-05-15,202220,66 - MS_EAST>=500,MS_STAGEII,,,230.0
2022-05-22,202221,66 - MS_EAST>=500,MS_STAGEII,,,232.0
2022-05-29,202222,66 - MS_EAST>=500,MS_STAGEII,,,198.0
2022-06-05,202223,66 - MS_EAST>=500,MS_STAGEII,,,203.0
2022-06-12,202224,66 - MS_EAST>=500,MS_STAGEII,,,178.0
2022-06-19,202225,66 - MS_EAST>=500,MS_STAGEII,77.89,89.73,183.0
2022-06-26,202226,66 - MS_EAST>=500,MS_STAGEII,153.88,125.94,192.0
2022-07-03,202227,66 - MS_EAST>=500,MS_STAGEII,153.2,96.99,152.0
2022-07-10,202228,66 - MS_EAST>=500,MS_STAGEII,152.61,150.46,189.0
2022-07-17,202229,66 - MS_EAST>=500,MS_STAGEII,153.79,169.54,163.0
2022-07-24,202230,66 - MS_EAST>=500,MS_STAGEII,153.54,147.16,197.0
2022-07-31,202231,66 - MS_EAST>=500,MS_STAGEII,153.51,139.35,199.0
2022-08-07,202232,66 - MS_EAST>=500,MS_STAGEII,92.92,87.63,209.0
2022-08-14,202233,66 - MS_EAST>=500,MS_STAGEII,55.88,56.65,192.0
2022-08-21,202234,66 - MS_EAST>=500,MS_STAGEII,56.06,64.03,196.0
2022-08-28,202235,66 - MS_EAST>=500,MS_STAGEII,56.08,53.36,176.0
2022-09-04,202236,66 - MS_EAST>=500,MS_STAGEII,56.0,49.72,184.0
2022-09-11,202237,66 - MS_EAST>=500,MS_STAGEII,77.64,53.37,163.0
2022-09-18,202238,66 - MS_EAST>=500,MS_STAGEII,98.11,51.0,193.0
2022-09-25,202239,66 - MS_EAST>=500,MS_STAGEII,98.1,67.39,189.0
2022-10-02,202240,66 - MS_EAST>=500,MS_STAGEII,65.81,51.52,209.0
2022-10-09,202241,66 - MS_EAST>=500,MS_STAGEII,64.0,55.99,175.0
2022-10-16,202242,66 - MS_EAST>=500,MS_STAGEII,120.06,107.73,209.0
2022-10-23,202243,66 - MS_EAST>=500,MS_STAGEII,140.14,149.5,187.0
2022-10-30,202244,66 - MS_EAST>=500,MS_STAGEII,140.31,123.66,160.0
2022-11-06,202245,66 - MS_EAST>=500,MS_STAGEII,32.11,2.82,185.0
