ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-08-29,202135,67 - MS_WEST>=500,MS_STAGEII,,,51.0
2021-09-05,202136,67 - MS_WEST>=500,MS_STAGEII,,,40.0
2021-09-12,202137,67 - MS_WEST>=500,MS_STAGEII,,,43.0
2021-09-19,202138,67 - MS_WEST>=500,MS_STAGEII,,,42.0
2021-09-26,202139,67 - MS_WEST>=500,MS_STAGEII,,,44.0
2021-10-03,202140,67 - MS_WEST>=500,MS_STAGEII,,,32.0
2021-10-10,202141,67 - MS_WEST>=500,MS_STAGEII,,,40.0
2021-10-17,202142,67 - MS_WEST>=500,MS_STAGEII,,,40.0
2021-10-24,202143,67 - MS_WEST>=500,MS_STAGEII,,,37.0
2021-10-31,202144,67 - MS_WEST>=500,MS_STAGEII,,,43.0
2021-11-07,202145,67 - MS_WEST>=500,MS_STAGEII,,,48.0
2021-11-14,202146,67 - MS_WEST>=500,MS_STAGEII,,,45.0
2021-11-21,202147,67 - MS_WEST>=500,MS_STAGEII,,,42.0
2021-11-28,202148,67 - MS_WEST>=500,MS_STAGEII,,,46.0
2021-12-05,202149,67 - MS_WEST>=500,MS_STAGEII,,,30.0
2021-12-12,202150,67 - MS_WEST>=500,MS_STAGEII,,,36.0
2021-12-19,202151,67 - MS_WEST>=500,MS_STAGEII,,,33.0
2021-12-26,202152,67 - MS_WEST>=500,MS_STAGEII,,,41.0
2022-01-02,202201,67 - MS_WEST>=500,MS_STAGEII,,,41.0
2022-01-09,202202,67 - MS_WEST>=500,MS_STAGEII,,,47.0
2022-01-16,202203,67 - MS_WEST>=500,MS_STAGEII,,,51.0
2022-01-23,202204,67 - MS_WEST>=500,MS_STAGEII,,,41.0
2022-01-30,202205,67 - MS_WEST>=500,MS_STAGEII,,,48.0
2022-02-06,202206,67 - MS_WEST>=500,MS_STAGEII,,,36.0
2022-02-13,202207,67 - MS_WEST>=500,MS_STAGEII,,,46.0
2022-02-20,202208,67 - MS_WEST>=500,MS_STAGEII,,,51.0
2022-02-27,202209,67 - MS_WEST>=500,MS_STAGEII,,,72.0
2022-03-06,202210,67 - MS_WEST>=500,MS_STAGEII,,,105.0
2022-03-13,202211,67 - MS_WEST>=500,MS_STAGEII,,,148.0
2022-03-20,202212,67 - MS_WEST>=500,MS_STAGEII,,,173.0
2022-03-27,202213,67 - MS_WEST>=500,MS_STAGEII,,,208.0
2022-04-03,202214,67 - MS_WEST>=500,MS_STAGEII,,,319.0
2022-04-10,202215,67 - MS_WEST>=500,MS_STAGEII,,,287.0
2022-04-17,202216,67 - MS_WEST>=500,MS_STAGEII,,,250.0
2022-04-24,202217,67 - MS_WEST>=500,MS_STAGEII,,,500.0
2022-05-01,202218,67 - MS_WEST>=500,MS_STAGEII,,,474.0
2022-05-08,202219,67 - MS_WEST>=500,MS_STAGEII,,,412.0
2022-05-15,202220,67 - MS_WEST>=500,MS_STAGEII,,,542.0
2022-05-22,202221,67 - MS_WEST>=500,MS_STAGEII,,,562.0
2022-05-29,202222,67 - MS_WEST>=500,MS_STAGEII,,,555.0
2022-06-05,202223,67 - MS_WEST>=500,MS_STAGEII,,,479.0
2022-06-12,202224,67 - MS_WEST>=500,MS_STAGEII,,,371.0
2022-06-19,202225,67 - MS_WEST>=500,MS_STAGEII,111.29,127.65,338.0
2022-06-26,202226,67 - MS_WEST>=500,MS_STAGEII,220.13,174.96,331.0
2022-07-03,202227,67 - MS_WEST>=500,MS_STAGEII,219.25,138.77,346.0
2022-07-10,202228,67 - MS_WEST>=500,MS_STAGEII,218.76,237.73,324.0
2022-07-17,202229,67 - MS_WEST>=500,MS_STAGEII,219.84,214.67,335.0
2022-07-24,202230,67 - MS_WEST>=500,MS_STAGEII,219.6,199.73,340.0
2022-07-31,202231,67 - MS_WEST>=500,MS_STAGEII,220.06,210.46,344.0
2022-08-07,202232,67 - MS_WEST>=500,MS_STAGEII,135.12,103.36,410.0
2022-08-14,202233,67 - MS_WEST>=500,MS_STAGEII,81.84,64.65,411.0
2022-08-21,202234,67 - MS_WEST>=500,MS_STAGEII,69.92,80.85,381.0
2022-08-28,202235,67 - MS_WEST>=500,MS_STAGEII,70.18,61.09,390.0
2022-09-04,202236,67 - MS_WEST>=500,MS_STAGEII,69.94,55.46,357.0
2022-09-11,202237,67 - MS_WEST>=500,MS_STAGEII,109.9,71.29,373.0
2022-09-18,202238,67 - MS_WEST>=500,MS_STAGEII,147.26,35.59,428.0
2022-09-25,202239,67 - MS_WEST>=500,MS_STAGEII,147.22,87.36,457.0
2022-10-02,202240,67 - MS_WEST>=500,MS_STAGEII,98.66,51.82,413.0
2022-10-09,202241,67 - MS_WEST>=500,MS_STAGEII,95.48,68.92,383.0
2022-10-16,202242,67 - MS_WEST>=500,MS_STAGEII,176.72,152.06,337.0
2022-10-23,202243,67 - MS_WEST>=500,MS_STAGEII,202.86,220.99,324.0
2022-10-30,202244,67 - MS_WEST>=500,MS_STAGEII,203.83,178.81,298.0
2022-11-06,202245,67 - MS_WEST>=500,MS_STAGEII,46.38,0.35,304.0
