ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-08-29,202135,68 - MS_AWARENESS,MS_STAGEII,,,129.0
2021-09-05,202136,68 - MS_AWARENESS,MS_STAGEII,,,105.0
2021-09-12,202137,68 - MS_AWARENESS,MS_STAGEII,,,96.0
2021-09-19,202138,68 - MS_AWARENESS,MS_STAGEII,,,108.0
2021-09-26,202139,68 - MS_AWARENESS,MS_STAGEII,,,107.0
2021-10-03,202140,68 - MS_AWARENESS,MS_STAGEII,,,117.0
2021-10-10,202141,68 - MS_AWARENESS,MS_STAGEII,,,110.0
2021-10-17,202142,68 - MS_AWARENESS,MS_STAGEII,,,116.0
2021-10-24,202143,68 - MS_AWARENESS,MS_STAGEII,,,106.0
2021-10-31,202144,68 - MS_AWARENESS,MS_STAGEII,,,102.0
2021-11-07,202145,68 - MS_AWARENESS,MS_STAGEII,,,91.0
2021-11-14,202146,68 - MS_AWARENESS,MS_STAGEII,,,94.0
2021-11-21,202147,68 - MS_AWARENESS,MS_STAGEII,,,78.0
2021-11-28,202148,68 - MS_AWARENESS,MS_STAGEII,,,94.0
2021-12-05,202149,68 - MS_AWARENESS,MS_STAGEII,,,73.0
2021-12-12,202150,68 - MS_AWARENESS,MS_STAGEII,,,95.0
2021-12-19,202151,68 - MS_AWARENESS,MS_STAGEII,,,87.0
2021-12-26,202152,68 - MS_AWARENESS,MS_STAGEII,,,118.0
2022-01-02,202201,68 - MS_AWARENESS,MS_STAGEII,,,91.0
2022-01-09,202202,68 - MS_AWARENESS,MS_STAGEII,,,105.0
2022-01-16,202203,68 - MS_AWARENESS,MS_STAGEII,,,93.0
2022-01-23,202204,68 - MS_AWARENESS,MS_STAGEII,,,93.0
2022-01-30,202205,68 - MS_AWARENESS,MS_STAGEII,,,85.0
2022-02-06,202206,68 - MS_AWARENESS,MS_STAGEII,,,78.0
2022-02-13,202207,68 - MS_AWARENESS,MS_STAGEII,,,95.0
2022-02-20,202208,68 - MS_AWARENESS,MS_STAGEII,,,71.0
2022-02-27,202209,68 - MS_AWARENESS,MS_STAGEII,,,111.0
2022-03-06,202210,68 - MS_AWARENESS,MS_STAGEII,,,117.0
2022-03-13,202211,68 - MS_AWARENESS,MS_STAGEII,,,158.0
2022-03-20,202212,68 - MS_AWARENESS,MS_STAGEII,,,165.0
2022-03-27,202213,68 - MS_AWARENESS,MS_STAGEII,,,212.0
2022-04-03,202214,68 - MS_AWARENESS,MS_STAGEII,,,244.0
2022-04-10,202215,68 - MS_AWARENESS,MS_STAGEII,,,198.0
2022-04-17,202216,68 - MS_AWARENESS,MS_STAGEII,,,197.0
2022-04-24,202217,68 - MS_AWARENESS,MS_STAGEII,,,218.0
2022-05-01,202218,68 - MS_AWARENESS,MS_STAGEII,,,249.0
2022-05-08,202219,68 - MS_AWARENESS,MS_STAGEII,,,226.0
2022-05-15,202220,68 - MS_AWARENESS,MS_STAGEII,,,261.0
2022-05-22,202221,68 - MS_AWARENESS,MS_STAGEII,,21.4,215.0
2022-05-29,202222,68 - MS_AWARENESS,MS_STAGEII,,417.54,228.0
2022-06-05,202223,68 - MS_AWARENESS,MS_STAGEII,,783.9300000000001,235.0
2022-06-12,202224,68 - MS_AWARENESS,MS_STAGEII,,702.14,205.0
2022-06-19,202225,68 - MS_AWARENESS,MS_STAGEII,35.64,622.17,191.0
2022-06-26,202226,68 - MS_AWARENESS,MS_STAGEII,69.53,746.3,220.0
2022-07-03,202227,68 - MS_AWARENESS,MS_STAGEII,70.0,859.01,208.0
2022-07-10,202228,68 - MS_AWARENESS,MS_STAGEII,69.95,784.48,216.0
2022-07-17,202229,68 - MS_AWARENESS,MS_STAGEII,69.99,726.8299999999999,241.0
2022-07-24,202230,68 - MS_AWARENESS,MS_STAGEII,69.9,766.1800000000001,267.0
2022-07-31,202231,68 - MS_AWARENESS,MS_STAGEII,69.97,735.15,273.0
2022-08-07,202232,68 - MS_AWARENESS,MS_STAGEII,24.85,380.62,280.0
2022-08-14,202233,68 - MS_AWARENESS,MS_STAGEII,,255.86,294.0
2022-08-21,202234,68 - MS_AWARENESS,MS_STAGEII,,253.2,316.0
2022-08-28,202235,68 - MS_AWARENESS,MS_STAGEII,,237.22,315.0
2022-09-04,202236,68 - MS_AWARENESS,MS_STAGEII,,233.68,350.0
2022-09-11,202237,68 - MS_AWARENESS,MS_STAGEII,,260.53999999999996,325.0
2022-09-18,202238,68 - MS_AWARENESS,MS_STAGEII,,257.37,320.0
2022-09-25,202239,68 - MS_AWARENESS,MS_STAGEII,,220.46,347.0
2022-10-02,202240,68 - MS_AWARENESS,MS_STAGEII,,268.91,332.0
2022-10-09,202241,68 - MS_AWARENESS,MS_STAGEII,,243.91,330.0
2022-10-16,202242,68 - MS_AWARENESS,MS_STAGEII,,110.32,318.0
2022-10-23,202243,68 - MS_AWARENESS,MS_STAGEII,,,339.0
2022-10-30,202244,68 - MS_AWARENESS,MS_STAGEII,,,267.0
2022-11-06,202245,68 - MS_AWARENESS,MS_STAGEII,,,270.0
