ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-01-02,202201,81 - COL_TEXAS,COL_STAGEI,,,294.0
2022-01-09,202202,81 - COL_TEXAS,COL_STAGEI,,,316.0
2022-01-16,202203,81 - COL_TEXAS,COL_STAGEI,,,285.0
2022-01-23,202204,81 - COL_TEXAS,COL_STAGEI,,,286.0
2022-01-30,202205,81 - COL_TEXAS,COL_STAGEI,,,309.0
2022-02-06,202206,81 - COL_TEXAS,COL_STAGEI,,,321.0
2022-02-13,202207,81 - COL_TEXAS,COL_STAGEI,,,333.0
2022-02-20,202208,81 - COL_TEXAS,COL_STAGEI,,,317.0
2022-02-27,202209,81 - COL_TEXAS,COL_STAGEI,,,373.0
2022-03-06,202210,81 - COL_TEXAS,COL_STAGEI,,,390.0
2022-03-13,202211,81 - COL_TEXAS,COL_STAGEI,,,408.0
2022-03-20,202212,81 - COL_TEXAS,COL_STAGEI,,,429.0
2022-03-27,202213,81 - COL_TEXAS,COL_STAGEI,,,446.0
2022-04-03,202214,81 - COL_TEXAS,COL_STAGEI,,,383.0
2022-04-10,202215,81 - COL_TEXAS,COL_STAGEI,,,351.0
2022-04-17,202216,81 - COL_TEXAS,COL_STAGEI,,,324.0
2022-04-24,202217,81 - COL_TEXAS,COL_STAGEI,,,297.0
2022-05-01,202218,81 - COL_TEXAS,COL_STAGEI,,,306.0
2022-05-08,202219,81 - COL_TEXAS,COL_STAGEI,,,280.0
2022-05-15,202220,81 - COL_TEXAS,COL_STAGEI,,,279.0
2022-05-22,202221,81 - COL_TEXAS,COL_STAGEI,,,285.0
2022-05-29,202222,81 - COL_TEXAS,COL_STAGEI,,,322.0
2022-06-05,202223,81 - COL_TEXAS,COL_STAGEI,,,450.0
2022-06-12,202224,81 - COL_TEXAS,COL_STAGEI,,,327.0
2022-06-19,202225,81 - COL_TEXAS,COL_STAGEI,,,320.0
2022-06-26,202226,81 - COL_TEXAS,COL_STAGEI,,,353.0
2022-07-03,202227,81 - COL_TEXAS,COL_STAGEI,,,333.0
2022-07-10,202228,81 - COL_TEXAS,COL_STAGEI,,,296.0
2022-07-17,202229,81 - COL_TEXAS,COL_STAGEI,,,257.0
2022-07-24,202230,81 - COL_TEXAS,COL_STAGEI,,,305.0
2022-07-31,202231,81 - COL_TEXAS,COL_STAGEI,,,282.0
2022-08-07,202232,81 - COL_TEXAS,COL_STAGEI,,,308.0
2022-08-14,202233,81 - COL_TEXAS,COL_STAGEI,,,297.0
2022-08-21,202234,81 - COL_TEXAS,COL_STAGEI,,,262.0
2022-08-28,202235,81 - COL_TEXAS,COL_STAGEI,,,248.0
2022-09-04,202236,81 - COL_TEXAS,COL_STAGEI,,,249.0
2022-09-11,202237,81 - COL_TEXAS,COL_STAGEI,,,267.0
2022-09-18,202238,81 - COL_TEXAS,COL_STAGEI,,,283.0
2022-09-25,202239,81 - COL_TEXAS,COL_STAGEI,42.61,50.79,265.0
2022-10-02,202240,81 - COL_TEXAS,COL_STAGEI,80.27,96.17,291.0
2022-10-09,202241,81 - COL_TEXAS,COL_STAGEI,302.09,304.01,281.0
2022-10-16,202242,81 - COL_TEXAS,COL_STAGEI,300.93,302.17,270.0
2022-10-23,202243,81 - COL_TEXAS,COL_STAGEI,300.69,302.76,402.0
2022-10-30,202244,81 - COL_TEXAS,COL_STAGEI,334.42,348.84,223.0
2022-11-06,202245,81 - COL_TEXAS,COL_STAGEI,450.34,449.94,253.0
2022-11-13,202246,81 - COL_TEXAS,COL_STAGEI,441.61,443.91,509.0
2022-11-20,202247,81 - COL_TEXAS,COL_STAGEI,0.0,,469.0
