ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-01-02,202201,83 - COL_ILLI,COL_STAGEI,,,29.0
2022-01-09,202202,83 - COL_ILLI,COL_STAGEI,,,48.0
2022-01-16,202203,83 - COL_ILLI,COL_STAGEI,,,88.0
2022-01-23,202204,83 - COL_ILLI,COL_STAGEI,,,61.0
2022-01-30,202205,83 - COL_ILLI,COL_STAGEI,,,65.0
2022-02-06,202206,83 - COL_ILLI,COL_STAGEI,,,49.0
2022-02-13,202207,83 - COL_ILLI,COL_STAGEI,,,45.0
2022-02-20,202208,83 - COL_ILLI,COL_STAGEI,,,59.0
2022-02-27,202209,83 - COL_ILLI,COL_STAGEI,,,75.0
2022-03-06,202210,83 - COL_ILLI,COL_STAGEI,,,94.0
2022-03-13,202211,83 - COL_ILLI,COL_STAGEI,,,92.0
2022-03-20,202212,83 - COL_ILLI,COL_STAGEI,,,59.0
2022-03-27,202213,83 - COL_ILLI,COL_STAGEI,,,74.0
2022-04-03,202214,83 - COL_ILLI,COL_STAGEI,,,55.0
2022-04-10,202215,83 - COL_ILLI,COL_STAGEI,,,73.0
2022-04-17,202216,83 - COL_ILLI,COL_STAGEI,,,56.0
2022-04-24,202217,83 - COL_ILLI,COL_STAGEI,,,47.0
2022-05-01,202218,83 - COL_ILLI,COL_STAGEI,,,67.0
2022-05-08,202219,83 - COL_ILLI,COL_STAGEI,,,60.0
2022-05-15,202220,83 - COL_ILLI,COL_STAGEI,,,38.0
2022-05-22,202221,83 - COL_ILLI,COL_STAGEI,,,47.0
2022-05-29,202222,83 - COL_ILLI,COL_STAGEI,,,49.0
2022-06-05,202223,83 - COL_ILLI,COL_STAGEI,,,52.0
2022-06-12,202224,83 - COL_ILLI,COL_STAGEI,,,51.0
2022-06-19,202225,83 - COL_ILLI,COL_STAGEI,,,42.0
2022-06-26,202226,83 - COL_ILLI,COL_STAGEI,,,50.0
2022-07-03,202227,83 - COL_ILLI,COL_STAGEI,,,62.0
2022-07-10,202228,83 - COL_ILLI,COL_STAGEI,,,53.0
2022-07-17,202229,83 - COL_ILLI,COL_STAGEI,,,55.0
2022-07-24,202230,83 - COL_ILLI,COL_STAGEI,,,42.0
2022-07-31,202231,83 - COL_ILLI,COL_STAGEI,,,47.0
2022-08-07,202232,83 - COL_ILLI,COL_STAGEI,,,72.0
2022-08-14,202233,83 - COL_ILLI,COL_STAGEI,,,43.0
2022-08-21,202234,83 - COL_ILLI,COL_STAGEI,,,37.0
2022-08-28,202235,83 - COL_ILLI,COL_STAGEI,,,54.0
2022-09-04,202236,83 - COL_ILLI,COL_STAGEI,,,49.0
2022-09-11,202237,83 - COL_ILLI,COL_STAGEI,,,39.0
2022-09-18,202238,83 - COL_ILLI,COL_STAGEI,,,36.0
2022-09-25,202239,83 - COL_ILLI,COL_STAGEI,42.53,52.88,39.0
2022-10-02,202240,83 - COL_ILLI,COL_STAGEI,68.91,67.35,45.0
2022-10-09,202241,83 - COL_ILLI,COL_STAGEI,56.03,60.89000000000001,54.0
2022-10-16,202242,83 - COL_ILLI,COL_STAGEI,56.12,57.20000000000001,39.0
2022-10-23,202243,83 - COL_ILLI,COL_STAGEI,55.9,55.20000000000001,64.0
2022-10-30,202244,83 - COL_ILLI,COL_STAGEI,31.45,40.44,49.0
2022-11-06,202245,83 - COL_ILLI,COL_STAGEI,,,35.0
2022-11-13,202246,83 - COL_ILLI,COL_STAGEI,,,108.0
2022-11-20,202247,83 - COL_ILLI,COL_STAGEI,,,97.0
