ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-01-02,202201,84 - COL_ARZ,COL_STAGEI,,,48.0
2022-01-09,202202,84 - COL_ARZ,COL_STAGEI,,,45.0
2022-01-16,202203,84 - COL_ARZ,COL_STAGEI,,,36.0
2022-01-23,202204,84 - COL_ARZ,COL_STAGEI,,,54.0
2022-01-30,202205,84 - COL_ARZ,COL_STAGEI,,,65.0
2022-02-06,202206,84 - COL_ARZ,COL_STAGEI,,,55.0
2022-02-13,202207,84 - COL_ARZ,COL_STAGEI,,,43.0
2022-02-20,202208,84 - COL_ARZ,COL_STAGEI,,,54.0
2022-02-27,202209,84 - COL_ARZ,COL_STAGEI,,,58.0
2022-03-06,202210,84 - COL_ARZ,COL_STAGEI,,,59.0
2022-03-13,202211,84 - COL_ARZ,COL_STAGEI,,,69.0
2022-03-20,202212,84 - COL_ARZ,COL_STAGEI,,,73.0
2022-03-27,202213,84 - COL_ARZ,COL_STAGEI,,,63.0
2022-04-03,202214,84 - COL_ARZ,COL_STAGEI,,,51.0
2022-04-10,202215,84 - COL_ARZ,COL_STAGEI,,,68.0
2022-04-17,202216,84 - COL_ARZ,COL_STAGEI,,,64.0
2022-04-24,202217,84 - COL_ARZ,COL_STAGEI,,,47.0
2022-05-01,202218,84 - COL_ARZ,COL_STAGEI,,,60.0
2022-05-08,202219,84 - COL_ARZ,COL_STAGEI,,,49.0
2022-05-15,202220,84 - COL_ARZ,COL_STAGEI,,,45.0
2022-05-22,202221,84 - COL_ARZ,COL_STAGEI,,,51.0
2022-05-29,202222,84 - COL_ARZ,COL_STAGEI,,,41.0
2022-06-05,202223,84 - COL_ARZ,COL_STAGEI,,,56.0
2022-06-12,202224,84 - COL_ARZ,COL_STAGEI,,,45.0
2022-06-19,202225,84 - COL_ARZ,COL_STAGEI,,,78.0
2022-06-26,202226,84 - COL_ARZ,COL_STAGEI,,,58.0
2022-07-03,202227,84 - COL_ARZ,COL_STAGEI,,,50.0
2022-07-10,202228,84 - COL_ARZ,COL_STAGEI,,,51.0
2022-07-17,202229,84 - COL_ARZ,COL_STAGEI,,,44.0
2022-07-24,202230,84 - COL_ARZ,COL_STAGEI,,,36.0
2022-07-31,202231,84 - COL_ARZ,COL_STAGEI,,,34.0
2022-08-07,202232,84 - COL_ARZ,COL_STAGEI,,,44.0
2022-08-14,202233,84 - COL_ARZ,COL_STAGEI,,,49.0
2022-08-21,202234,84 - COL_ARZ,COL_STAGEI,,,48.0
2022-08-28,202235,84 - COL_ARZ,COL_STAGEI,,,48.0
2022-09-04,202236,84 - COL_ARZ,COL_STAGEI,,,60.0
2022-09-11,202237,84 - COL_ARZ,COL_STAGEI,,,43.0
2022-09-18,202238,84 - COL_ARZ,COL_STAGEI,,,33.0
2022-09-25,202239,84 - COL_ARZ,COL_STAGEI,42.19,50.87,42.0
2022-10-02,202240,84 - COL_ARZ,COL_STAGEI,69.34,69.88,33.0
2022-10-09,202241,84 - COL_ARZ,COL_STAGEI,48.95000000000001,51.35999999999999,48.0
2022-10-16,202242,84 - COL_ARZ,COL_STAGEI,48.830000000000005,48.99,32.0
2022-10-23,202243,84 - COL_ARZ,COL_STAGEI,49.02,49.34,54.0
2022-10-30,202244,84 - COL_ARZ,COL_STAGEI,36.36,39.4,43.0
2022-11-06,202245,84 - COL_ARZ,COL_STAGEI,,,32.0
2022-11-13,202246,84 - COL_ARZ,COL_STAGEI,,,71.0
2022-11-20,202247,84 - COL_ARZ,COL_STAGEI,,,108.0
