ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-08-29,202135,88 - MS_GLOBAL,MS_STAGEIII,,,26.0
2021-09-05,202136,88 - MS_GLOBAL,MS_STAGEIII,,,18.0
2021-09-12,202137,88 - MS_GLOBAL,MS_STAGEIII,,,27.0
2021-09-19,202138,88 - MS_GLOBAL,MS_STAGEIII,,,20.0
2021-09-26,202139,88 - MS_GLOBAL,MS_STAGEIII,,,29.0
2021-10-03,202140,88 - MS_GLOBAL,MS_STAGEIII,,,14.0
2021-10-10,202141,88 - MS_GLOBAL,MS_STAGEIII,,,30.0
2021-10-17,202142,88 - MS_GLOBAL,MS_STAGEIII,,,23.0
2021-10-24,202143,88 - MS_GLOBAL,MS_STAGEIII,,,25.0
2021-10-31,202144,88 - MS_GLOBAL,MS_STAGEIII,,,28.0
2021-11-07,202145,88 - MS_GLOBAL,MS_STAGEIII,,,21.0
2021-11-14,202146,88 - MS_GLOBAL,MS_STAGEIII,,,26.0
2021-11-21,202147,88 - MS_GLOBAL,MS_STAGEIII,,,18.0
2021-11-28,202148,88 - MS_GLOBAL,MS_STAGEIII,,,15.0
2021-12-05,202149,88 - MS_GLOBAL,MS_STAGEIII,,,19.0
2021-12-12,202150,88 - MS_GLOBAL,MS_STAGEIII,,,24.0
2021-12-19,202151,88 - MS_GLOBAL,MS_STAGEIII,,,12.0
2021-12-26,202152,88 - MS_GLOBAL,MS_STAGEIII,,,26.0
2022-01-02,202201,88 - MS_GLOBAL,MS_STAGEIII,,,27.0
2022-01-09,202202,88 - MS_GLOBAL,MS_STAGEIII,,,32.0
2022-01-16,202203,88 - MS_GLOBAL,MS_STAGEIII,,,26.0
2022-01-23,202204,88 - MS_GLOBAL,MS_STAGEIII,,,17.0
2022-01-30,202205,88 - MS_GLOBAL,MS_STAGEIII,,,26.0
2022-02-06,202206,88 - MS_GLOBAL,MS_STAGEIII,,,23.0
2022-02-13,202207,88 - MS_GLOBAL,MS_STAGEIII,,,31.0
2022-02-20,202208,88 - MS_GLOBAL,MS_STAGEIII,,,40.0
2022-02-27,202209,88 - MS_GLOBAL,MS_STAGEIII,,,43.0
2022-03-06,202210,88 - MS_GLOBAL,MS_STAGEIII,,,56.0
2022-03-13,202211,88 - MS_GLOBAL,MS_STAGEIII,,,75.0
2022-03-20,202212,88 - MS_GLOBAL,MS_STAGEIII,,,73.0
2022-03-27,202213,88 - MS_GLOBAL,MS_STAGEIII,,,115.0
2022-04-03,202214,88 - MS_GLOBAL,MS_STAGEIII,,,218.0
2022-04-10,202215,88 - MS_GLOBAL,MS_STAGEIII,,,223.0
2022-04-17,202216,88 - MS_GLOBAL,MS_STAGEIII,,,204.0
2022-04-24,202217,88 - MS_GLOBAL,MS_STAGEIII,,,402.0
2022-05-01,202218,88 - MS_GLOBAL,MS_STAGEIII,,,364.0
2022-05-08,202219,88 - MS_GLOBAL,MS_STAGEIII,,,320.0
2022-05-15,202220,88 - MS_GLOBAL,MS_STAGEIII,,,400.0
2022-11-06,202245,88 - MS_GLOBAL,MS_STAGEIII,62.22,86.25,314.0
2022-11-13,202246,88 - MS_GLOBAL,MS_STAGEIII,151.96,96.05,257.0
2022-11-20,202247,88 - MS_GLOBAL,MS_STAGEIII,175.38,113.45,227.0
2022-11-27,202248,88 - MS_GLOBAL,MS_STAGEIII,174.94,232.74,168.0
2022-12-04,202249,88 - MS_GLOBAL,MS_STAGEIII,179.62,244.01,153.0
2022-12-11,202250,88 - MS_GLOBAL,MS_STAGEIII,189.43,206.09,157.0
2022-12-18,202251,88 - MS_GLOBAL,MS_STAGEIII,189.11,189.46,167.0
2022-12-25,202252,88 - MS_GLOBAL,MS_STAGEIII,188.86,192.4,176.0
2023-01-01,202301,88 - MS_GLOBAL,MS_STAGEIII,159.92,126.79,185.0
