ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-01-02,202201,90 - CICLO_ILLI,CICLO_STAGEI,,,16.0
2022-01-09,202202,90 - CICLO_ILLI,CICLO_STAGEI,,,14.0
2022-01-16,202203,90 - CICLO_ILLI,CICLO_STAGEI,,,7.0
2022-01-23,202204,90 - CICLO_ILLI,CICLO_STAGEI,,,6.0
2022-01-30,202205,90 - CICLO_ILLI,CICLO_STAGEI,,,3.0
2022-02-06,202206,90 - CICLO_ILLI,CICLO_STAGEI,,,5.0
2022-02-13,202207,90 - CICLO_ILLI,CICLO_STAGEI,,,3.0
2022-02-20,202208,90 - CICLO_ILLI,CICLO_STAGEI,,,2.0
2022-02-27,202209,90 - CICLO_ILLI,CICLO_STAGEI,,,27.0
2022-03-06,202210,90 - CICLO_ILLI,CICLO_STAGEI,,,26.0
2022-03-13,202211,90 - CICLO_ILLI,CICLO_STAGEI,,,29.0
2022-03-20,202212,90 - CICLO_ILLI,CICLO_STAGEI,,,28.0
2022-03-27,202213,90 - CICLO_ILLI,CICLO_STAGEI,,,35.0
2022-04-03,202214,90 - CICLO_ILLI,CICLO_STAGEI,,,19.0
2022-04-10,202215,90 - CICLO_ILLI,CICLO_STAGEI,,,30.0
2022-04-17,202216,90 - CICLO_ILLI,CICLO_STAGEI,,,32.0
2022-04-24,202217,90 - CICLO_ILLI,CICLO_STAGEI,,,23.0
2022-05-01,202218,90 - CICLO_ILLI,CICLO_STAGEI,,,31.0
2022-05-08,202219,90 - CICLO_ILLI,CICLO_STAGEI,,,29.0
2022-05-15,202220,90 - CICLO_ILLI,CICLO_STAGEI,,,32.0
2022-05-22,202221,90 - CICLO_ILLI,CICLO_STAGEI,,,29.0
2022-05-29,202222,90 - CICLO_ILLI,CICLO_STAGEI,,,37.0
2022-06-05,202223,90 - CICLO_ILLI,CICLO_STAGEI,,,31.0
2022-06-12,202224,90 - CICLO_ILLI,CICLO_STAGEI,,,17.0
2022-06-19,202225,90 - CICLO_ILLI,CICLO_STAGEI,,,26.0
2022-06-26,202226,90 - CICLO_ILLI,CICLO_STAGEI,,,17.0
2022-07-03,202227,90 - CICLO_ILLI,CICLO_STAGEI,,,29.0
2022-07-10,202228,90 - CICLO_ILLI,CICLO_STAGEI,,,19.0
2022-07-17,202229,90 - CICLO_ILLI,CICLO_STAGEI,,,19.0
2022-07-24,202230,90 - CICLO_ILLI,CICLO_STAGEI,,,25.0
2022-07-31,202231,90 - CICLO_ILLI,CICLO_STAGEI,,,23.0
2022-08-07,202232,90 - CICLO_ILLI,CICLO_STAGEI,,,24.0
2022-08-14,202233,90 - CICLO_ILLI,CICLO_STAGEI,,,20.0
2022-08-21,202234,90 - CICLO_ILLI,CICLO_STAGEI,,,28.0
2022-08-28,202235,90 - CICLO_ILLI,CICLO_STAGEI,,,30.0
2022-09-04,202236,90 - CICLO_ILLI,CICLO_STAGEI,,,33.0
2022-09-11,202237,90 - CICLO_ILLI,CICLO_STAGEI,,,22.0
2022-09-18,202238,90 - CICLO_ILLI,CICLO_STAGEI,,,16.0
2022-09-25,202239,90 - CICLO_ILLI,CICLO_STAGEI,,,33.0
2022-10-02,202240,90 - CICLO_ILLI,CICLO_STAGEI,,,31.0
2022-10-09,202241,90 - CICLO_ILLI,CICLO_STAGEI,,,52.0
2022-10-16,202242,90 - CICLO_ILLI,CICLO_STAGEI,,,42.0
2022-10-23,202243,90 - CICLO_ILLI,CICLO_STAGEI,,,44.0
2022-10-30,202244,90 - CICLO_ILLI,CICLO_STAGEI,,,32.0
2022-11-06,202245,90 - CICLO_ILLI,CICLO_STAGEI,,,43.0
2022-11-13,202246,90 - CICLO_ILLI,CICLO_STAGEI,,,45.0
2022-11-20,202247,90 - CICLO_ILLI,CICLO_STAGEI,,,54.0
2022-11-27,202248,90 - CICLO_ILLI,CICLO_STAGEI,,,32.0
2022-12-04,202249,90 - CICLO_ILLI,CICLO_STAGEI,,,31.0
2022-12-11,202250,90 - CICLO_ILLI,CICLO_STAGEI,125.62,124.42,22.0
2022-12-18,202251,90 - CICLO_ILLI,CICLO_STAGEI,223.61,254.21,19.0
2022-12-25,202252,90 - CICLO_ILLI,CICLO_STAGEI,237.74,214.06,17.0
2023-01-01,202301,90 - CICLO_ILLI,CICLO_STAGEI,237.58,224.72,4.0
2023-01-08,202302,90 - CICLO_ILLI,CICLO_STAGEI,237.5,212.27,24.0
2023-01-15,202303,90 - CICLO_ILLI,CICLO_STAGEI,204.57,217.09,42.0
2023-01-22,202304,90 - CICLO_ILLI,CICLO_STAGEI,202.39,213.06,32.0
2023-01-29,202305,90 - CICLO_ILLI,CICLO_STAGEI,202.48,205.25,42.0
2023-02-05,202306,90 - CICLO_ILLI,CICLO_STAGEI,221.92,211.02,54.0
2023-02-12,202307,90 - CICLO_ILLI,CICLO_STAGEI,229.57,231.0,34.0
2023-02-19,202308,90 - CICLO_ILLI,CICLO_STAGEI,230.85,86.79,34.0
2023-02-26,202309,90 - CICLO_ILLI,CICLO_STAGEI,229.96,,33.0
2023-03-05,202310,90 - CICLO_ILLI,CICLO_STAGEI,138.29,,26.0
2023-03-12,202311,90 - CICLO_ILLI,CICLO_STAGEI,118.56,,43.0
2023-03-19,202312,90 - CICLO_ILLI,CICLO_STAGEI,182.18,,37.0
2023-03-26,202313,90 - CICLO_ILLI,CICLO_STAGEI,188.21,,31.0
2023-04-02,202314,90 - CICLO_ILLI,CICLO_STAGEI,187.25,,28.0
2023-04-09,202315,90 - CICLO_ILLI,CICLO_STAGEI,169.82,,41.0
2023-04-16,202316,90 - CICLO_ILLI,CICLO_STAGEI,167.72,,35.0
2023-04-23,202317,90 - CICLO_ILLI,CICLO_STAGEI,165.88,,25.0
