ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-01-02,202201,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,33.0
2022-01-09,202202,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,10.0
2022-01-16,202203,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,8.0
2022-01-23,202204,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,2.0
2022-01-30,202205,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,4.0
2022-02-06,202206,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,7.0
2022-02-13,202207,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,1.0
2022-02-20,202208,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,3.0
2022-02-27,202209,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,37.0
2022-03-06,202210,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,36.0
2022-03-13,202211,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,41.0
2022-03-20,202212,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,36.0
2022-03-27,202213,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,37.0
2022-04-03,202214,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,46.0
2022-04-10,202215,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,40.0
2022-04-17,202216,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,47.0
2022-04-24,202217,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,46.0
2022-05-01,202218,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,51.0
2022-05-08,202219,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,33.0
2022-05-15,202220,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,49.0
2022-05-22,202221,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,48.0
2022-05-29,202222,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,45.0
2022-06-05,202223,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,28.0
2022-06-12,202224,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,49.0
2022-06-19,202225,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,56.0
2022-06-26,202226,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,35.0
2022-07-03,202227,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,48.0
2022-07-10,202228,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,42.0
2022-07-17,202229,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,39.0
2022-07-24,202230,91 - CICLO_CALIFORNIA,CICLO_STAGEI,,,39.0
