ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-01-02,202201,92 - CICLO_TEXAS,CICLO_STAGEI,,,11.0
2022-01-09,202202,92 - CICLO_TEXAS,CICLO_STAGEI,,,7.0
2022-01-16,202203,92 - CICLO_TEXAS,CICLO_STAGEI,,,1.0
2022-01-23,202204,92 - CICLO_TEXAS,CICLO_STAGEI,,,4.0
2022-01-30,202205,92 - CICLO_TEXAS,CICLO_STAGEI,,,5.0
2022-02-06,202206,92 - CICLO_TEXAS,CICLO_STAGEI,,,3.0
2022-02-13,202207,92 - CICLO_TEXAS,CICLO_STAGEI,,,3.0
2022-02-20,202208,92 - CICLO_TEXAS,CICLO_STAGEI,,,2.0
2022-02-27,202209,92 - CICLO_TEXAS,CICLO_STAGEI,,,50.0
2022-03-06,202210,92 - CICLO_TEXAS,CICLO_STAGEI,,,47.0
2022-03-13,202211,92 - CICLO_TEXAS,CICLO_STAGEI,,,46.0
2022-03-20,202212,92 - CICLO_TEXAS,CICLO_STAGEI,,,58.0
2022-03-27,202213,92 - CICLO_TEXAS,CICLO_STAGEI,,,61.0
2022-04-03,202214,92 - CICLO_TEXAS,CICLO_STAGEI,,,60.0
2022-04-10,202215,92 - CICLO_TEXAS,CICLO_STAGEI,,,62.0
2022-04-17,202216,92 - CICLO_TEXAS,CICLO_STAGEI,,,53.0
2022-04-24,202217,92 - CICLO_TEXAS,CICLO_STAGEI,,,45.0
2022-05-01,202218,92 - CICLO_TEXAS,CICLO_STAGEI,,,37.0
2022-05-08,202219,92 - CICLO_TEXAS,CICLO_STAGEI,,,44.0
2022-05-15,202220,92 - CICLO_TEXAS,CICLO_STAGEI,,,34.0
2022-05-22,202221,92 - CICLO_TEXAS,CICLO_STAGEI,,,39.0
2022-05-29,202222,92 - CICLO_TEXAS,CICLO_STAGEI,,,38.0
2022-06-05,202223,92 - CICLO_TEXAS,CICLO_STAGEI,,,34.0
2022-06-12,202224,92 - CICLO_TEXAS,CICLO_STAGEI,,,39.0
2022-06-19,202225,92 - CICLO_TEXAS,CICLO_STAGEI,,,40.0
2022-06-26,202226,92 - CICLO_TEXAS,CICLO_STAGEI,,,35.0
2022-07-03,202227,92 - CICLO_TEXAS,CICLO_STAGEI,,,52.0
2022-07-10,202228,92 - CICLO_TEXAS,CICLO_STAGEI,,,39.0
2022-07-17,202229,92 - CICLO_TEXAS,CICLO_STAGEI,,,39.0
2022-07-24,202230,92 - CICLO_TEXAS,CICLO_STAGEI,,,40.0
2022-07-31,202231,92 - CICLO_TEXAS,CICLO_STAGEI,,,29.0
2022-08-07,202232,92 - CICLO_TEXAS,CICLO_STAGEI,,,33.0
2022-08-14,202233,92 - CICLO_TEXAS,CICLO_STAGEI,,,32.0
2022-08-21,202234,92 - CICLO_TEXAS,CICLO_STAGEI,,,31.0
2022-08-28,202235,92 - CICLO_TEXAS,CICLO_STAGEI,,,40.0
2022-09-04,202236,92 - CICLO_TEXAS,CICLO_STAGEI,,,37.0
2022-09-11,202237,92 - CICLO_TEXAS,CICLO_STAGEI,,,37.0
2022-09-18,202238,92 - CICLO_TEXAS,CICLO_STAGEI,,,41.0
2022-09-25,202239,92 - CICLO_TEXAS,CICLO_STAGEI,,,48.0
2022-10-02,202240,92 - CICLO_TEXAS,CICLO_STAGEI,,,45.0
2022-10-09,202241,92 - CICLO_TEXAS,CICLO_STAGEI,,,40.0
2022-10-16,202242,92 - CICLO_TEXAS,CICLO_STAGEI,,,48.0
2022-10-23,202243,92 - CICLO_TEXAS,CICLO_STAGEI,,,55.0
2022-10-30,202244,92 - CICLO_TEXAS,CICLO_STAGEI,,,47.0
2022-11-06,202245,92 - CICLO_TEXAS,CICLO_STAGEI,,,55.0
2022-11-13,202246,92 - CICLO_TEXAS,CICLO_STAGEI,,,69.0
2022-11-20,202247,92 - CICLO_TEXAS,CICLO_STAGEI,,,61.0
2022-11-27,202248,92 - CICLO_TEXAS,CICLO_STAGEI,,,39.0
2022-12-04,202249,92 - CICLO_TEXAS,CICLO_STAGEI,,,32.0
2022-12-11,202250,92 - CICLO_TEXAS,CICLO_STAGEI,130.55,98.26,24.0
2022-12-18,202251,92 - CICLO_TEXAS,CICLO_STAGEI,251.2,291.22,28.0
2022-12-25,202252,92 - CICLO_TEXAS,CICLO_STAGEI,209.74,219.31,26.0
2023-01-01,202301,92 - CICLO_TEXAS,CICLO_STAGEI,244.56,234.69,14.0
2023-01-08,202302,92 - CICLO_TEXAS,CICLO_STAGEI,244.35,229.05,42.0
2023-01-15,202303,92 - CICLO_TEXAS,CICLO_STAGEI,211.91,240.08,58.0
2023-01-22,202304,92 - CICLO_TEXAS,CICLO_STAGEI,209.51,206.17,51.0
2023-01-29,202305,92 - CICLO_TEXAS,CICLO_STAGEI,209.45,221.42,52.0
2023-02-05,202306,92 - CICLO_TEXAS,CICLO_STAGEI,227.69,226.67,48.0
2023-02-12,202307,92 - CICLO_TEXAS,CICLO_STAGEI,233.21,241.31,61.0
2023-02-19,202308,92 - CICLO_TEXAS,CICLO_STAGEI,237.46,74.28,65.0
2023-02-26,202309,92 - CICLO_TEXAS,CICLO_STAGEI,231.37,,49.0
2023-03-05,202310,92 - CICLO_TEXAS,CICLO_STAGEI,143.54,,54.0
2023-03-12,202311,92 - CICLO_TEXAS,CICLO_STAGEI,121.26,,61.0
2023-03-19,202312,92 - CICLO_TEXAS,CICLO_STAGEI,178.93,,51.0
2023-03-26,202313,92 - CICLO_TEXAS,CICLO_STAGEI,183.84,,49.0
2023-04-02,202314,92 - CICLO_TEXAS,CICLO_STAGEI,182.97,,31.0
2023-04-09,202315,92 - CICLO_TEXAS,CICLO_STAGEI,158.28,,33.0
2023-04-16,202316,92 - CICLO_TEXAS,CICLO_STAGEI,160.4,,39.0
2023-04-23,202317,92 - CICLO_TEXAS,CICLO_STAGEI,153.84,,44.0
