ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-01-02,202201,93 - CICLO_EAST,CICLO_STAGEI,,,7.0
2022-01-09,202202,93 - CICLO_EAST,CICLO_STAGEI,,,3.0
2022-01-16,202203,93 - CICLO_EAST,CICLO_STAGEI,,,3.0
2022-01-23,202204,93 - CICLO_EAST,CICLO_STAGEI,,,1.0
2022-01-30,202205,93 - CICLO_EAST,CICLO_STAGEI,,,4.0
2022-02-06,202206,93 - CICLO_EAST,CICLO_STAGEI,,,1.0
2022-02-13,202207,93 - CICLO_EAST,CICLO_STAGEI,,,0.0
2022-02-20,202208,93 - CICLO_EAST,CICLO_STAGEI,,,2.0
2022-02-27,202209,93 - CICLO_EAST,CICLO_STAGEI,,,21.0
2022-03-06,202210,93 - CICLO_EAST,CICLO_STAGEI,,,12.0
2022-03-13,202211,93 - CICLO_EAST,CICLO_STAGEI,,,16.0
2022-03-20,202212,93 - CICLO_EAST,CICLO_STAGEI,,,13.0
2022-03-27,202213,93 - CICLO_EAST,CICLO_STAGEI,,,26.0
2022-04-03,202214,93 - CICLO_EAST,CICLO_STAGEI,,,13.0
2022-04-10,202215,93 - CICLO_EAST,CICLO_STAGEI,,,20.0
2022-04-17,202216,93 - CICLO_EAST,CICLO_STAGEI,,,17.0
2022-04-24,202217,93 - CICLO_EAST,CICLO_STAGEI,,,19.0
2022-05-01,202218,93 - CICLO_EAST,CICLO_STAGEI,,,16.0
2022-05-08,202219,93 - CICLO_EAST,CICLO_STAGEI,,,12.0
2022-05-15,202220,93 - CICLO_EAST,CICLO_STAGEI,,,16.0
2022-05-22,202221,93 - CICLO_EAST,CICLO_STAGEI,,,18.0
2022-05-29,202222,93 - CICLO_EAST,CICLO_STAGEI,,,14.0
2022-06-05,202223,93 - CICLO_EAST,CICLO_STAGEI,,,10.0
2022-06-12,202224,93 - CICLO_EAST,CICLO_STAGEI,,,8.0
2022-06-19,202225,93 - CICLO_EAST,CICLO_STAGEI,,,19.0
2022-06-26,202226,93 - CICLO_EAST,CICLO_STAGEI,,,9.0
2022-07-03,202227,93 - CICLO_EAST,CICLO_STAGEI,,,20.0
2022-07-10,202228,93 - CICLO_EAST,CICLO_STAGEI,,,19.0
2022-07-17,202229,93 - CICLO_EAST,CICLO_STAGEI,,,14.0
2022-07-24,202230,93 - CICLO_EAST,CICLO_STAGEI,,,10.0
2022-07-31,202231,93 - CICLO_EAST,CICLO_STAGEI,,,12.0
2022-08-07,202232,93 - CICLO_EAST,CICLO_STAGEI,,,10.0
2022-08-14,202233,93 - CICLO_EAST,CICLO_STAGEI,,,18.0
2022-08-21,202234,93 - CICLO_EAST,CICLO_STAGEI,,,10.0
2022-08-28,202235,93 - CICLO_EAST,CICLO_STAGEI,,,11.0
2022-09-04,202236,93 - CICLO_EAST,CICLO_STAGEI,,,9.0
2022-09-11,202237,93 - CICLO_EAST,CICLO_STAGEI,,,5.0
2022-09-18,202238,93 - CICLO_EAST,CICLO_STAGEI,,,14.0
2022-09-25,202239,93 - CICLO_EAST,CICLO_STAGEI,,,17.0
2022-10-02,202240,93 - CICLO_EAST,CICLO_STAGEI,,,7.0
2022-10-09,202241,93 - CICLO_EAST,CICLO_STAGEI,,,24.0
2022-10-16,202242,93 - CICLO_EAST,CICLO_STAGEI,,,12.0
2022-10-23,202243,93 - CICLO_EAST,CICLO_STAGEI,,,21.0
2022-10-30,202244,93 - CICLO_EAST,CICLO_STAGEI,,,22.0
2022-11-06,202245,93 - CICLO_EAST,CICLO_STAGEI,,,16.0
2022-11-13,202246,93 - CICLO_EAST,CICLO_STAGEI,,,20.0
2022-11-20,202247,93 - CICLO_EAST,CICLO_STAGEI,,,24.0
2022-11-27,202248,93 - CICLO_EAST,CICLO_STAGEI,,,9.0
2022-12-04,202249,93 - CICLO_EAST,CICLO_STAGEI,,,21.0
2022-12-11,202250,93 - CICLO_EAST,CICLO_STAGEI,64.92,63.59,8.0
2022-12-18,202251,93 - CICLO_EAST,CICLO_STAGEI,127.63,143.75,3.0
2022-12-25,202252,93 - CICLO_EAST,CICLO_STAGEI,125.64,119.67,9.0
2023-01-01,202301,93 - CICLO_EAST,CICLO_STAGEI,125.84,112.71,4.0
2023-01-08,202302,93 - CICLO_EAST,CICLO_STAGEI,126.1,118.13,12.0
2023-01-15,202303,93 - CICLO_EAST,CICLO_STAGEI,105.91,114.26,17.0
2023-01-22,202304,93 - CICLO_EAST,CICLO_STAGEI,104.7,114.8,24.0
2023-01-29,202305,93 - CICLO_EAST,CICLO_STAGEI,104.6,111.75,20.0
2023-02-05,202306,93 - CICLO_EAST,CICLO_STAGEI,115.19,108.45,11.0
2023-02-12,202307,93 - CICLO_EAST,CICLO_STAGEI,119.83,121.06,9.0
