ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-01-02,202201,94 - CICLO_WEST,CICLO_STAGEI,,,19.0
2022-01-09,202202,94 - CICLO_WEST,CICLO_STAGEI,,,9.0
2022-01-16,202203,94 - CICLO_WEST,CICLO_STAGEI,,,8.0
2022-01-23,202204,94 - CICLO_WEST,CICLO_STAGEI,,,7.0
2022-01-30,202205,94 - CICLO_WEST,CICLO_STAGEI,,,6.0
2022-02-06,202206,94 - CICLO_WEST,CICLO_STAGEI,,,8.0
2022-02-13,202207,94 - CICLO_WEST,CICLO_STAGEI,,,6.0
2022-02-20,202208,94 - CICLO_WEST,CICLO_STAGEI,,,6.0
2022-02-27,202209,94 - CICLO_WEST,CICLO_STAGEI,,,30.0
2022-03-06,202210,94 - CICLO_WEST,CICLO_STAGEI,,,34.0
2022-03-13,202211,94 - CICLO_WEST,CICLO_STAGEI,,,32.0
2022-03-20,202212,94 - CICLO_WEST,CICLO_STAGEI,,,32.0
2022-03-27,202213,94 - CICLO_WEST,CICLO_STAGEI,,,37.0
2022-04-03,202214,94 - CICLO_WEST,CICLO_STAGEI,,,30.0
2022-04-10,202215,94 - CICLO_WEST,CICLO_STAGEI,,,51.0
2022-04-17,202216,94 - CICLO_WEST,CICLO_STAGEI,,,32.0
2022-04-24,202217,94 - CICLO_WEST,CICLO_STAGEI,,,38.0
2022-05-01,202218,94 - CICLO_WEST,CICLO_STAGEI,,,36.0
2022-05-08,202219,94 - CICLO_WEST,CICLO_STAGEI,,,34.0
2022-05-15,202220,94 - CICLO_WEST,CICLO_STAGEI,,,29.0
2022-05-22,202221,94 - CICLO_WEST,CICLO_STAGEI,,,27.0
2022-05-29,202222,94 - CICLO_WEST,CICLO_STAGEI,,,36.0
2022-06-05,202223,94 - CICLO_WEST,CICLO_STAGEI,,,16.0
2022-06-12,202224,94 - CICLO_WEST,CICLO_STAGEI,,,19.0
2022-06-19,202225,94 - CICLO_WEST,CICLO_STAGEI,,,38.0
2022-06-26,202226,94 - CICLO_WEST,CICLO_STAGEI,,,21.0
2022-07-03,202227,94 - CICLO_WEST,CICLO_STAGEI,,,32.0
2022-07-10,202228,94 - CICLO_WEST,CICLO_STAGEI,,,26.0
2022-07-17,202229,94 - CICLO_WEST,CICLO_STAGEI,,,28.0
2022-07-24,202230,94 - CICLO_WEST,CICLO_STAGEI,,,22.0
2022-07-31,202231,94 - CICLO_WEST,CICLO_STAGEI,,,25.0
2022-08-07,202232,94 - CICLO_WEST,CICLO_STAGEI,,,30.0
2022-08-14,202233,94 - CICLO_WEST,CICLO_STAGEI,,,25.0
2022-08-21,202234,94 - CICLO_WEST,CICLO_STAGEI,,,26.0
2022-08-28,202235,94 - CICLO_WEST,CICLO_STAGEI,,,30.0
2022-09-04,202236,94 - CICLO_WEST,CICLO_STAGEI,,,29.0
2022-09-11,202237,94 - CICLO_WEST,CICLO_STAGEI,,,29.0
2022-09-18,202238,94 - CICLO_WEST,CICLO_STAGEI,,,28.0
2022-09-25,202239,94 - CICLO_WEST,CICLO_STAGEI,,,33.0
2022-10-02,202240,94 - CICLO_WEST,CICLO_STAGEI,,,33.0
2022-10-09,202241,94 - CICLO_WEST,CICLO_STAGEI,,,33.0
2022-10-16,202242,94 - CICLO_WEST,CICLO_STAGEI,,,35.0
2022-10-23,202243,94 - CICLO_WEST,CICLO_STAGEI,,,33.0
2022-10-30,202244,94 - CICLO_WEST,CICLO_STAGEI,,,37.0
2022-11-06,202245,94 - CICLO_WEST,CICLO_STAGEI,,,35.0
2022-11-13,202246,94 - CICLO_WEST,CICLO_STAGEI,,,55.0
2022-11-20,202247,94 - CICLO_WEST,CICLO_STAGEI,,,66.0
2022-11-27,202248,94 - CICLO_WEST,CICLO_STAGEI,,,41.0
2022-12-04,202249,94 - CICLO_WEST,CICLO_STAGEI,,,30.0
2022-12-11,202250,94 - CICLO_WEST,CICLO_STAGEI,114.52,118.08,28.0
2022-12-18,202251,94 - CICLO_WEST,CICLO_STAGEI,197.95,240.56,17.0
2022-12-25,202252,94 - CICLO_WEST,CICLO_STAGEI,216.61,208.81,17.0
2023-01-01,202301,94 - CICLO_WEST,CICLO_STAGEI,216.6,199.04,9.0
2023-01-08,202302,94 - CICLO_WEST,CICLO_STAGEI,216.3,211.96,7.0
2023-01-15,202303,94 - CICLO_WEST,CICLO_STAGEI,190.58,214.31,24.0
2023-01-22,202304,94 - CICLO_WEST,CICLO_STAGEI,188.86,193.31,39.0
2023-01-29,202305,94 - CICLO_WEST,CICLO_STAGEI,188.83,193.6,42.0
2023-02-05,202306,94 - CICLO_WEST,CICLO_STAGEI,205.7,202.19,44.0
2023-02-12,202307,94 - CICLO_WEST,CICLO_STAGEI,209.96,217.27,43.0
2023-02-19,202308,94 - CICLO_WEST,CICLO_STAGEI,212.88,60.48,46.0
2023-02-26,202309,94 - CICLO_WEST,CICLO_STAGEI,206.85,,26.0
2023-03-05,202310,94 - CICLO_WEST,CICLO_STAGEI,130.81,,44.0
2023-03-12,202311,94 - CICLO_WEST,CICLO_STAGEI,108.13,,18.0
2023-03-19,202312,94 - CICLO_WEST,CICLO_STAGEI,159.17,,35.0
2023-03-26,202313,94 - CICLO_WEST,CICLO_STAGEI,164.82,,40.0
2023-04-02,202314,94 - CICLO_WEST,CICLO_STAGEI,164.56,,31.0
2023-04-09,202315,94 - CICLO_WEST,CICLO_STAGEI,143.56,,30.0
2023-04-16,202316,94 - CICLO_WEST,CICLO_STAGEI,143.28,,30.0
2023-04-23,202317,94 - CICLO_WEST,CICLO_STAGEI,140.04,,26.0
