ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2022-01-02,202201,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,19.0
2022-01-09,202202,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,15.0
2022-01-16,202203,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,19.0
2022-01-23,202204,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,15.0
2022-01-30,202205,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,13.0
2022-02-06,202206,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,17.0
2022-02-13,202207,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,13.0
2022-02-20,202208,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,5.0
2022-02-27,202209,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,34.0
2022-03-06,202210,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,24.0
2022-03-13,202211,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,41.0
2022-03-20,202212,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,35.0
2022-03-27,202213,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,31.0
2022-04-03,202214,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,52.0
2022-04-10,202215,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,38.0
2022-04-17,202216,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,44.0
2022-04-24,202217,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,37.0
2022-05-01,202218,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,36.0
2022-05-08,202219,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,31.0
2022-05-15,202220,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,34.0
2022-05-22,202221,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,41.0
2022-05-29,202222,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,43.0
2022-06-05,202223,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,34.0
2022-06-12,202224,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,30.0
2022-06-19,202225,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,35.0
2022-06-26,202226,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,34.0
2022-07-03,202227,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,41.0
2022-07-10,202228,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,35.0
2022-07-17,202229,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,43.0
2022-07-24,202230,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,25.0
2022-07-31,202231,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,34.0
2022-08-07,202232,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,46.0
2022-08-14,202233,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,35.0
2022-08-21,202234,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,35.0
2022-08-28,202235,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,35.0
2022-09-04,202236,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,37.0
2022-09-11,202237,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,30.0
2022-09-18,202238,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,36.0
2022-09-25,202239,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,40.0
2022-10-02,202240,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,51.0
2022-10-09,202241,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,38.0
2022-10-16,202242,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,66.0
2022-10-23,202243,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,50.0
2022-10-30,202244,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,58.0
2022-11-06,202245,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,41.0
2022-11-13,202246,95 - CICLO_ALLTHEREST,CICLO_STAGEI,,,68.0
