ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-01-31,202105,97 - JAL_TEXAS,JAL_STAGEIII,,,506.0
2021-02-07,202106,97 - JAL_TEXAS,JAL_STAGEIII,,,417.0
2021-02-14,202107,97 - JAL_TEXAS,JAL_STAGEIII,,,226.0
2021-02-21,202108,97 - JAL_TEXAS,JAL_STAGEIII,,,432.0
2021-02-28,202109,97 - JAL_TEXAS,JAL_STAGEIII,,,558.0
2021-03-07,202110,97 - JAL_TEXAS,JAL_STAGEIII,,,469.0
2021-03-14,202111,97 - JAL_TEXAS,JAL_STAGEIII,,,493.0
2021-03-21,202112,97 - JAL_TEXAS,JAL_STAGEIII,,,580.0
2021-03-28,202113,97 - JAL_TEXAS,JAL_STAGEIII,,,499.0
2021-04-04,202114,97 - JAL_TEXAS,JAL_STAGEIII,,,464.0
2021-04-11,202115,97 - JAL_TEXAS,JAL_STAGEIII,,,563.0
2021-04-18,202116,97 - JAL_TEXAS,JAL_STAGEIII,,,492.0
2021-04-25,202117,97 - JAL_TEXAS,JAL_STAGEIII,,,468.0
2021-05-02,202118,97 - JAL_TEXAS,JAL_STAGEIII,,,502.0
2021-05-09,202119,97 - JAL_TEXAS,JAL_STAGEIII,,,432.0
2021-05-16,202120,97 - JAL_TEXAS,JAL_STAGEIII,,,444.0
2021-05-23,202121,97 - JAL_TEXAS,JAL_STAGEIII,,,440.0
2021-05-30,202122,97 - JAL_TEXAS,JAL_STAGEIII,,,440.0
2021-06-06,202123,97 - JAL_TEXAS,JAL_STAGEIII,,,430.0
2021-06-13,202124,97 - JAL_TEXAS,JAL_STAGEIII,,,422.0
2021-06-20,202125,97 - JAL_TEXAS,JAL_STAGEIII,,,425.0
2021-06-27,202126,97 - JAL_TEXAS,JAL_STAGEIII,,,435.0
2021-07-04,202127,97 - JAL_TEXAS,JAL_STAGEIII,,,380.0
2021-07-11,202128,97 - JAL_TEXAS,JAL_STAGEIII,,,394.0
2021-07-18,202129,97 - JAL_TEXAS,JAL_STAGEIII,,,439.0
2021-07-25,202130,97 - JAL_TEXAS,JAL_STAGEIII,,,431.0
2021-08-01,202131,97 - JAL_TEXAS,JAL_STAGEIII,,,384.0
2021-08-08,202132,97 - JAL_TEXAS,JAL_STAGEIII,,,406.0
2021-08-15,202133,97 - JAL_TEXAS,JAL_STAGEIII,,,452.0
2021-08-22,202134,97 - JAL_TEXAS,JAL_STAGEIII,,,414.0
2021-08-29,202135,97 - JAL_TEXAS,JAL_STAGEIII,,,438.0
2021-09-05,202136,97 - JAL_TEXAS,JAL_STAGEIII,,,370.0
2021-09-12,202137,97 - JAL_TEXAS,JAL_STAGEIII,,,421.0
2021-09-19,202138,97 - JAL_TEXAS,JAL_STAGEIII,,,376.0
2021-09-26,202139,97 - JAL_TEXAS,JAL_STAGEIII,,,352.0
2021-10-03,202140,97 - JAL_TEXAS,JAL_STAGEIII,,,343.0
2021-10-10,202141,97 - JAL_TEXAS,JAL_STAGEIII,,,408.0
2021-10-17,202142,97 - JAL_TEXAS,JAL_STAGEIII,,,363.0
2021-10-24,202143,97 - JAL_TEXAS,JAL_STAGEIII,,,349.0
2021-10-31,202144,97 - JAL_TEXAS,JAL_STAGEIII,,,382.0
2021-11-07,202145,97 - JAL_TEXAS,JAL_STAGEIII,,,367.0
2021-11-14,202146,97 - JAL_TEXAS,JAL_STAGEIII,,,402.0
2021-11-21,202147,97 - JAL_TEXAS,JAL_STAGEIII,,,380.0
2021-11-28,202148,97 - JAL_TEXAS,JAL_STAGEIII,,,400.0
2021-12-05,202149,97 - JAL_TEXAS,JAL_STAGEIII,,,451.0
2021-12-12,202150,97 - JAL_TEXAS,JAL_STAGEIII,,,391.0
2021-12-19,202151,97 - JAL_TEXAS,JAL_STAGEIII,,,379.0
2021-12-26,202152,97 - JAL_TEXAS,JAL_STAGEIII,,,320.0
2022-01-02,202201,97 - JAL_TEXAS,JAL_STAGEIII,,,385.0
2022-01-09,202202,97 - JAL_TEXAS,JAL_STAGEIII,,,480.0
2022-01-16,202203,97 - JAL_TEXAS,JAL_STAGEIII,,,533.0
2022-01-23,202204,97 - JAL_TEXAS,JAL_STAGEIII,,,622.0
2022-01-30,202205,97 - JAL_TEXAS,JAL_STAGEIII,,,600.0
2022-02-06,202206,97 - JAL_TEXAS,JAL_STAGEIII,,,593.0
2022-02-13,202207,97 - JAL_TEXAS,JAL_STAGEIII,,,636.0
2022-02-20,202208,97 - JAL_TEXAS,JAL_STAGEIII,,,648.0
2022-02-27,202209,97 - JAL_TEXAS,JAL_STAGEIII,,,759.0
2022-03-06,202210,97 - JAL_TEXAS,JAL_STAGEIII,,,591.0
2022-03-13,202211,97 - JAL_TEXAS,JAL_STAGEIII,,,792.0
2022-03-20,202212,97 - JAL_TEXAS,JAL_STAGEIII,,,728.0
2022-03-27,202213,97 - JAL_TEXAS,JAL_STAGEIII,,,780.0
2022-04-03,202214,97 - JAL_TEXAS,JAL_STAGEIII,,,776.0
2022-04-10,202215,97 - JAL_TEXAS,JAL_STAGEIII,,,774.0
2022-04-17,202216,97 - JAL_TEXAS,JAL_STAGEIII,,,702.0
2022-04-24,202217,97 - JAL_TEXAS,JAL_STAGEIII,,,788.0
2022-05-01,202218,97 - JAL_TEXAS,JAL_STAGEIII,,,735.0
2022-05-08,202219,97 - JAL_TEXAS,JAL_STAGEIII,,,575.0
2022-05-15,202220,97 - JAL_TEXAS,JAL_STAGEIII,,,661.0
2022-05-22,202221,97 - JAL_TEXAS,JAL_STAGEIII,,,627.0
2022-05-29,202222,97 - JAL_TEXAS,JAL_STAGEIII,,,673.0
2022-06-05,202223,97 - JAL_TEXAS,JAL_STAGEIII,,,689.0
2022-06-12,202224,97 - JAL_TEXAS,JAL_STAGEIII,,,664.0
2022-06-19,202225,97 - JAL_TEXAS,JAL_STAGEIII,,,652.0
2022-06-26,202226,97 - JAL_TEXAS,JAL_STAGEIII,,,653.0
2022-07-03,202227,97 - JAL_TEXAS,JAL_STAGEIII,,,678.0
2022-07-10,202228,97 - JAL_TEXAS,JAL_STAGEIII,,,729.0
2022-07-17,202229,97 - JAL_TEXAS,JAL_STAGEIII,,,629.0
2022-07-24,202230,97 - JAL_TEXAS,JAL_STAGEIII,,,622.0
2022-07-31,202231,97 - JAL_TEXAS,JAL_STAGEIII,,,671.0
2022-08-07,202232,97 - JAL_TEXAS,JAL_STAGEIII,,,689.0
2022-08-14,202233,97 - JAL_TEXAS,JAL_STAGEIII,,,719.0
2022-08-21,202234,97 - JAL_TEXAS,JAL_STAGEIII,,,648.0
2022-08-28,202235,97 - JAL_TEXAS,JAL_STAGEIII,,,664.0
2022-09-04,202236,97 - JAL_TEXAS,JAL_STAGEIII,,,650.0
2022-09-11,202237,97 - JAL_TEXAS,JAL_STAGEIII,,,618.0
2022-09-18,202238,97 - JAL_TEXAS,JAL_STAGEIII,,,635.0
2022-09-25,202239,97 - JAL_TEXAS,JAL_STAGEIII,,,668.0
2022-10-02,202240,97 - JAL_TEXAS,JAL_STAGEIII,,,657.0
2022-10-09,202241,97 - JAL_TEXAS,JAL_STAGEIII,,,709.0
2022-10-16,202242,97 - JAL_TEXAS,JAL_STAGEIII,,,700.0
2022-10-23,202243,97 - JAL_TEXAS,JAL_STAGEIII,,,594.0
2022-10-30,202244,97 - JAL_TEXAS,JAL_STAGEIII,,,630.0
2022-11-06,202245,97 - JAL_TEXAS,JAL_STAGEIII,,,662.0
2022-11-13,202246,97 - JAL_TEXAS,JAL_STAGEIII,,,661.0
2022-11-20,202247,97 - JAL_TEXAS,JAL_STAGEIII,,,651.0
2022-11-27,202248,97 - JAL_TEXAS,JAL_STAGEIII,,,704.0
2022-12-04,202249,97 - JAL_TEXAS,JAL_STAGEIII,,,684.0
2022-12-11,202250,97 - JAL_TEXAS,JAL_STAGEIII,,,650.0
2022-12-18,202251,97 - JAL_TEXAS,JAL_STAGEIII,,,722.0
2022-12-25,202252,97 - JAL_TEXAS,JAL_STAGEIII,,,593.0
2023-01-01,202301,97 - JAL_TEXAS,JAL_STAGEIII,,,689.0
2023-01-08,202302,97 - JAL_TEXAS,JAL_STAGEIII,,,522.0
2023-01-15,202303,97 - JAL_TEXAS,JAL_STAGEIII,,,668.0
2023-01-22,202304,97 - JAL_TEXAS,JAL_STAGEIII,,,754.0
2023-01-29,202305,97 - JAL_TEXAS,JAL_STAGEIII,253.82,283.08,737.0
2023-02-05,202306,97 - JAL_TEXAS,JAL_STAGEIII,288.76,291.45,788.0
2023-02-12,202307,97 - JAL_TEXAS,JAL_STAGEIII,265.63,287.59,645.0
2023-02-19,202308,97 - JAL_TEXAS,JAL_STAGEIII,266.92,264.7,920.0
2023-02-26,202309,97 - JAL_TEXAS,JAL_STAGEIII,265.13,269.23,848.0
2023-03-05,202310,97 - JAL_TEXAS,JAL_STAGEIII,272.84,249.56000000000003,872.0
2023-03-12,202311,97 - JAL_TEXAS,JAL_STAGEIII,280.2,241.16,881.0
2023-03-19,202312,97 - JAL_TEXAS,JAL_STAGEIII,277.96,250.16,880.0
2023-03-26,202313,97 - JAL_TEXAS,JAL_STAGEIII,281.57,238.49,836.0
2023-04-02,202314,97 - JAL_TEXAS,JAL_STAGEIII,279.13,239.46,845.0
2023-04-09,202315,97 - JAL_TEXAS,JAL_STAGEIII,208.48,204.66,781.0
2023-04-16,202316,97 - JAL_TEXAS,JAL_STAGEIII,201.68,204.44,777.0
2023-04-23,202317,97 - JAL_TEXAS,JAL_STAGEIII,278.85,303.02,787.0
2023-04-30,202318,97 - JAL_TEXAS,JAL_STAGEIII,319.17,287.41,850.0
2023-05-07,202319,97 - JAL_TEXAS,JAL_STAGEIII,244.97,211.13,840.0
2023-05-14,202320,97 - JAL_TEXAS,JAL_STAGEIII,188.41,195.09,768.0
2023-05-21,202321,97 - JAL_TEXAS,JAL_STAGEIII,188.6,192.88,809.0
2023-05-28,202322,97 - JAL_TEXAS,JAL_STAGEIII,188.23,184.1,825.0
2023-06-04,202323,97 - JAL_TEXAS,JAL_STAGEIII,158.94,152.1,748.0
2023-06-11,202324,97 - JAL_TEXAS,JAL_STAGEIII,133.93,145.31,787.0
2023-06-18,202325,97 - JAL_TEXAS,JAL_STAGEIII,132.89,129.64,714.0
2023-06-25,202326,97 - JAL_TEXAS,JAL_STAGEIII,133.28,131.87,729.0
2023-07-02,202327,97 - JAL_TEXAS,JAL_STAGEIII,74.97,159.8,759.0
2023-07-09,202328,97 - JAL_TEXAS,JAL_STAGEIII,,,734.0
2023-07-16,202329,97 - JAL_TEXAS,JAL_STAGEIII,,,762.0
2023-07-23,202330,97 - JAL_TEXAS,JAL_STAGEIII,,,743.0
2023-07-30,202331,97 - JAL_TEXAS,JAL_STAGEIII,,,767.0
2023-08-06,202332,97 - JAL_TEXAS,JAL_STAGEIII,90.43,132.03,800.0
2023-08-13,202333,97 - JAL_TEXAS,JAL_STAGEIII,215.76,296.27,791.0
2023-08-20,202334,97 - JAL_TEXAS,JAL_STAGEIII,224.39,293.09,789.0
2023-08-27,202335,97 - JAL_TEXAS,JAL_STAGEIII,224.17,288.57,895.0
2023-09-03,202336,97 - JAL_TEXAS,JAL_STAGEIII,224.16,278.39,772.0
2023-09-10,202337,97 - JAL_TEXAS,JAL_STAGEIII,224.09,302.29,695.0
2023-09-17,202338,97 - JAL_TEXAS,JAL_STAGEIII,222.93,300.12,776.0
2023-09-24,202339,97 - JAL_TEXAS,JAL_STAGEIII,223.64,294.14,827.0
2023-10-01,202340,97 - JAL_TEXAS,JAL_STAGEIII,224.38,274.42,778.0
2023-10-08,202341,97 - JAL_TEXAS,JAL_STAGEIII,224.08,292.28,796.0
2023-10-15,202342,97 - JAL_TEXAS,JAL_STAGEIII,223.79,224.42,759.0
2023-10-22,202343,97 - JAL_TEXAS,JAL_STAGEIII,223.72,222.52,750.0
2023-10-29,202344,97 - JAL_TEXAS,JAL_STAGEIII,195.09,213.36,714.0
2023-11-05,202345,97 - JAL_TEXAS,JAL_STAGEIII,,,788.0
