ISOweek,ISOweek_wf,concat_store_group_name,campaign,Facebook Weekly,Google Weekly,sales
2021-01-31,202105,98 - JAL_WEST,JAL_STAGEIII,,,338.0
2021-02-07,202106,98 - JAL_WEST,JAL_STAGEIII,,,247.0
2021-02-14,202107,98 - JAL_WEST,JAL_STAGEIII,,,305.0
2021-02-21,202108,98 - JAL_WEST,JAL_STAGEIII,,,396.0
2021-02-28,202109,98 - JAL_WEST,JAL_STAGEIII,,,343.0
2021-03-07,202110,98 - JAL_WEST,JAL_STAGEIII,,,395.0
2021-03-14,202111,98 - JAL_WEST,JAL_STAGEIII,,,345.0
2021-03-21,202112,98 - JAL_WEST,JAL_STAGEIII,,,352.0
2021-03-28,202113,98 - JAL_WEST,JAL_STAGEIII,,,414.0
2021-04-04,202114,98 - JAL_WEST,JAL_STAGEIII,,,338.0
2021-04-11,202115,98 - JAL_WEST,JAL_STAGEIII,,,364.0
2021-04-18,202116,98 - JAL_WEST,JAL_STAGEIII,,,350.0
2021-04-25,202117,98 - JAL_WEST,JAL_STAGEIII,,,339.0
2021-05-02,202118,98 - JAL_WEST,JAL_STAGEIII,,,352.0
2021-05-09,202119,98 - JAL_WEST,JAL_STAGEIII,,,290.0
2021-05-16,202120,98 - JAL_WEST,JAL_STAGEIII,,,291.0
2021-05-23,202121,98 - JAL_WEST,JAL_STAGEIII,,,323.0
2021-05-30,202122,98 - JAL_WEST,JAL_STAGEIII,,,323.0
2021-06-06,202123,98 - JAL_WEST,JAL_STAGEIII,,,315.0
2021-06-13,202124,98 - JAL_WEST,JAL_STAGEIII,,,278.0
2021-06-20,202125,98 - JAL_WEST,JAL_STAGEIII,,,215.0
2021-06-27,202126,98 - JAL_WEST,JAL_STAGEIII,,,258.0
2021-07-04,202127,98 - JAL_WEST,JAL_STAGEIII,,,315.0
2021-07-11,202128,98 - JAL_WEST,JAL_STAGEIII,,,255.0
2021-07-18,202129,98 - JAL_WEST,JAL_STAGEIII,,,274.0
2021-07-25,202130,98 - JAL_WEST,JAL_STAGEIII,,,255.0
2021-08-01,202131,98 - JAL_WEST,JAL_STAGEIII,,,298.0
2021-08-08,202132,98 - JAL_WEST,JAL_STAGEIII,,,335.0
2021-08-15,202133,98 - JAL_WEST,JAL_STAGEIII,,,275.0
2021-08-22,202134,98 - JAL_WEST,JAL_STAGEIII,,,309.0
2021-08-29,202135,98 - JAL_WEST,JAL_STAGEIII,,,274.0
2021-09-05,202136,98 - JAL_WEST,JAL_STAGEIII,,,265.0
2021-09-12,202137,98 - JAL_WEST,JAL_STAGEIII,,,302.0
2021-09-19,202138,98 - JAL_WEST,JAL_STAGEIII,,,327.0
2021-09-26,202139,98 - JAL_WEST,JAL_STAGEIII,,,314.0
2021-10-03,202140,98 - JAL_WEST,JAL_STAGEIII,,,265.0
2021-10-10,202141,98 - JAL_WEST,JAL_STAGEIII,,,281.0
2021-10-17,202142,98 - JAL_WEST,JAL_STAGEIII,,,300.0
2021-10-24,202143,98 - JAL_WEST,JAL_STAGEIII,,,253.0
2021-10-31,202144,98 - JAL_WEST,JAL_STAGEIII,,,252.0
2021-11-07,202145,98 - JAL_WEST,JAL_STAGEIII,,,230.0
2021-11-14,202146,98 - JAL_WEST,JAL_STAGEIII,,,279.0
2021-11-21,202147,98 - JAL_WEST,JAL_STAGEIII,,,228.0
2021-11-28,202148,98 - JAL_WEST,JAL_STAGEIII,,,273.0
2021-12-05,202149,98 - JAL_WEST,JAL_STAGEIII,,,237.0
2021-12-12,202150,98 - JAL_WEST,JAL_STAGEIII,,,280.0
2021-12-19,202151,98 - JAL_WEST,JAL_STAGEIII,,,244.0
2021-12-26,202152,98 - JAL_WEST,JAL_STAGEIII,,,186.0
2022-01-02,202201,98 - JAL_WEST,JAL_STAGEIII,,,242.0
2022-01-09,202202,98 - JAL_WEST,JAL_STAGEIII,,,294.0
2022-01-16,202203,98 - JAL_WEST,JAL_STAGEIII,,,261.0
2022-01-23,202204,98 - JAL_WEST,JAL_STAGEIII,,,293.0
2022-01-30,202205,98 - JAL_WEST,JAL_STAGEIII,,,339.0
2022-02-06,202206,98 - JAL_WEST,JAL_STAGEIII,,,363.0
2022-02-13,202207,98 - JAL_WEST,JAL_STAGEIII,,,364.0
2022-02-20,202208,98 - JAL_WEST,JAL_STAGEIII,,,385.0
2022-02-27,202209,98 - JAL_WEST,JAL_STAGEIII,,,391.0
2022-03-06,202210,98 - JAL_WEST,JAL_STAGEIII,,,382.0
2022-03-13,202211,98 - JAL_WEST,JAL_STAGEIII,,,444.0
2022-03-20,202212,98 - JAL_WEST,JAL_STAGEIII,,,419.0
2022-03-27,202213,98 - JAL_WEST,JAL_STAGEIII,,,374.0
2022-04-03,202214,98 - JAL_WEST,JAL_STAGEIII,,,362.0
2022-04-10,202215,98 - JAL_WEST,JAL_STAGEIII,,,316.0
2022-04-17,202216,98 - JAL_WEST,JAL_STAGEIII,,,301.0
2022-04-24,202217,98 - JAL_WEST,JAL_STAGEIII,,,425.0
2022-05-01,202218,98 - JAL_WEST,JAL_STAGEIII,,,395.0
2022-05-08,202219,98 - JAL_WEST,JAL_STAGEIII,,,323.0
2022-05-15,202220,98 - JAL_WEST,JAL_STAGEIII,,,398.0
2022-05-22,202221,98 - JAL_WEST,JAL_STAGEIII,,,349.0
2022-05-29,202222,98 - JAL_WEST,JAL_STAGEIII,,,382.0
2022-06-05,202223,98 - JAL_WEST,JAL_STAGEIII,,,352.0
2022-06-12,202224,98 - JAL_WEST,JAL_STAGEIII,,,381.0
2022-06-19,202225,98 - JAL_WEST,JAL_STAGEIII,,,423.0
2022-06-26,202226,98 - JAL_WEST,JAL_STAGEIII,,,359.0
2022-07-03,202227,98 - JAL_WEST,JAL_STAGEIII,,,414.0
2022-07-10,202228,98 - JAL_WEST,JAL_STAGEIII,,,419.0
2022-07-17,202229,98 - JAL_WEST,JAL_STAGEIII,,,417.0
2022-07-24,202230,98 - JAL_WEST,JAL_STAGEIII,,,364.0
2022-07-31,202231,98 - JAL_WEST,JAL_STAGEIII,,,307.0
2022-08-07,202232,98 - JAL_WEST,JAL_STAGEIII,,,421.0
2022-08-14,202233,98 - JAL_WEST,JAL_STAGEIII,,,417.0
2022-08-21,202234,98 - JAL_WEST,JAL_STAGEIII,,,389.0
2022-08-28,202235,98 - JAL_WEST,JAL_STAGEIII,,,403.0
2022-09-04,202236,98 - JAL_WEST,JAL_STAGEIII,,,387.0
2022-09-11,202237,98 - JAL_WEST,JAL_STAGEIII,,,435.0
2022-09-18,202238,98 - JAL_WEST,JAL_STAGEIII,,,403.0
2022-09-25,202239,98 - JAL_WEST,JAL_STAGEIII,,,416.0
